,review,label
0,"Just like Villeneuve's other films, this one has proved that he is one of the greatest director nowadays. The way that he approaches a common theme in movies is almost revolutionary.",1
1,"An 'alien' film to leave you totally alienated! This is so self-important and ponderously dull that it makes Ingmar Bergman's depressive dramas seem like comic farces. The screenplay is all **** and pretension in which Amy Adams' language specialist amazingly deciphers the black ink vocabulary of the extra-terrestrials in record breaking time. A feat that only ever happens in the movies. The creatures themselves look like a cross between giant squids and an elephant's foot, and it's no exaggeration to state that their presence is underwhelming. The first ten minutes promise much but we never get that film. Instead as soon as the alien pods arrive degeneration in to boredom is immediate and sleep inducingly effective. Praised by the highbrow critics, make no mistake this is alarmingly over rated. A totally confused and uninteresting example of the sci-fi genre. Arrive? It certainly did. However, I couldn't wait to leave!",0
4,"Nothing here that hasn't been done a thousand times. Simple time loop paradox. If you're looking for a movie about aliens, this is not it. It really has nothing to do at all with aliens. It's a weak tug at heart strings depicting a story about a parent that loses a child. The chemistry between the two main actors is non existent. Just a terrible waste of 2 hours.",0
6,"boooooring. As a big fan of Sicario and Prisoners i expected better. paint dries more entertainingky than this. like watching a kid draw with an etch a sketch for 2 hours. Even Forrest Whitaker sucked. Jeremy Renner often sucks, no surprise there. it felt like they were afraid to wake up the audience.",0
7,"The movie preview showed aircraft flying overhead.  This was the only action in the entire movie.  A low budget, slow, out of focus movie.  Watching paint dry has more action.  A rare film that wanted to make me demand my money back.",0
8,"This was on my must see movie list.  The movie starts out very slow, then gets slower until finally I started to doze off. The movie makes absolutely no sense. There's no suspense or any action. Other than Amy Adams performance the rest of the cast is nothing as they mailed their parts in. The ending is beyond ridiculous. Avoid unless you have insomnia. You've been warned.",0
9,"Arrival is being called one of the best Science Fiction films in years. It is one of the best rated and reviewed films of 2016, and is drawing comparisons to Close Encounters of The Third Kind, but I have a question, did they watch the same film that I did? I wasn't crazy about Close Encounters, but that movie was leaps and bounds ahead of this one. Twelve alien crafts land in random places all across the planet, and the people are in a panic. Some countries react with hostility, but the U.S. Government decides to act cautiously (yeah right), and send Dr. Louise Banks (Amy Adams), the best linguist they have, to figure out a way to community with the aliens. The aliens, turn out to be giant octopus, whose language turns out to be ink that they squirt into the air. This movie features flashbacks and flash-forwards, that seemingly make no sense, until the end when you finally figure out what they mean and once you do, you realize that you just wasted two hours of your life. If that wasn't bad enough, the film moves at an absolute snails pace, I mean you could take everything that actually happened in the film and squeeze it into about twenty minutes. The rest is just people talking to each other about the same damn thing over and over again. Trying to figure out the same thing over and over again. Worrying about the same things over and over again. The characters have no personality whatsoever, and you might think that it's one of those slow moving weird films that all comes together in an amazing ending, but no, it doesn't. Once you can see the whole picture, as one lady in the theater so eloquently shouted out, ""really, that's it, that was so stupid."" Her uncontrolled outburst really sums up this entire film. Honestly I think the slower and more artistic a film is, the more the critics love it, but I am one critic who isn't fooled by great actors and emotional music, this isn't the best film of the year, this is the biggest turd of the year, and it should be avoided at all costs!",0
10,"Viewer be warned.  Preview contains all the ""excitement"" of this supposedly ""clever"" sci-fi movie (very sad).  Actually, this has been grossly overhyped by professional film critics.  I would like to have my money back if possible.  Dark, slow, incoherent plot that challenge you to stay awake.  Tried my very hardest to enjoy this movie, but failed to do so.  One film critic graciously rated this as: wait until it comes out in DVD.  My vote: skip this movie and spend your hard earned money elsewhere.  In summary, I feel scammed by the professional film critics, similar to the many fake reviews on Amazon.",0
11,"Phenomenal movie. I wouldn't have watched this movie if I hadnt known about the intriguing ending (yes I was spoiled but I don't mind). I've never been a fan of Amy Adams in Superman or Jeremy Renner in Marvel but the story, delivery and slow pacing really punches this movie high. I wasn't disappointed at all. It has never a dull moment and there are many parts I can rewatch many times just to think about how they unfold. Lots of small details to look out for too like Abbot's actions before something happens. This movie is right up there with District 9, Contact, The Martian and Interstellar.",1
12,"There are generally two different types of ""good"" sci-fi in my book: Straight forward that uses the film's setting to its advantage (Aliens, Terminator 2), and cerebral which makes the viewer think about new ideas and old ones in new ways. Arrival falls into the latter.It's a little slow for multiple viewings, but it poses an interesting idea and a mystery that you'll be as eager to figure out as the characters.",1
13,"This movie is not for everyone. If you wanted a science fiction action blockbuster then you will be disappointed. However it is one of the most brilliant plots in scifi. I won’t spoil the details but once you understand the twist it’s just magnificent. It is a movie worth to discuss with friends and very memorable because it does something completely different. The ideas for follow up stories are basically endless. It is based on the book “The story of her life” if I am correct. Also all actors were the right choices for their respected rolls. I think this will be a forgotten masterpiece because it is not mainstream enough. Sorry for not going in in details, but it will ruin the movie. Think about the twist in “The sixth sense”. If someone spoiled it for you the movie would be less good (or a lesser experience?).",1
