,review,label
0,"""Battlefield Earth: A Saga of the Year 3000"" has everything messed up. The story is messy and disjointed, (with breath-taking slo-mo action popping up in the wrong time every 5 seconds), the dialogue is cheesy and obvious, as well as for the movie's choppy editing. It sure did deserve a lot of razzies....",0
1,"Watch ONLY 3 Minutes of the film. maybe, maybe not. Maybe see how BAD it looks for everyone who likes Sci-Fi film. This is one ofthe WORST movies I've seen.",0
2,Umm... No. Just don't do this. Ever. It's Passion of the Christ for Scientology. Don't watch this if you don't want to feel like you are clawing your eyes out with sharpened fingernails made of poop. So just avoid this movie at all costs.,0
3,"The worst film I have ever seen. The writing is absolutely horrible. The acting is very poor. I mean come on, John Travolta and Barry Pepper can be good actors, they deserve better than this crap! But most of all, the film is just downright ugly. The characters are ugly and the film-making concepts that they used for this film are awful. I mean, why is every shot at a slant? This film just makes no sense whatsoever.",0
4,"Wow, this movie is bad, first John Travolta's acting is so over the top you will die laughing, the cinematography is the worst ever, almost every shot is leaning for some reason, the special effects are crap, and nothing makes sense. This is one of the worst movies ever.",0
5,"Ugly, dumb, and predictable, Battlefield Earth has shown what it got to deserve the 0 rating. From John Travolta, this is his worst movie he has ever done so far.",0
6,This film has so many wholes you could practically see right through it. The performances are so bad and the director was so lost with how to create an action scene. I see why this film won the worst film of the decade at the razzies.,0
7,"There are so many reasons why you should avoid Battlefield Earth: 1. Never make a dull and sleazy script from a novel.2. A film needs more marketing campaigns.3. Throw it in a landfill in New Mexico. The film is so bad, I will not ever rent or buy a bad box office flop again. I think John Travolta needs to learn a couple of lessons from Pulp Fiction because every time when a critic comes to harass you, that's the reason why sci-fi and adventures don't mix. It's still one of the most disgusting movies since Showgirls and The Adventures of Pluto Nash. No sequel, no nothing. Total B.S. ""Battlefield Earth"" is so bad, I got a good review in a good way.",0
8,"Battlefield Earth can be quite accurately summed up by just describing how John Travolta appears -  bloated, clumsy, unintelligent, overbearing, uninteresting, ugly, ridiculous, pathetic... The list could go on, though there is a lot more to get to. The plot is mostly cliched, contrived nonsense; the characters look stupid, do stupid things and say stupid things; but where Battlefield Earth fails on such an IMMENSE scale is the direction. Seriously, the direction is ABHORRENT - never has a big-budget Hollywood movie been directed so awfully. The camera is almost permanently stuck on an absurd diagonal, making it very hard to concentrate, and also causing borderline motion sickness. On top of that, the colours and the lighting are so ugly that it almost defies you to continue watching. Every scene is either in this dull and lifeless blue, or a bewildering menagerie of green, yellow and purple. It's just baffling how anyone could look at this steaming pile and find it anything but excruciating! In addition to this abomination of direction is a cast of grossly unappealing actors, including the emotional flatline, Barry Pepper; the half-asleep Forest Whitaker; and of course, the ham and cheese deluxe, John Travolta. All the adjectives in the world fail to even touch on the complete depth of hopelessness that Battlefield Earth exudes in all facets of production. Let it be the saga of the year 2000, so that all will know of the first mistake humankind made in the new millennium.",0
9,This was a terrible movie. One of the worst movies i've ever seen. Almost as bad as alone in the dark.................................................,0
10,"Just No..Never Will Win A Single Damn Thing..One Of The Worst Movie's I Have Ever Seen",0
11,The worst movie I saw in my life.The second place goes to Lord of the Flies.I do not like the plot of Lord of the flies;but Battlefield Earth has the worst director and the worst actor:John Travolta(only for this movie).,0
12,"In my opoinion this is the wprst film of all time. The camera angles are annoying and the fuxking scene transitions with the ""wipes"" is annoying as hell. John Travolta's character is just really stupid and cheesy. The slow motion is **** The script is really poor with lots of plot holes and the design is just really bad.",0
13,"Battlefield Earth: A Saga of the Year 3000 is possibly the worst movie of all time, it comes complete with and incomprehensible plot, wooden and cheesy acting (the best kind) and some terrible camera angles. Now if you roll all of these aspects together into one little deformed ball you will create the greatest disaster to ever hit the big screen. I would recommend this movie only to people who like to torture their own brain for 90 minutes (like me.) 0/10- Train wreck from Hell",0
14,"Horrible, and difficult to watch the entire movie. Once was enough. I don't often have a reason to rate anything this low, but this is one of those times. I can't find anything about this movie that has any redeeming qualities and I like John Travolta, just not in this movie. I think as a parody of sci-fi it would have been better!",0
