,review,label
2,"The film is an absolute sacrilege. Every DC Comics character that appears in this film is treated like a stupid character. Black mask is ridiculous, Huntress is a 1-dimensional character, Montoya has no carisma...The script structure doesn’t makes sense, it throws away the rhythm of the film. The photography isn’t bad, but it isn’t good neither. The visual effects are maybe the best thing of the film. And the post-credit scene is absolutely a terrible mistake. I don’t want films like this in the DCEU. For me, this isn’t canon.",0
3,"Я понимаю что феминизм, я не ожидал логики, хрен с ней с идеей которую несет в себе фильм. Но блин на дворе 2020, как можно Настолько крупной студии обложаться с постановкой драк и спецэффектами? Юрий Бойко и Великий Джеки рыдают кровавыми слезами...",0
4,"I have no problem with different interpretations of Harley Quinn, and this one wasn't too bad aside from her needing more unnecessary violent crazy behavior baked in, but the entire rest of the cast had no reason to be in the film. If she needed help she should have gone to Ivy and that would have felt much more appropriate and focused to the film. The entire film felt choppy, the action scenes were frankly embarrassing, no character development aside from Harley (which still could have used some work), the plot was men are bad but I love men but they're the worst idk. This was an embarrassing experience and Harley deserved so so SO much more for her first leading performance film. I can only hope the sequel has NO Birds of Prey in it and the story revolves more around Harley discovering this yet to be villainized Ivy who's just coming to terms with her powers and they team up to get revenge on Ivy's enemies who turned her into Poison Ivy. I think most people would've enjoyed that story more than this one. Two girls taking revenge on the people who created them? Never mind I'm talking crazy, look at RT, people wanted THIS MOVIE!",0
5,"No story , no fun, characters you don't care for...  ridiculous. And I thought Suicide Squad was awful.. This sets a new standard. DC, stop trying.",0
6,"Character development, character development, character development. Take note, all lady writers/directors: interesting characters are necessary to engage an audience. Quirky for the sake of quirky is boring. Ask Jared Leto. I guess movie producers won't learn until there is literally a 10 year drought of interesting female characters.",0
7,"There are so many dropped plot lines that I'm positive this movie was re-shot and rewritten at least a half dozen times, and it shows.Poor Ewan McGregor deserved better than this after being the only decent actor in the prequels.",0
8,A rush movie without any type of storyline and God knows where they are heading with DCEU and it's characters..It's only Harley and Harley who has never been in BOP in comics...Mis usage of characters and movie..Just make a decision where do you wanna go with your movies..First you're making dark movies which were awesome and have direction and storyline now nothing.. save your money for Nolan's and other great movie..,0
9,"A superhero movie where not even a single character resembles the comic book equivalent, filmed with all the craftmanship of a $500 budget Youtube video. Miserable dreck, avoid.",0
10,"This movie was awful - walked out. Luckily I snuck in to see it (theater was almost empty) so I didn't put money towards this abomination.  Terrible ""team"" and a total departure from the H.Q. character. There is clear review manipulation going on as only a brainlet could enjoy this.",0
11,Another Hollywood flop more worried about pushing an agenda then putting out a good movie.,0
12,"It should've been 55/100, but due to current scores of this **** it's 0. This movie is a complete nonsense, cheap girl play, already classic impossible baby-fighting, retarded plot, lack of creativity and annoying, completely flat and almost boring Harley. I'm ok with the girl movies, but it feels like the plot subdues girls to play cheap and idiotic, don't know what the hell is going on in the US, but here in Ukraine it tastes like cheap dirt.",0
13,"The worst movie ever. The film has an awkward performance, a crude story. But action is worth seeing.",0
15,"I went with friends, hoping we could at least laugh at how horrible this movie is going to be... We couldn’t, it was just so sad and pathetic. At least Cats made us laugh.Woke level: Extremely cringey.",0
16,Just another bad movie filled with woke garbage. These woke writers need to leave Hollywood..,0
17,Garbage movie.  People giving this movie a 10/10 must be paid off.  Funny how the reviews below me have the name “Jerz” as their username & all 3 gave it a 10. Hmmm... Use your money to watch 1917 or Parasite instead.,0
18,I **** hate Suicide squad but i thing it’s better ate one point than birds of prey sorry DC fan boys that’s what it is the movie is so bad,0
19,This is no movie. This is a MISANDRIC depiction of females hatred towards all men. Whoever made the flick must see the court and go to jail!,0
20,"filme bem fraco, roteiro ruim circular e previsível, atuações BEM fracas cenas de ação muito forçadas, vi muito de esquadrão suicida nesse filme, fora a lacração feministas que não chega a irritar como em capitã marvel, o filme diverte mas nem tanto, depois de receber um Coringa, assistir harleyqueem e suas amigas foi brochante de mais",0
21,SJW feministic Man hating propaganda.  Toxic and boring movie I hope people won't spend money on this awful flick,0
