,review,label
0,Blade Runner 2049 is a beautifully crafted film and as good as any fan of the original could realistically expect it to be. I was nervous about what Villeneuve would come up with as I was not a fan of Arrival which I thought was far too ponderous. Fortunately he's delivered the goods and then some!,1
1,"A near perfect movie, and a sequel we never thought would be possible. It touches themes from the original with respect, while expanding the plot and adding to the world intelligently.The cinematography and music is also exceptional, often the music and picture works together to show us a hypnotic view of a grim future that seems too real. Denis Villeneuve is definitely one of the best directors of our time.",1
2,"There's certainly more style than substance on show in the new sequel, but the story is still engaging. At no point during the nearly three hours running time did I feel bored or frustrated with how the plot was moving along. There will obviously be negative comparisons with the original, but this film should taken on it's own merit, and great merit it has.",1
3,"I went in with low expectations and a feeling that I was going to come out disappointed. I'm thrilled to say that while not perfect, Blade Runner 2049 is in my opinion the best film of the year {so far} and unlikely to be topped. Worth the wait? You bet!",1
4,"While it doesn't raise thought-provoking questions as effectively as the original, ""Blade Runner 2049"" earns its position as a worthy sequel thanks to a captivating mystery, action that feels earned, intelligent themes & world building, and lush cinematography which synthesises perfectly with an unearthly soundtrack. Never felt bored throughout the runtime and could have watched it for longer.",1
5,"For those previously watched the first installment of Blade Runner or haven’t seen it, it’s safe to say that the latest installment of the Blade Runner franchise is easily one of the best sequels ever made PERIOD! Since this film is directed by the man who made jawdropping films like Prisoners, Sicario, and Arrival, his articulation of direction and storytelling really does capture the right atmosphere that Ridley Scott has set since the first Blade Runner. Most people that worked with Ridley Scott had already returned for another ride, but this time with Denis Villeneuve. The things that Denis had done for this installment really shines without a shadow interfering at a splitsecond while watching this. The new characters and familiar faces for this latest installment impressed me, futuristic-like production design, electrifying visual and sound effects, kickass performances, spine-chilling orgasmic soundtrack, and the god-like cinematography that Roger Deakins set really does spark a lot of amazement for the sequel. (Get Roger Deakins his OSCAR ASAP!!!!) However, there’s a thing that kind of caused a very little ruckus throughout the movie, but it doesn’t affect the movie’s quality that much since there will be another sequel readied for us to see what lies beneath the door (If confirmed...) Like Deckard said “I did your job one—I was good at it” it clearly refers that someone else besides Scott or Villeneuve will take control and finish the story (if confirmed..)  Without a doubt, Blade Runner 2049 is an outstanding achievement and a technical masterpiece that will be enjoyed by many sci-fi fans around the world.",1
6,"Creating a worthy sequel to one of the most influential films of all time is one hell of a tall order. It deserves no less than a dream team of talent and thankfully that's exactly what it got. The direction is sharp, the visuals pop, the performances emanate, and the writing is true to the source without merely aping all the old notes or ruining all the mystery. Core themes of the genre it helped create like the line between illusion and reality or defining humanity and one's identity are both upheld and explored in increasingly nuanced ways. Those worried about a neo noir film devolving into an action fest can breathe too as that was oversold by the marketing. The one trademark I do miss though is Vangelis' multilayered, ever present composition. 2049 strikes a different tone and isn't afraid of quiet moments, but the absence of one of its predecessor's most defining features remains conspicuous. Still, nearly everyone involved in the project is at the top of their game and should be proud of the work they've accomplished. Time will tell exactly how well the sequel stacks up to the 'original', but in any case it comes as close one could ask for today. I can still scarcely believe it, myself.",1
7,"An absolute feast for the eyes {and ears} and despite it's running time and pace, absorbing and captivating. Unlike Arrival which I thought was  very overrated and dare I say dull, Villeneuve has triumphed with this definitely worth the wait sequel.",1
12,"Bloated, portentous and worst of all, dumb posing as smart, for a Blade Runner obsessive like myself, Blade Runner 2049 is pretty much a worst-case outcome from the decision to “reboot”.​​It combines the ultra-slow pacing of a Russian art-house movie, with the implausible action sequences of a mainstream blockbuster. It has intellectual pretensions, but no real ideas, other than some half-baked biblical referencing. It takes a lazy, hand-waving approach to its plot and world-building. For me, that’s all unacceptable. If you decide to make the sequel to one of the most revered movies of all time, you need to get your quality bar pretty damn high. Blade Runner made its name by being genuinely intellectual, and having an insane level of attention to detail. This film fails to achieve either.There are plots holes you could fit the Tyrell Corporation's headquarters through. I can’t talk about those without spoiling, but lets just note that the core premise of the movie as spelled out in the opening crawl, the invention and legalisation of unquestioningly obedient replicants, is in direct contradiction to almost everything that follows, including the rationale for the mission the protagonist is sent on. The acting is fine, good even, BUT the actors are doing their best with horribly written characters who constantly make decisions that are absurd, often in order to set up action scenes that shouldn’t logically occur. Where the original revelled in moral ambiguity, we get a cartoonish boss villain who looks and talks like an evil-yoga instructor and appears to live in a health spa, and an even more cartoonish hot-lady-assassin henchwoman. In keeping with that Holywoodisation, all the women in the film are presented as lust objects, either evil or victims, and not in the knowing sense of exploited Zhora or Rachel, but as sadistic titillation.There are a bunch of scenes basically nicked from other movies, in particular Spike Jonze’s brilliant Her.Where the original asked genuinely profound philosophical questions about what it means to be human, this one has some quasi-religious guff about miracles and souls that jars badly with the paranoid, psychological Dickian source material and the post-religious bio-technological world that was presented in the first film.The world building is terrible.The world we are shown also doesn’t tie in with the mostly deserted, “kibble” strewn dying earth of the original. That was a place where almost all the able-bodied have left for the off-world colonies and the only remaining animals were manufactured. Despite some kind of second eco-disaster and a tech disaster both fleetingly referred to in the opening crawl (and in Matrix2esque short films on youtube), the world presented here is less dilapidated, more progressive, more organised, etc. than in the original. Fading art -deco has been replaced by Scandinavian design.The technology is all over the place. Again, that’s hard to talk about without getting into spoilers, but basically the film assumes that flawless AI’s and super functional “normal” robots/drones exist, and then doesn’t in any way address the ramifications of how those facts would impact the whole idea/purpose/issue of replicants, and how and why they are used, and how/why Blade Runners are used to track them down. I think that comes back to a recurring problem ideas being included because someone thought they were “cool” rather than being story/world driven.There are constant heavy handed and unconvincing analogies beween replicants, and real-world slavery and racism which the film then does nothing to explore.In some ways it’s a bit like the Force Awakens, another recent reboot that I hated. It’s a technically competent film that heavily references the original, in terms of props, characters and art style. It even features Harrison Ford. It has a plot driven by a series of improbable coincidences and chance discoveries that seems more like an excuse for “cool visuals” than a logical, character driven progression. But whereas the Force Awakens knew exactly what it wanted to be, going unashamedly for a nostalgia-fuelled, international, mass market audience, B2049 falls between stools.I feel a lot of people are going to disagree with my negativity on this one. There’s massive hype and hope around this movie, and it is mostly beautiful. Understandably, Blade Runner fans will want to like this movie. but going back to the Force Awakens comparison, after six months have passed, and people have moved through denial and anger stages, the sad reality of how average this film is will sink in.I went in to this one with mixed expectations. I loved Arrival, the director’s previous foray into SF, but on the other hand I thought that a reboot of Blade Runner was an inherently bad idea. For me, this one failed hard, both as a sequel and as general entertainment.",0
13,"This is visually exciting and a feast for the ears. Unfortunately every shot lingers on the screen for 3 or 4 times the length necessary to tell the story. And the story is hampered b y a lack of logic.  When the villain Wallace tells Ford he can take him off-world to torture him and get an answer he wants...he could do the same thing in the room he is in. And the big secret is obvious from early in the script.This needs a rewrite from a skilled screenwriter and then a serious editor to trim out the fat...by which I mean you could keep every shot cut to the length to make the next story point and the movie would be less than 100 minutes.The audience I saw it with was restless. There was no applause at the end, they just filed out in dispirited fashion.",0
14,"While the film wasn't terrible, it wasn't amazing either. The interactions between characters was superficial and their motives were as well. There was nothing profound like there was in the first Blade Runner. The scenery and sets were beautiful, as were some of the special effects, but a film can't be based solely on these things alone. It needed to have a villain, but it lacked this entirely. There was barely an iota of conflict during the film, it was simply void. We didn't know why the 'villains' were doing the things they did. The problem was again that these villains didn't have real motives. Nothing was believable, there was simply fabricated disdain and strife which didn't serve the purpose of creating a compelling story line. Also many of the scenes were too long, drawn out and weighed down with superfluous pause.",0
15,Movie seemed intent on putting moviegoer to sleep and then waking them with loud bangs. I would awaken to think I was watching some kind of cruelly beautiful Czechoslovakian arthouse film.,0
16,"Style over substance, pretentious emulation over valiant ambition. It's corious that this movie, in a sort of meta-narrative way, tries its best to be a replicant of the the original masterpiece but it totally fails to be what a replicant is to a human, a perfect alternative of the original. 163 minutes of Gosling boring looking expression while not a single thought is passing through his damn head, cliché insane villan with zero substance and his clichè nazi dog kicking asses around for reasons. Wrong photography all over: it's a **** noir with a white and orange palette, totally lacking the oppressive atmosphere of the original movie. Plot bad written and bad narrated, full of plot holes and incongruencies. This is not only a bad movie compared to the original, this is an atrocius sci fi movie to the level of 2017 GoTS.",0
17,"The new Bladerunner is so wrapped into symbolism, metaphors and themes that it forgets to make sense of it's world building, storytelling, character definition. Completely void of any inner logic, it falls short of even being a movie: it is indeed a magnificently crafted slow motion picture consisted of ingenious albeit often out of place designs and populated by a very talented crew of actors. Technically superb on a visual level, it is a gorgeous eye candy that gives you amp time to observe it's visual mastery and wonder why the heck couldn't they find someone to write for it, not that fanatic Ridley Scott that ruins Alien franchise with his last movies. The story is a series of most amazing coincidences that lead up to nothing at all, leaving you with deep questions like what do 12 hives of bees eat in a mad max fury road wasteland.",0
