,review,label
0,"They made a character with no real weakness who spends the entire movie as an expressionless hero with no charisma.  I was so bored during this movie.  By the time the pace FINALLY picked back up near the end, it was too little too late.   This entirely forgettable entry into this massive film franchise is completely skippable.  You won't need to see this to understand what's going on in Endgame.  Yes, there will be this new Captain Marvel character in Endgame, but all you really need to know is that she existed back in the 90's and finds her way back to the action ""in the nick of time"" once Endgame rolls around.  One thing to note:  Your experience of the MCU as a whole may be lessened if you see this movie or accept this movie as canon.  They literally retconned Captain Marvel as the BEGINNING of the Avengers, as well as the battle for control of a certain macguffin that was central to phase 1 marvel's climax.  They also introduce a plotline where there's little reason for the Kree to have largely ignored Earth all this time since the 90's.  This is a pretty big plothole.How does this rank compared to the rest of the MCU?  It's right at the bottom; near but below Thor the Dark World and Iron Man 2. If Thor 2 and Iron Man 2 are both 2/5 stars, this one is 1.5/5 stars.",0
1,"I wanted to like this movie, but unfortunately it suffers from a poor script, lackluster action and a badly cast leading lady.The positives:-Nick Fury is great -  I hope one day we get a proper shield movieGoose the cat has some very good scenesThe negatives:-Badly cast lead - Emily Blunt should have got the rolePoor fight scenesPoor villainsThe movie feels very much like a phase one film, ten years to late and out of place among the impressive changes Disney has made to the recent incarnations. If Captain Marvel is to be the face of the Marvel franchise then urgent work must be taken to correct course - recast if necessary and for the love of god seek advice from Patty Jenkins and the wonder women team.",0
2,"Boooring.  The lead actor, Brie Larson is a terrible, uncharismatic super-hero.  This is actually the first female superhero, from Marvel that I would prefer to never see again.",0
3,Boring and flat movie that is tainted by the hateful political sentiments from Brie Larson.,0
4,"I was excited and emotional during WW and I came out of that cinema looking forward to Captain Marvel. I am a woman who grew up with Monica Rambeau, this movie disappointed me. Brie Larson was monotonous, she was out shined by her co stars notably Samuel and Ben. I don't understand the ""Girl Power"" narrative they tried to shove and I'm female. Especially the ""I'm Just A Girl"" playing in the back during the fight I wanted to hide under my seat because I was cringing. It lacks so much of the emotional context that WW had. Marvel and Disney can do better.",0
5,"I'm really worried about Endgame after watching this filmJust watched this film this morning and i really regret watching this in theatre.Let's start with good things :- First opening action scene is really good- Nick Fury was good and funny- Sounds and visuals are good obviously coming from MarvelAaand everything else just falls flat to the ground i think Brie Larson here is terribly miscast she is really good in a slow dramatic movies but here it just doesn't work always stone faced even the smiles seemed very fake and cringe , director of this movie tried so hard to push this female power feminist ideas that she forgot to make a good movie in the first place.The weirdest scene is when she all of a sudden starts flying out of nowhere and she is not even excited or surprised it felt so weird , also they overpowered her so much to the point where it seemed unrealistic to me that this irrelevant character is stronger than thor or hulk and all this came from a jet engine blast too what a joke.Overall very disappointed in this film i would give 2 out of 10 to this film and for the sake of Nick Fury i give 3 i really hope Endgame is better than this .",0
7,"First, this is a review of the movie itself. I know there has been discussion outside regarding cast comments, and sincerely, I just went into the movie and forgot about those things, as what matters for me is the film itself, and its own merits.  I am a big fan of the comics and the MCU, and so although I wasn't familiar with this character, I was looking forward to her introduction and understanding how this will impact the MCU.  I also know that having a very overpowering character, like Superman, is harder to relate to, so I went into the movie already willing to give them some slack, but hoping they could pull it off and make an awesome movie.Unfortunately, for many reasons, the movie is simply bad.  And yet, it had many things in it that show it could have been much better, so maybe there is hope for a sequel in the future, and are definitely things that can be changed.  Let me explain.  I think the easiest way to describe how I felt during the movie was that I cringed a lot.First, I had heard that the main Actress Brie Larson was a really good actress.  I can't comment on that as this is the only movie I saw with her, and I definitely want to see other of her works now so I can get a better opinion.  But in this movie, her character was portrayed in a very abnoxious manner in most of the film (you know when a person can't be nice or kind to anyone, but just wants to act like a know-it-all jerk?).  I don't know whose decision this was, maybe she was asked to portray it this way.  There are though some better moments, in particular in the ship with Fury, and with her best friend's child, that she is more likable.  I just wish we had seen more of that.  I think the tone for her came off unnecessarily cold and again, the way I felt was that it was just being abnoxious.  Now, I think this is something that she and they can change going forward, but it did not help when they are introducing us to a new character.  This is even worse taking into consideration that they really need audiences to like her, given how difficult it is to connect with such an overpowered character, as is Captain Marvel's case.  So, her acting was way off, and I don't know why, and I don't want to put in question her capacity, hence my wanting to see other works from her.Anyway, moving on.  The second most impactful problem is the production and editing.  The movie is a long string of moments that should be of either emotion or great action, but that fall flat.  I really feel they wanted those moments to be really grand and epic, and I think they actually could have been, but they just felt rushed and unearned, which actually turned them into really cringy.  And this is the problem for me, I think that Captain Marvel's story was actually all there, there were lots of good pieces, which were presented, but the way they brought this together, the timing and presentation was beautiful visually, but was just rushed and felt really off for me, personally.  So I really feel that it wasn't a lack of compelling story or character motivation, just the way the final cut flows.  Those emotional moments, and the action, they were lacking either some more development, or not to be rushed or so obvious.  The Skrulls (and Ben Mendelsohn) were great, it was always nice to have Fury and Coulson (I'm a big fan of the Agents of Shield, Coulson is such a charismatic character).  Ok, having been unbiased about the movie, I do need to address honestly the Feminism question.  I am a person who really enjoys that there are movie with strong female leads, with great stories to tell.  And I think Marvel has a lot of potential they still have not taken advantage in terms of female characters to tell more stories about (I mean, Scarlet Witch and Black Widow have been great until now, and I would love to hear more of their stories, and have them lead their own films, i think they deserve more attention.  And the actresses have done great!).I know that some of the directors and cast were open about the feminism part. I have no problem with that.  I just feel that it was cringy to force Director Fury to act dumb in some situations, just to give Captain Marvel an air of ""gotcha"", hey, let me lead you.  That is just not necessary. I think audiences deserve much better.  I loved Alita, which had a great female character and was an awesome movie.  In this movie, I felt they always had to prove that Captain Marvel was better than the men around her, and sincerely, it was cringy. The movie is bad, because Brie Larson's acting is bad, and the production was way off.But, I think those are two things that they can turn around I and sincerely hope they do, and if they do, I will  enjoy watching what they do in a sequel. Ah, did I mention I loved what they did with the Skrulls? Well done on that point!  And yes, that cat it is cool!",0
8,"I watched it last night (luckily my theater reward system gave me a free ticket for a movie so no wasted money). Right from the get go, the initial scenes didn't really serve to draw me in. Much of the movie I spent wondering what was the point of X scene or Y scene etc. Sadly, I was also spending time watching the time to see if the movie was near its end. **POTENTIAL SPOILERS INC** The de-aging of Coulson and Sam L Jackson was pretty bad in my opinion. It wasn't good enough to sell it and in various scenes including Sam Jackson's action scene it just didn't look right. Brie Larson's fighter pilot friend was actually pretty good as I got a lot of her emotions and how she felt when she lost her friend (Brie), and her connection with her kid was great as well. Compare that to Brie's emotions/acting I was honestly unimpressed. For an Oscar winner she wasn't able to really sell me her character or convince me to care about her. In many scenes when she tried to crack jokes or have snarky comments it came off forced and unlike her (maybe a ""I'm trying to be the new RDJ""). I'm all for powerful superheroes but in this entire movie she made short work of all her enemies without really much of a struggle at all and at the end Jude Law versus her was anti-climatic. I think MCU really had a misstep on this one and one of their biggest mistakes was trying to shoehorn a superhero right before endgame and the last mistake was casting Brie as Captain Marvel, she doesn't really fit the character. I would say you could easily tell she was an actress trying to play a superhero which didn't work at all. I would recommend skipping this one and going straight to EndGame. You can literally read spoilers online and save yourself 2+ hours and a movie ticket.",0
9,"It almost makes me angry to the point of wanting to dismantle my Captain Marvel poster....they hyped this movie up in articles, commercials , etc. but it barely lives up to the hype...its like they have something they were really trying to prove when they made this movie....and sadly to say it has already been proven in over 1,000+ movies.",0
10,"I went into this film with such high expectations given that it's the final MCU film before the highly anticipated Avengers:Endgame, and the huge push it got from Avengers: Infinity War post credits scene, in addition to all the official news that suggested Captain Marvel is going to be the face of the MCU and arguably its most powerful character. You might say i'm not being fair for holding an origin movie to that tremendously high standard, well, for the reasons i listed above, this isn't your Captain America: The First Avenger or your Thor origin film, it's a completely different ball game. We were told that this character is a game changer therefore, I expect no less.I thought the movie was really disappointing in every way imaginable, it was such a let down! Nothing worked for me here, the writing was bad for the most part (except the major plot twist in the movie), the lead character's performance was stoic, bland and monotonic that I never felt sold. Carol Danvers lacked depth, she had no heart or let me say; her heart wasn't in it. Samuel L Jackson was acting out of character, which really turned me off, that is NOT the Nick Fury we know from the MCU, had it been a different character I would have probably liked it, but not Nick.There wasn't enough of the remaining cast to say anything about them (apart from Ben Mendelsohn's Talos perhaps the only highlight of this film, besides the plot twist, of course).The pacing in the first half was awfully slow, and the plot wasn't all that fresh, it was originally supposed to focus on Carlo Danvers trying to find herself and her re-discover her past, but they show none of that. All they show is few, quick random flashbacks here and there.I'm absolutely disappointed of how the ""new face of the MCU"" turned out to be.",0
