,review,label
1,"It's a big disappointment how this film can ruin one of the best musicals ever made in theatre. The new arrengements  are a chemical mess, the acting is poor, can't believe Dench & McKellen are involve in this.",0
3,Spoiler alert! This movie sucks. Id have rather smelled your fart.  id have rather had monkeys throw poop at me,0
4,"I have to admit that I enjoyed the dancing and much of the singing, BUT Andrew Lloyd Webber's show just doesn't translate to the big screen. When I saw it the audience kept laughing when the characters made feline gestures.",0
6,"Horrible, parece una pelicula de furris. Horror una mala decision recurrir a esos graficos",0
7,"It took me about thirty minutes to get into this movie. I love the beautiful dancing by the cat Victoria. And I loved hearing Jennifer Hudson singing Memories. Also I loved the humor of James Cordon and Rebel Wilson. Also Judy Dench was great. I loved the tapdancer. This movie is not for everyone, but if you understand that it is a musical with singing and dancing, you should be satisfied.",1
8,"Fãs de divas pop passam muita vergonha. O filmeco é horroroso sim, e não há argumento que justifique o contrário.",0
9,"I know the critics have mostly canned this film, and I went along with my wife, not expecting much, but I’m happy to say that I was surprised at its pure entertainment value. I never saw Cats when it was a musical stage sensation, but I understand that this movie stays true to its theatrical roots. TS Eliot’s work was probably not written with a theatrical adaptation in mind, so the writers have done well to spin this book of poems into a loosely knit plot. There is also a touch of Eliot’s mysticism. The characters, played by a Who’s Who of actors, convey a great deal of warmth and heart, and the production values are top notch.  Don’t go expecting a complex plot. Just go to let the experience wash over you.",1
10,The most horrible movie I've seen in a long time. Trash. Old Cats like 100x better.,0
11,"This movie is great... if you know what you are watching. This movie is intended for fans of the musical, and not for critics and film reviewers alike who have not seen the musical, or read the poems. Yes, I’ll admit the CGI is very choppy in some areas, particularly towards the end, which is not something you want in a movie, to say the least. The controversial CGI design, however, can be easily overlooked and even ignored if you’re able to get into the story and experience of Cats. As a fan of the musical and the poems, I greatly enjoyed the film, and had a lot of fun with it. The only other criticisms I have about the film are nerdy nitpicks which I don’t want to get into (E.g: Skimbleshanks should not have a moustache!), or casting decisions that I also don’t want to get into (E.g: Rebel Wilson as Jennyanydots). Overall, the film is wonderful enjoyable if screened to the right audience, but unwise casting decisions and unfinished CGI work pull it down. I would give the film three and a half stars, but Google doesn’t let you do that here.",1
12,"The most horrible movie I've ever seen. It sucks. Why did they dare to do such crap? And all the reviews that are in green, that chance that they are all fans of the singer Taylor swift hahaha, ridiculous all of them who don't  accept that it is a very bad movie.",0
