,review,label
0,"To be honest, it was clear that Dark Phoenix would be another failure from Marvel, just because the main role playing by Sophie Turner instead of a good actress, or to tell more precisely that Sophie Turner unsuccessfully tried to show something and no one knows what is it. Unfortunately, bosses of film companies and TV channels idiots (mostly) and absolutely don't understand what a quality product means, they have the task to get as much profit as possible, and for it, they think that them need to invite famous faces, but not good professional actors. So here it turns out not a movie, but sh*t with dubious special effects.With regard to Dark Phoenix:- The main  minus is Sophie Turner. How could she be invited after the Game of Thrones and X-Men: Apocalypse ? With the same success, the role of Jean Gray could be played by mannequin from clothes store no one would know the difference.P.S. The New Mutants will be epic fail, for the same reasons as the failure of Dark Phoenix and X-Men: Apocalypse - famous faces not good professional actors. This is especially true of Maisie Williams, which ""actress"" as Sophie Turner.Bob Iger, Christine McCarthy, Alan F. Horn, Alan Bergman, Emma Watts, Cathleen Taff, Asad Ayaz, Isaac Perlmutter, Dan Buckley, Joe Quesada, Kevin Feige, Louis D'Esposito, Victoria Alonso what are you f* doing?",0
1,"That's enough! Stop invite Sophie Turner and Maisie Williams into movies and TV shows, because from this they will not become actresses, they will remain two mediocrities who were accidentally taken into Game of Thrones, and now for some reason film companies consider it their duty invited these mediocrities to play the main roles. STOP! YOU'RE DESTROYING HOLLYWOOD!",0
2,"One of the worst movies by Marvel, and absolutely worst along with X-Men: Apocalypse to all of X-Men series. Of the thousands of actresses Marvel/Disney have chosen dummy Sophie Turner.",0
3,"First of all, I hated everything in this movie and really found no joy in this movie. As soon as I saw the credits rolling I booked it out of the theatre and was the first one out. This movie is so slow in its pacing to the point I nearly fell asleep a bunch of times. This is a superhero movie and part of one of the greatest Marvel superhero teams and there is nothing to keep somebody’s attention for longer than 2 seconds. This movie is one-hour and fifty-four-minutes long but it feels like a three-hour-long film. This is due to the boring dialogue and a slow-paced story that never really picked up at any point. Even the action scenes were boring to watch. This movie has one of the most iconic comic book person ever and they just waste her. There is like three or four action scenes in this film and every single one was just as boring as the last one. The characters for some reason changed so that they were nothing like what they were actually supposed to be. This can be mainly seen with Charles, played by McAvoy, and Nightcrawler, played by Kodi Smit-McPhee. They both had major character changes that just didn’t suit their characters at all. Also, I rewatched a clip from X-Men Apocalypse and Nightcrawler had a downgrade on his makeup effects. The makeup looks nothing like what it did in the last movie. The special effects in this film were just hideous and I couldn’t stand to look at it. This film had a budget of $200 million dollars and I think all of it went to get back all of the actors because they all probably had better movies to film. Lots of scenes in this film just ended randomly. The part where I thought the film was going to end ended up not being the ending and went on for like 2 more pointless minutes. In the end, Dark Phoenix just isn’t a good film for anybody. I give Dark Phoenix a 3.5/10.",0
4,"Not the worst movie I've ever seen. But at a loss of words when it comes to say anything good about it. The acting wasn't bad, but at times was flat. The story as it relates to the comics was way off. Overall, sirens your money elsewhere.",0
6,This is baaaad. This is not an X-Men movie. Cringe is the king of this so-called movie. It is not a movie,0
7,"This movie was freaking awful, I never thought they could outdo origins wolverine or last stand but they pulled it off.",0
8,A terrible script meets worse directing and an editor that must have been kept in the dark as to the purpose of many of the scenes.  A few decades ago this would have been put in the vault and never seen the light of day.  If you want something more entertaining check out the reasons people are giving this a 10.  Even the shills are phoning this one in.,0
9,"They took a truly cosmic scale character and made a deeply mundane film out of it. Why would you do that?  There's no epic character arc here, just a series of firework shows interspersed with overwrought agonising.  It's so earthbound in perspective that even the cardboard baddie aliens were made to look entirely human.  A few sparkly effects later, some more maudlin introspection and then we wrap up leaving everyone wondering what the point was.  A gross injustice to the source material.  Super disappointing.",0
10,"the movie was horrible. Sophie turner looked like a dam zombie and played Sansa again in Flippen X-men. And ""respect for women lacking"" as throughout the movie they demeaned crippled Prof X.",0
