,review,label
0,"Worst ""comedy"" I think I have ever seen. The only reason I give it a single point was that some of the jokes were almost worth a chuckle. Almost. But everything else about this piece of crap just stinks.",0
1,"Seltzerberg are the worse directors ever. As bad as they are, at least Ed Wood films have camp value and Uwe Boll made Rampage.Seltzerberg, Epic Movie including, has no redeeming value whatsoever. Words can't describe the horrible abomination that is Epic Movie.",0
2,"Scary Movie is way better. this movie sucks. if people like it, thats fine with me.",0
3,"A poor excuse for a parody, heck it's even a poor excuse for a movie, it's just so stupid, I hated every second of it, even if your a fan of the writers you'll hate this movie.",0
4,Jason Friedberg and Aaron Seltzer don't know a lot about directing movies. Its more like a Moronic Movie than an Epic Movie because they make morons out of too many actors from too many good movies. Especially Kal Penn and Crispin Glover.,0
5,The makes of Epic Movie managed to put in a ridiculous number of movie references. Too bad no one told them that wasn't enough. This movie just isn't funny.,0
6,"A mindless film made by two directors without talent, with lame gags, unfunny stereotypes of homosexuals and expensive sets. Friedberg and Seltzer must sell hot dogs instead direct any film.",0
7,I think most people will agree with me when I say that Epic Movie.......is an Epic Fail. It may not be as bad as Disaster Movie but that doesn't stop it from being totally unfunny and cringingly bad.,0
8,"Hey look Entertainment Weekly gave this movie a good score! How about that?! Anyways, this movie is just 'Disaster Movie' except they got the title wrong this time.",0
9,"Pointless, crass, and not even funny in a vulgar way. Someone should unleash the hounds of hell to hunt down the people who make these films, they're representative of everything that blows in America. There are boatloads of movies that are decent, so why shell out your bread on this kind of empty-headed crap?",0
11, One funny part: When Crispin Glover danced to Fergalicious. Juss fast forward to that and consider yourself lucky.,0
12," The only worse movie than this is, meet the Spartans.",0
13, Painfully unfunny one of the worst movies i have ever watched. people who like this shit have no taste.,0
14,"Gross, and weirdly under-produced for the budget it had, Epic Movie truly feels like an overly-long 2007 era YouTube video. It's just so humorless and cobbled together that it barely stands up as a movie. It's just a long list of bland references and disgusting, poorly delivered ""jokes"" that just grate on the viewer without end. This movie is so horribly paced that even though its under an hour and a half that it feels like three hours. It gets one point from me because it got exactly one snort of laughter from me.",0
