,review,label
0,"You should stay away from this utter garbage. It’s even worse than the first one. The writing, acting, directing, in a word everything in this film is uneven and awful. It feels more like a bad comedy than a romance/erotic movie.",0
1,"Anal beads cost less than a movie ticket,    so how about all the 45y old **** housewifes buy them    instead of watching  this trash",0
2,The only good thing is that the people are pretty and the technical stuff is fine. Everything else is terrible. It's just two people having sex and having awkward conversations.,0
3,"What a movie disaster! Bad, really bad! Where can I start? The script: it's repetitive, with totally forced situations and ridiculous dialogues, Jamie Dornan and Dakota Johnson have chemistry and showed in other films that the two are good actors, but, with a script like that! How can you act well if your dialogues are so stupid? For example: how can I take seriously a movie that at one point says ""You taught me to **** she taught me how to love""? The film is repeated again and again in terms of plot and not even the sex scenes are interesting. The movie causes absolutely nothing. The new characters lack depth and time on the screen.",0
4,"""Fifty Shades Darker"" was a horrible movie. The protagonists doing their usual things, the boring story and its forced change, of sure and no one is interested in this erotic sequel and the pure morbid it causes.",0
5,I Watched this crap about 2 hours ago and already forgot whats in it except the cheesy dumb teenager sex fantasies. The plot holes are deeper than Anastasia's Vagina.,0
6,"Whoops, the franchise just got worse. Plot points that go nowhere, the characters still act like idiots or jerks, blah blah blah, you've heard this before.",0
7,"It's not like a hate this garbage because i am a man.It has no value except the camera work.Should we talk about the tedious plot, there's nothing to expect to happen.Oh geez this trash can't even depict pornography well.The characters are boring, Christian being a psychopath and Anastasia is being her dumb self who has no reason being by Christians side.",0
8,"There's no accounting for taste! Not sure why this movie is popular, but it's not very well written, or directed. I guess this is a franchise that's here to stay, since it's cheap to make, and turns a good profit.Although for the more discerning viewer, I would avoid this at all costs. If you watch the trailer you'll know what it's all about, only it's a lot worse than it looks. Oh, and the reviews here scoring it a 10 are I suspect fake.",0
9,djhsabdjabjdsjbkdbhbsdlkjhbslblbfldhbfldhbflbdhfbaldfjhbldahbfldahbflhdabfljhbdslfjhbdljfhbdsljfbdlfhbjdfdlblfhbdlfhbdlfhbldhbfldhbflbdhfbldfbldahbflhdblfkhbdlkfbldkhsabflkdbfldkhabf = Crappy as movie,0
10,"THe type of movie that shouldn't exist, you don't even need to watch to know it's garbage, don't come with that **** of ''you need to watch'' no you don't, you can see the flaws in the trailer aready, stupid plot, completely empty characters and overral mundane, don't waste your hard worked money on this crap, go play some video games, your time will be spent way better",0
11,What i thought wasn't possible is possible as proven by the second installment in the terrible film franchise that explores no story and is fueled with the worst feeling of boringness within it,0
12,Fifty Shades Darker was more like Fifty Shades Dumb. The movie had a very unbelievable plot line and I also thought that the film was too dramatic. Fifty Shades of Grey wasn't that good so why even bother making a sequel that wasted the talent of good actors and actresses.,0
13,"Fifty Shades Darker is not a dramatic movie nor a thriller. Instead, it acts as a comedy, because it's 2 hours of nothing, with a crashed helicopter scene and a forbidden love (kinda, not really?) that doesn't make any sense. This movie throws some of the most loveable actors (same for the director) in one of the worst performances of 2017.The only good thing (mostly decent, not good) was the soundtrack with Nicki Minaj, Zayn etc. and that's it. In the end, 'Fifty Shades Darker' is another cash-grabby sequel, that has nothing to do with the book. And don't worry, it's worse than 'Fifty Shades Of Grey'.",0
14,"This sequel lacks any of the original's assets (I really liked it. See my review here). The narrative ended with her (Dakota Johnson) walking out on her billionaire beau (Jamie Dornan). Before long, they're back together, which leads to endless intimate discussions about commitment, boundaries and other boring drivel. The dialogue is embarrassingly pedestrian (I was predicting a number of lines before they were uttered). The sex scenes lacked any eroticism (but plenty of nudity) and the S&M component was PG-rated kink. The sprinkling of suspense and disaster feel contrived and add nothing. It doesn't help that the obnoxious soundtrack pounds home the character's emotional state with often ridiculously literal lyrics. Even the scenes of opulence lack visual snap. You'd have to be a true masochist to endure this painful experience. NOTE: If you must go, stay thru the early credits to see a preview of the next one.",0
15,"Deprived of any narrative intensity or tension, Darker lowers the series' status from bad to worse, and settles for simple ""guilty pleasure"" moments and laughable plot points.",0
16,"The only good thing about this movie is Tyler Hoechlin as Boyce Fox. And I can not even say if it was a role or a simple appearance.Give the boy more than 3 minutes on screen, three or four dialogues with Dakota and Jamie and that could save the entire movie.",0
