,review,label
0,"When this movie first came out, I was really excited. I was really hoping for a scary and exciting superhero movie. But after watching what was so suppose to be excellent, this was pure crap. First off, the so-called horrorifying visuals and fight sequences sucked. They really bored the crap out of me. Second, the screenplay was just absolutely terrible. I mean seriously, a 5 year old could have wrote this. Third, there was some bad acting. Not all the actors were terrible, but Eve Mendes was just bad. She may look sexy, but she really couldn't pull off her character (Roxane). The storyline may be somewhat decent, but overall, it's just a terrible comic book rip-off.",0
1," What a joke. No wonder it rotted in the can for two years. The director can now add yet another cinematic abomination to his hysterical resume. Ditto for Cage, who looks ludicrous. WICKER MAN and GHOST RIDER in the same year? Bravo. Almost as good as his last double-play: WEATHER MAN and LORD OF WAR. Cage time and again manages to limbo under the low, low bar he set in CON AIR. Basically, Coppola's nephew keeps churning out the virtuoso performances. When will Nic Cage be exposed for the ham and fraud he is? Another 20 mil for the hack. Yeah, I know he was in Leaving Las Vegas, but he's long since spent whatever capital he earned from that. Whoever sees fit to pay Cage and this director is not fit to draw breath, let alone greenlight motion pictures. Shame on everyone involved. The money spent on this dreck could have fed orphans or gone to disease research.",0
4,"What makes ""Ghost Rider"" so terrible is not the childish dialogue or Nicolas Cage, but the story. The plot madly stomps on everything, pulverizing the whole movie into a ugly piece of scrap.",0
5,"I've changed my rating for this movie many times as I've gotten older. Hopefully, this will be the last time. Ghost Rider starring Nicholas Cage, Wes Bentley and some other people. Yes it's so bad I don't even remember who else was in it because every character is changed for the sequel so, who cares. Oh wait Eva Mendes, she was in it. Okay so as always let's start with the bad. Nicholas Cage is awful, awful, awful as Johnny Blaze. They could have casted the guy from The Room and it would have been better. See the problem is he should have known he couldn't act with a terrible script provided by Mark Steven Johnson so he should have just given a Wicker Man performance. Unfortunately, his performance is awful because it's forgettable. There was not a single memorable quote in this movie at all. Not to mention zero character development. They barley gave a name for Eva Mendes' character. The visuals aren't even that great and that jacket is so cheesy, it gave me chills just looking at it. Also, there were so many puns that weren't funny in anyway. As for the good parts of the movie, well they weren't really good. There really just the okay parts that made me not give this movie a 0 rating. Anyway, Sam Elliot gives a decent somewhat cheesy performance. The only pretty good part of this movie was the graveyard scene which was well executed and exciting. In the end, Ghost Rider is poorly acted, badly written, filled with somewhat bland special effects and bad puns. Ultimately despite some redeeming moments, Ghost Rider receives a 2/10 score.",0
6, There's not one good thing i can say about this movie.,0
7,"One of the worst movies ever to be created, terrible acting, terrible story, terrible special effects, terrible casting. I'm actually surprised this movie made it to the cinemas nevermind DVD.",0
8,"The reason why I'm giving it a ten is because first I'm a huge ghost rider fan. And I love marvel comics. Whatever people say about marvel movies it shall still bring out the awesome. Oh, yes the movie well let's see its all about a daredevil (Johnny Blaze) who made a deal with the devil to save his father from cancer. I know he's an idiot but he was seventeen. But he's father dies not from cancer but from a stunt he tried to do. But the deal was to turn Johnny into the ghost rider. The devils bounty hunter who was sent out to kill his son blackheart. And..and enough said just watch the damn movie!!",1
9,..............................................................................................................................................A Very decent action movie is not terrible like almost everyone says.,1
10,"One of the most coolest characters from the Marvel Universe is instantly destroyed with a mediocre cast and a dumb narrative. Nicolas Cage , you are not the perfect actor for this kind of movie .",0
11,"A few days ago, Ghost Rider star Nicolas Cage made news by defending his appearance in a film based on a comic book by summoning up names like Goethe and Thomas Mann, and talking about comics' potential to reintroduce timeless themes in a ""pop-art contemporary manner."" And he's absolutely right. Or he would be if he were talking about Batman Begins or the Spider-Man series, recent comic-book adaptations that got both the spectacle and the depth right. But he couldn't have been talking about Ghost Rider. Cage is a comic-book fan from way back (he has a son named Kal-El, and his own stage name comes from Marvel hero Luke Cage), and he's circled around comics-inspired movie projects for years. Too bad he landed on this one, which reinvents a bizarre Marvel hero born of a 1970s enthusiasm for motorcycle-stunt heroics. Director Mark Steven Johnson previously botched an adaptation of Daredevil by being unable to decide what kind of movie he wanted to make. Here, that isn't a problem, assuming he set out solely to make the kind that fills moviegoers with buyers' remorse. Played in the opening scenes by young actor Matt Long, future Ghost Rider Johnny Blaze inadvertently brokers a deal with Mephistopheles (Peter Fonda) to save his father from cancer, only to watch his dad die in a motorcycle crash the next day. (There's always a catch with those supernatural pacts, isn't there?) Understandably upset, he embarks on a career of daredevil stunt-riding, gaining fame and fortune by jumping across football fields. But when Fonda comes calling, Cage gets transformed into a supernatural force for vengeance with a flaming skull-head and the ability to ride his motorcycle up the side of skyscrapers. Any potential the film had for making pop art in a contemporary manner is drained away by the familiar demands of second-tier action blockbusters. Cage has some fun with the role, making Blaze a kind of Zen Elvis with a strange fixation on Carpenters songs, but the film's priorities lie with the digital effects and not the story, and even the effects aren't that hot. Eventually, Ghost Rider devolves into a long fight between Fonda's even more evil son Blackheart (Wes Bentley) and Ghost Rider, with Cage largely disappearing to make room for a CGI flaming skull. At least they got the cheekbones right.",0
12," It gets a 2 instead of a 0 because it was so bad as to actually be kind of funny. I couldn't help but laugh when Nic Cage slowly extended his flaming finger, dramatically, just to strike a pose before answering a yes/no question.",0
