,review,label
0,"Everyone knows that both Sandra Bullock and George Clooney played their rolls beautifully. But one thing I want to mention that blew me away was the unsung hero of sound design. HOLY HELL it was spectacularly done. For a setting that has no sound and to make it seem that way is a feet that is out of this world (sorry for the pun). It may sound easy just to remove the Atmos effects but really, having done sound for TV myself it is very difficult to cover up. This is a film I will take notes from in the future.",1
1,"Wow! I rarely enthuse about any film these days, but this is something very special. Gravity is not only intense, devastating and ultimately life affirming, but has single handedly changed my opinion of Sandra Bullock, an actress who I normally have no time for. Full marks.",1
2,"Intense and gripping!  This movie was shot as a simple survival story in space...  but I connected to it even more at a much deeper level.  The way that the cinematography was shot, I felt I was in space floating with Sandra Bullock's character, Dr. Ryan Stone... that was a technical achievement in itself...  But  I was also able to feel what it was like to be in the mind of her character.  I feared with her, struggled to survive with her, felt the hopelessness of life and accepted death with her, and then, found air, found new life, and was born again with her.  Sandra Bullock has put on an Oscar worthy performance, and it sure did help with Alfonso Cuaron being at the helm to guide this film.  What a genius.  It's been awhile since I've been deeply absorbed into the thoughts and feelings of a character on screen.  This movie was truly a journey and an experience into the mind and soul of Dr. Ryan Stone's character.  Wow, such an amazing film.  An unforgettable experience!  Must see in theaters with the biggest screen you can find.",1
3,"In a year where some movies pass off as cheap entertainment, this movie delivers and shows the wonders and thrills of cinema. It's absolutely breathtaking while showing both the beauty and the horrors of space. The acting, visuals, cinematography, everything is about this movie is just flawless. Overall, this is truly one of the best movies ever made. It's freaking awesome! Be sure to check out my YouTube channel, ""TheMovieManLife"" for all things movies!",1
4,"It was Bullock's Cast Away. 90 minutes of ho-hum, I'm floating in space from one station to another, until I finally parachute down to a remote lake. We saw it in 3-D, but each of us fell asleep several times. When we woke up, more of the same...Sandra frantically pushing buttons in Russian and then Mandarin, hoping that she pushed the right one. When she was floating in space, she desperately reached for parts of the three space stations, and fortunately was able to grab something at the last minute. Big surprise.There was about 10 minutes of interaction with Clooney, but the rest of it was her mumbling to herself. Waaayyyy overrated.",0
5,"It is difficult, if not impossible, to convey how utterly dreadful ""Gravity"" is without a viewer having at least a small taste of experiencing it yourself. Given the overthrowing praise the film is receiving, countless thousands will waste 90 minutes of their life wading through this oddly lifeless film.  The tedious screenplay evokes the worst of James Cameron but adds hundreds of Sandra Bullock ""Aaaaahs.""  Water boarding couldn't be this painful. By the 30 minutes mark you will be begging that a massive asteroid pulverize any survivors on screen; by the 60 minute mark you will beg for the 3D effects to deliver an asteroid to your own skull. They shoot horses, don't they?",0
6,Its Diablo 3 and the latest Sim City only this time on the big screen. Ie looks great but quickly gets boring and leaves you feeling like youve been had.,0
7,"This movie has been so hyped that people are afriad to say they don't like it.  I didn't like it.  I was bored, Bullock didn't act she just hyperventilated through the movie.  Clooney was only comic relief.  Explosion scenes were unrealistic. In a ""gripping"" movie, when the hero lives, the audience applauds.  NO applause here. Only comments of disappointment were heard on the way out. I wanted to like this movie as I did Apollo 13.  I would not recommend this movie to anyone, even on Redbox!",0
8,"What? Was this a joke? Is there some sort of conspiracy to give this amazing reviews? Incredible visuals, amazing technology. Otherwise, I am pretty sure the script was written in about 40 minutes, after drinking a case of bud light lime. SPOILER: The plot is just a never ending sequence of barely surviving tragedy. The only thing that could have made it more absurd would have been if a shark attacked her after she escaped from the pod at the end.",0
9,"Visually stunning, but preposterous.   Within 15 minutes, I said this is ridiculous.  Not even superman could have as many lives as Sandra Bullock.  The dialogue is also lame.  There is some emotion, but you really don;t care.  There is no comparison to 2001, except that both movies take place in space.",0
