,review,label
0,"I came into the movie expecting it to be bad but reasonable summer movie entertainment. Being an avid metacritic reader, I was fully aware of score of 40 and the bashing the critics gave this movie. What drove me to what the movie was the trailer (which seemed reasonable) and the fact that the user score was 6.7, suggesting that this movie is full of mindless but fun action.And how I was wrong. Really Really wrong.This movie lacks action. For a movie about a lantern who's powers were only limited by ones imagination; a fittingly ironic plot considering the lack of imagination in the writing, storytelling, acting and CGI found in this movie.  I counted only 3 action scenes of 30 secs each in this whole movie, all of them nicely summarized in the trailer. On might thing me shallow and argue that a focus on character development could be interesting, like in Ironman. This would be possible if not for the terrible writing AND acting in the story. None of the characters were believable if you are over the age of 6. I guess knowledge of the characters prior to the movie might help fill in the backstory which was never really explored in the movie. It seems mos of the people who enjoyed the movie were fans that grew up with GL. Unfortunately for me I do not fit this category . Honestly, 10 minutes into the movie I was already bored. The actors were all cliches and none of them were even convincing. The same plot lines were repeated around 30 times and again and again. I honestly felt like walking out of the cinema because it was that bad. Overall, stay far far away from Green Garbage and watch Xmen again if you have to.I feel bad for contributing to the revenue of this movie. For those who enjoyed this comic, watch it and feel free to disregard what I say.",0
3,"This movie's special effects are super good and this movie also features quite a lot of action. I did not really like Hal Jordan's suit in this movie as it looked like it exposed too much of his flesh. Nonetheless, the character is great in this movie. Overall, this is a good movie.",1
4,"While I can see why many critics disliked it, Green Lantern is NOT deserving of the bashing it's been getting.The superpower of being able to create anything you could imagine through willpower has, in my opinion, always been unbeatable in terms of HOW COOL IS THAT? I knew going into the theatre that although it probably wouldn't be executed as well as I would have liked, a story like Green Lantern couldn't possibly fall into the ""been there, done that"" list of superhero movies. I've took notice when I first began reading comics that DC characters tend to be more fantastic and space-bound than Marvel, which tends to focus on internal issues. So far, DC hasn't had as many shots as Marvel in films outside of their Batman/Superman franchises, so I was really hoping Green Lantern would be new and exciting.It was disappointing, yes, but it's definitely not a borefest to the average moviegoer with no invested interest in the comics or characters. It's action-packed, funny, very cool powers with very cool effects, romantic, and certainly fresh in the sense that I can't recall any other superhero movie that's been released that had a place like Oa be a major part of the storyline. I also want to mention that as a female comic book fan, I tend to take notice of how the female leads are treated throughout the movies. In the past few decades, I've never really been all that impressed by the love interests outside of Lois Lane. Before the movie was even announced, I had already known that the only iconic characters that would be able to hold  a candle to Lois would be from DC. I had high hopes for Carol Ferris, and while she wasn't executed all that well, she's still impressive to me. There wasn't much focus on it, but I think more people should consider that she's a pilot and is business savvy. Having seen films like Spider-Man accurately portray Mary-Jane Watson and keep her as a plot tool lead the way to comic book movie formulas, for me, the fact that Carol saved Hal from death counts for something.I'll hold off on saying I loved the Carol in the movie, but the writing made her recognizable as Carol Ferris, and simply because there haven't been many women in comic book movies that have impressed me, I'm going to give Carol Ferris the credit I would never give to characters like Mary-Jane Watson, Pepper Potts, Betty Ross, or Jane Foster etc. The DC women I feel I can respect and look up to, and I'm very glad to add Carol Ferris onto that list with Lois Lane. I expect the same for Catwoman in the next Batman installment. Overall, the movie is very what much what you expect from the trailers. Yes, it probably could have been the next Star Wars and is one of the only comic book franchises with that type of potential, but it wasn't. However, just because of that, it doesn't mean that this film should be bashed because Thor or X-Men: First Class handled themselves better, in my opinion. Green Lantern at it's best would blow everything else out of the water. At it's mediocre, it's on par with the rest of them.This is, of course, speaking in the context of what I was looking for when I went to see it.",1
6,"Not the greatest hero flick I've ever seen, but it's enjoyable.  I thought Ryan Reynolds did a good job as Hal, and Peter Sarsgard's perfomance as Hector Hammond was great. I also couldn't get over the scenes on the beautiful planet Oa. Hopefully the sequel (yes, there will be a sequel; if you sit through the credits for a little while, you'll learn this) will be a little better.",1
7,"This was a really good movie. I didn't read any reviews before I saw it so my expectations were unaffected. I was hoping for a good eye popping visual feast with a cast that didn't disappoint. Well it was a good as I hoped. The acting avoided the cheesiness that sometimes plagues films like this. I was pleasantly surprised that during the relatively lighthearted moments (read: not dark like Batman) it still maintained seriousness and the characters never crossed the line on believability with overacting. By comparison this movie was better than THOR in my opinion. The only thing I can critique is that it was a little short. They could have added about 20 minutes to flesh out the character development a bit more, but overall it still worked pretty well. I thought Ryan Reynolds did a good job. His character seemed like an unassuming approachable guy that got chucked into this role of responsibility, but had the raw potential to be a hero under the right circumstances. It was believable in a similar way as Peter Parker in Spiderman, but more so because Hal wasn't a dork to start ou with. Heck in costume Reynolds even looks like Lantern in the comics. I think he was a good choice ultimately. I can't wait for the sequel. If you were lucky enough and stayed for the closing credits you had a chance to see Sinestro put that yellow ring of fear on and bask in it's evil. Smells like sequel materiL to me. Can't wait..",1
8,"To telll the truth, after reading some truly savage reviews by some of the critics I have learned to trust, I intended to skip this film.  But as a kid I loved Green Lantern more than Superman, Batman and Supergirl combined.  After Wonder Woman GL was my fave. Now I'll tell you right off, this IS the film to leave the deepest part of your brain home.  Don't expect deep thought or, y'know, ideas.  This is a comic book.  Come to life.  That's all. That said, its a whiz-bang, crazy wild ride.  Whether you're riding in the **** of a fighter jet with an experimental robot plane hot on your exhaust or you've encountered a dying, handsome purple alien who has just given you the mother of all crackerjack prizes--and a free charger to boot--if you're Blake Lively's title character Hal Jordan you've got just the right aw, gee-ness to carry it off. Lively's Hal isn't a great brain, but he's a brave guy and a s**t hot seat-of-the-pants pilot.  And the flying scenes in and out of vehicles make me want a power ring of my own.  All the necessary plot points are here, the plucky girlfriend, the staunch buddy and the evilest evil since Sauron.  And then there's the Green Lantern Corps.  Not since Luke Skywalker strolled into the cantina have such an amazing array of alien life forms been gathered together.  And here Hal makes some friends.  I won't tell you about them lest I spoil the fun. If you want intellectualism, check out anything by Lars von Trier.  If you want a rollicking good time to go with your popcorn--see Green Lantern.",1
9,"Although the cheese factor takes away from the story at times (not surprising given the lead actor) it was refreshing to see a superhero movie that is proud to be just that. Green Lantern isn't afraid of its spandex, or colorful alien backdrops. When Hollywood attempts to make larger than life icons more realistic for the average audience (such as turning the X-Men into a biker gang, Galactus into a large ominous cloud or beefing up the Batman by sporting him in armor) they only seem to succeed in producing a less believable action flick instead of what we wanted to see: a silver screen adaptation of the well-rounded comic book crime fighters we love",1
10,"First thing I need to say is this is not a thinking movie. It's a superhero flick. So if your intention is to watch a movie that'll make you feel warm and fuzzy, or make you cry, or make you ponder the nature of life, don't see this. What this movie is, is an exceptional representation of an iconic superhero, which is a rarity today. I had initial concerns about Ryan Reynolds playing Hal Jordan as he's a very quirky actor, but he pulled it off well. Carol Ferris wasn't as well played, but she was still passable. What really struck me about this movie was how it really stayed true to the origin of the green lantern and yet at the same time dumbed it down for casual audiences. As a for instance, those of you who have read the comics know that Parallax's backstory is long and complicated and one can't really understand it without understanding the war of light, but the movie makes a few minor changes and makes him an acceptable villain to someone who hasn't followed the comics. This is getting a little long-winded, but what it boils down to is Green Lantern is DC's Iron Man: A healthy amount of action, true to the origin, accessible by both long-term fans and casual viewers, and not too much cheesy crap.",1
11,"I thought the movie was very good.  The pacing as great as it seemed like there was never a dull moment.  There was excellent balance between action scenes and story development, humor and seriousness, as well as internal and external conflicts.  I think it's a shame the movie seems to be getting the low scores it's getting.  I thought this was not only a good super hero movie, but a pretty good science fiction movie as well.  It is definitely worth seeing for yourself.",1
12,"I may not be a huge Green Lantern comic  book fan, but Ryan Reynolds delivered in his role as Hal Jordan. I'm not quite sure why the critics have been bashing this movie, because it's a pretty solid popcorn movie. If you're expecting Citizen Kane from Green Lantern, then you've only got yourself to blame.  A solid superhero movie and pure escapism!",1
