,review,label
0,"I'd like to keep my review rather to the point.Pros:1. its theme - dream is a fascinating topic to say the least. There are a lot of unknowns in the dreamworld.2. its plot - there are several sweet twists and unpredictable turns.3. its edgy drive - although you know what's coming next but still you feel jumpy about it.4. its fast storyline - the story moves fast from one scene to another, making the viewers feel like on a roller coaster ride. At times, it's hard to keep up, even at the second viewing.5. its sophistication - there is a lot of information to remember and digest. This is the very thing the modern moviegoers are after, I believe.6. its realism - okay, pun intended. The movie explains (or at least tries to) the ins and outs of what dream is about and how it functions, some of which are very familiar with and dear to us.Cons:1. its poor character development - although the acting was convincing enough there was not enough of character development. I wonder how many people really felt connected to the main character(s) after watching the movie. Yes, the movie talks about emotional struggles but it was more of an action film, if you ask me.2. too many distractions - I found that the movie had more than enough characters than necessary. They may play some roles in the plot but they seemed more of distraction than anything else. I wish the movie was more focused.3. a bit preachy - I noticed the characters would explain things about the dreamworld and then the exact things happen later in the movie. I'm afraid, Inception overused this trick.In conclusion, its theme is fascinating but its delivery is not without room for improvement.I highly recommend you to go and read Somewhere carnal over 40 winks, if you dig this kind of flicks.Cheers!",1
1,"Inception is a daring original, and mind-provoking film. One of 2010's best.",1
2," What makes Inception so special is that it's not your typical straight forward summer blockbuster. Nolan gives you bits and pieces of information, and as the movie plays out the viewer begins to put the pieces together and the picture gradually becomes clearer. Chris Nolan doesn't dumb down the movie for the audience like most Hollywood movies do these days, he expects us to keep up with him. And when we do, the reward is extremely gratifying. And the visuals were amazing.",1
4, Funny how people think complex equals smart and intellectual. This movie was a big bag of hot wind. Matrix was better.,0
6,I thought this movie was not as good as people are saying.  Because we knew it was dreams inside dreams the over the top fight scenes had no bearing.  Who cared?  As a result the movie became boring and repetitious.  I would be very hard pressed to recommend this movie to anyone.  Stay away.,0
7,"Christopher Nolan directs what must be his magnum opus with the complex Inception, a beautifully realized, tightly plotted  surreal experience bolstered by a magnetic score by Hans Zimmer, great acting by the cast and thrilling set pieces.",1
8,"Inception is a spider's web woven with such intricacy that only when focused, you can find a way out. With brilliant material for the brilliant cast to work on, Inception delivers a complex masterpiece at an intellectual as well as visceral level. Top-notch directing, acting, cinematography, editing and Hans Zimmer's brilliant soundtrack only cements this as a modern classic.",1
9,An amazing film.  If you love puzzles and are not offendend at that fact that you may not understand everything that you see (the first viewing); then this film is for you.,1
10,"BRILLIANT.... simply BRILLIANT!Very hard to understand at first  (much like MATRX), however, it all came together by the end.Acting, special effects, story-line, direction, and creative ideas SUPERB!",1
11,"Really great movie. It was impeccably structured, visually fantastic, and generally perfectly executed. It was creative, ambitious, and intelligent, which are qualities that make it stand out from typical hollywood fare on their own.  People call it a mindf**k, but don't confuse that for trippiness or a convoluted JJ Abrams mess, it made a great deal of sense. It is certainly a movie that wants you to think about after watching it. I think some people are trying to view this movie as an action movie, or an exploration of psychology and dreams, but it's neither of those. Those are all great things, but this is a heist movie. This is the kind of movie that Ocean's 11 would be if Ocean's 11 was far more original, intelligent, and had a greater respect for its audience.",1
12,"Absolutely amazing film. Amazing soundtrack, special effects and writing. Would watch it again at least a 100 times. Should have won more awards in my opinion.",1
13,"I seriously don't understand how people are giving this move anything lower than seven, strong dialog, innovative action scenes, and the deep characters all make this an B+, A- movie. But what really distinguishes this movie as one of my favorites is the conflict with Cobb's lost love and the final kick sequence (this being one of the best scenes in the history of film making) forces my hand on to give it a 10.",1
14,"This is one movie that will make your head hurt, in a good way, this is Nolan's best film yet, and this is the guy who directed The Dark Knight, the complexity of the movie is what makes it so good, the ending is quite a cliffhanger too. And the visual effects are amazing. This is my favorite movie. Period.",1
15,"Inception is amazing simple as that it's amazing how Christopher Nolan can have so many Masterpieces pretty much everything the guy does it brilliant. Everything about the movie was great it has an all star cast, amazing visuals and top notch story telling that was easy to understand even back when I first watched the film. I will say that I have seen better of Leonardo DiCaprio even though he still did a great job in this movie. I love Joseph Gordon-Levitt so this is just another reason to love him. Also this is the movie that made me start to like Ellen Page she always seemed annoying to me but not after this. Oh yeah and it's another great score from Hans Zimmer. Overall i give it a 10",1
16,"First time I watched it in cinema, I was a little bit baffled or misoriented. However after getting the DVD I watch it once a week I think. I just can`t get over this flick! Where do I start - maybe from the best. First off, performance worth of an Oscar by Leonardo DiCaprio, excellent acting by Marion Cotillard and Ken Watanabe, above average by all the rest, especially Joseph Gordon-Levitt, Tom Hardy and Cillian Murphy. All of the characters without exceptions are engaging in their own way",1
17,"A beautifully complex movie by modern master filmmaker Christopher Nolan.  The performances, editing, music and visual effects are remarkable and surely Oscar worthy.  Intelligent, mesmerising and astounding, this a must-see movie experience.",1
18,Don't think of elephants..... What do you think of?The concept of using your sub conscious as a form of weaponry is a fascinating concept that has been adapted to a fantastic film by Christopher Nolan. The effects were nothing short of brilliant and the concept that drives the storyline was perfect. The actors played a huge part in ensuring the success of the film and I felt that Ellen Page andLeonardo Dicaprio were fantastic in getting their role. Overall the concept of the movie leaves us with unanswered questions. In particular the ending of the movie questions the reality of life. In fact what do we define as real or unreal? What is reality? Are we controlled by a dream? Why do we have dreams? The movie captured my attention and was a great work. Overall a fantastic movie that was brilliantly staged by Nolan. 9/10,1
19,"An incredible achievement by Nolan, an absolute masterpiece. The film gets more complicated as it ticks down and while it has a satisfying ending, there is still question regarding what really happened.",1
20,"I found that it didn't really amaze me with its plot or character development quite as much as Nolan's other films such as The Dark Knight, but it's a fast-paced and thought provoking action movie that is sure to keep you thinking long after the end credits roll. Plus, the concept is just plain cool.",1
