,review,label
0,I think the word 'masterpiece'is going a bit far but Joker is an amazing film. If Joaquin Phoenix doesn't get the best actor oscar award there really is no justice; he's that good.,1
1,Ladies and gentlemen!!! THIS IS A MASTERPIECE. It is an INCREDIBLE origin story. One of the best movies based on a comic character. Joaquin Phoenix's performance is SPECTACULAR! Thank you Todd Phillips for bringing us this shocking story.,1
2,"Joker is one of those rare movies that my only regret in watching it is that I can never watch it again for the first time. That being said, I'm not sure when if ever I could watch it again as it's such an exhausting experience. And I mean that in a good way. One of the best movies of this century so far.",1
3,A must watch movie of the year especially the month (October).Joaquin Phoenix's performance was a masterpiece.Robert De Niro's acting was also mind blowing.,1
4,"This wasnt a superhero film, and thank God it wasnt!!Joker is, by far the darkest and most tragic story in all of the DC universe.  Not only was it respectable to the source material, everything in the movie reflected what The Joker is, when you take Batman out of the story.  Fair warning:  the film is very graphic.  It holds nothing back.  Also dont expect a special fx show.  This is a sit down and shut up flick.  This is a film about madness, illness and sadness.",1
5,I generally agree with Metacritic's movie score over Rotten Tomatoes but not this time. Forget the paid critics biased views of Joker and go and see one of the best movies of this century and maybe the last.,1
6,"Joker is a hard film to love but an easy one to admire. As many others have commented, it is a very grim watch with only a few moments of gallows humor to lift the tension. That being said, I would urge any lover of cinema to see it. At least once.",1
7,"Joker is deep, immaculate, powerful, and triumphant as you witness Joaquin Phoenix giving the Oscar winning performance of his entire career as the Clown Prince of Crime in 1970’s unforgiving Gotham City. All thanks to Todd Phillips’ inspiration from Martin Scorsese’s Taxi Driver and The King of Comedy, it is safe to say that this film is one of those films that will be talked about for a very long time. And there is no doubt that Joker can deliver a mature fish out of water story that is dark and psychologically brooding that every comic book fan needs to see. May the future of DC Black begin…",1
8,"the new “Joker” is totally worth to be considered as the best of DC’s movies now. gorgeous, breathtaking, horrifying but amazing.",1
9,"The film is an excellent story of origin, departs from comics, and allows you to see the psychology of the character. You can also see that it has enough similarity with the current era in some attitudes quite well reflected. It is a movie to feel and think.",1
10,"Felt like more of an Arthur Fleck movie than a Joker movie. But in this case I think that worked in its favor. Honestly, when compared to other ""gritty"" and ""grounded"" dc comic book movies, this one actually works and is better than most. But, if you are going to compare it to something like taxi driver? Well then it's just average. It has some issues but nothing glaring. Overall I think everything works well. Not blown away but impressed.",1
11,"We truly do live in a societyBut in all seriousness, this movie was amazing. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. It had me shaking and disturbed for a long time after I left the cinema, and that can only be the mark of a great movie.",1
12,Unrelentingly bleak but absolutely captivating. There's really nothing more that I can add to the praise it's already garnered. Go see.,1
13,There’s no word describe how amazing this movie is. This man deserves an award for this role. The real Joker is back!,1
14,"Es una obra maestra absoluta, olvida los comentarios negativos, la pelicula no es aburrida y la actuación de Phoenix es, excepcional.",1
15,"Gives a view of the darkest the world can be and builds up well to the worst day someone can have with that dark life, which births the Joker. Doesn’t glorify violence, (spoilers) with the main character being initially hesitant to take a gun from a coworker (first 10 mins of the movie) and he expected says he doesn’t have any political stance and just manages to fall into place because of the public’s reaction. Not a movie I’m planning on seeing a millions times in my life because of it being so hard to watch someone fall like the Joker does, but it’s a movie that needs an award. All the acting is great, the plot (while similar to Taxi Driver) is brilliant and the quality of the movie shows you don’t need CGI super powers to be a great villain in a Superhero movie.",1
16,"Having just finished watching, I am stunned to say the least. Jaquines' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. As unfortunate event after unfortunate event baraded the Joker leading to circumstantial wrong-doings, I truly felt for the character, while also being aware that his actions were wrong. Amidst the action packed superhero movies presented today (and as much as I do enjoy those as well) this movie is truly in a league of it's own.  Joker takes the lore and characters we have grown to love and revere as immeasurable beings, and throws it in your face as an all too real, true to life possibility.",1
17,"I find it somehow disturbing, yet undeniable amazing. Joaquin Phoenix did a great job in both being a normal person with bad days and the Joker, the one we are familiar with.",1
18,"One of the best performance by Joaquin, Bold and intense storytelling makes this one terrific and influential. Cinematography and set pieces were almost great. Don't miss this one",1
19,"Joaquin Phoenix shines in this dark character study about one of the most popular comic book villains. The slow but rewarding direction is accompanied by an eerie score that fits perfectly with Joaquins Oscar worthy performance and will leave audiences feeling disturbed and uneasy,  exactly how the joker should make one feel.",1
20,"Great movie, it touches the themes of mental illness well, and the necessity of escaping pain by suicide.. That some people feels, this is a different joker, who is trying to accept his cruel life.. Great movie, only bad aspect is that it ends in a weird way.",1
21,Amazing and beautifully haunting film. Joaquin Phoenix oscar worthy performance in another level.,1
22,"Is a joke not everyone gets.The critic can't decide if is good or not, so is up to you.",1
23,The most disturbing movie ever made. It is seriously a must-see and the critic reviews lie.,1
24,Joaquin Phoenix gave extraordinary acting in depth as well as Tood Philips who was able to make the Joker the person I know best through his films.,1
25,Don't listen to the critics who don't know the difference between art and reality. Go and watch the movie and make your own opinion.Joker is a masterpiece and JOAQUIN PHONEIX deserves all best actor awards of the year.,1
26,"I went into this film knowing two things, the score from Icelandic composer Hildur Guðnadóttir (friend of Johann and Chernobyl musical genius) meant the tone of this film was going to be glum at best and Phoenix throwing himself into all his roles would undoubtedly deliver. Both of things for me at least were spot on.The story is desperately sad if not a little predictable, my only really gripe being  the use of on screen notes to move the plot along at times, I find trying to nail which part I am meant to be reading takes the immersion out a little and I’m pretty sure It happens on at least three occasions. Acting across the board is fantastic; I can understand why Phoenix has been called out by some reviewers but for my mind the Joker is meant to be over acted and his slow descent into madness is perfectly executed.Overall this feels like the sort of film you end up studying in English class, there is a lot to take in and you will have questions come the end. Not everyone will love this as it can plod a little at times but it’s a needed plot that adds to the overall mood of the film.",1
27,Beautiful piece of art the acting the shots the intensity I was focused on the screen through out the whole movie,1
28,"This was farthest thing from what you expect from a ""superhero"" universe type movie. Even if this movie had a different title and stood alone it would have been just as great! The writing was absolutely amazing. The mood set for the different scenes and the slow uptick of this movie was absolutely on point. Phoenix deserves every accolade possible for this stunning portrayal. Would reccomend for anyone tha appreciates deep writing, dialogue amd the classic sense of how a truly timeless movie is put together!!!",1
29,"Joker Movie is a dark and emotional movie that hides behind the laughter of Joker . A disturbing movie but powerful performance by Joaquin Phoenix is the beginning of new era.It is one of the best example on flim making... Pure art work with camera( Less VFX expenditure)Take a bow Todd Phillips for your excellent execution. Inspite of Todd Phillips's confirmation that Joaquin's joker won't meet Pattinson's Batman, I believe Todd and Joaquin,Both should reconsider their decision to unleash full potential performance against Robert's batman. Because joker needs batman in order to show his full potential. This movie is ""the raise of the joker.""",1
30,"uma obra impecável e simplesmente perfeita, joaquin vc é lendário, taca um oscar nessalenda",1
31,"Uma obra de arte! Perturbador e encantador ao mesmo tempo, necessário para nosso tempo.",1
