,review,label
2,"This movie was great fun. Lots of amazing visuals. Great stunts and action. Funny dialogue - I especially loved the Terry Gilliam ""Brazil"" scene. The plot is ridiculous which was extra entertaining. it has a real Fifth Element vibe - sort of camp and zany and over-the-top - but with a larger budget and much better visual effects. I'm looking forward to the sequel!",1
3,"To the Wachowski's - Don't let these reviews detract you from continuing your work.  This movie I believe is more of a a revelation masked in an action sci-fi film. This was the best movie since the Matrix.  Even my mother of 65 loved it,  my wife and friends.  As usual so many truths that are are currently hidden to us are meant to be revealed here in a way the general population can digest.  The problem is the population isn't ready for this material yet.   Therefore you see the negative ratings.  Everything from the symbolism of the bees down to the decadence of the ruling elite.  The underlying premise of this movie is closer to reality than most understand. As far as the movie and superficial material .. The fight scenes and action were the most exciting I've seen since the Matrix.  Very few movie makers can can bring chills down your spine like the Wachowski's.  The action and special effects already made this movie worth the price of admission.  I may even go back and see it again.  The architecture and style were unique and a pure joy to watch.  PLEASE Keep MAKING MOVIES!",1
4,"I enjoyed this film.  I felt that the storyline and universe was epic - reminiscent of Frank Herbert's Dune.    There was plenty of action, an interesting storyline and sneaky pop culture references that were amusing.  It felt as though it had been heavily cut, however, and could have easily filled another hour or so. I wanted to see more of the universe.  It felt as though we were just looking through at a small portion of what this universe had to offer and I had many questions I would have loved to explore further. I really hope that there will be a directors cut, expanding on this universe and filling in some of transient scenes that felt missing.  The acting was excellent and the dialogue between characters felt real and not forced.  It was artistic and beautiful without sacrificing the storyline, though I wish there had been more of it. Not as amazing and ground breaking as the matrix trilogy, but a great watch.",1
5,"Like it so much I went twice, good sci fi film. Enjoyed the chemistry and humour. Eddy was good at being a bad boy for a change. The second viewing was able to understand more of the film that I missed the first time round. Worth a visit to a big screen to get the full effect.",1
6,"This was a fun movie.  There has been a lot said about the movie itself, and they are right.  It is not cinema masterpiece.  What it is, is a fun, sci-fi action movie.  That is it.  Don't expect more.  I would love to see more of this world.  What we saw was very intriguing.  Though, this flopped so badly, I doubt we will see more of that world.",1
7,"I love the movie, and I want to watch it again. It has a very interesting storyline and effective actor's play, the visual are very impressive. Some people just could not understand the idea of story, therefore just ignore these critics.",1
8,"Not totally bad, but I was expecting for better. This is not very original movie, I reminded me of Thor, and some says it is similar to Guardians of the Galaxy (I didn't watch Guardians).",1
9,"Completely unrealistic plot on the most base level: unappealing Mila Kunis discovers that she owns the earth and is given planetary powers. She was working as a poor maid cleaning toilets until that became known to her. After a lot of adventure and saving the earth, she decides to go back to scrubbing toilets (literally) for a living as a maid. The sci if stuff is fun, but the basic plot is ludicrously unbelievable. A similar plot would be: a maid wins a billion dollars in the powerball but decides to throw all the money away and scrub toilets for a living instead. Yeah right.",0
10,"I really don't understand all thats bad reviews, this movie, even if you are not a fan of a hardcore sci-fi, must be a A+ just for be PURE CINEMA; incredible landscapes, a great and original universe, incredible action scenes, What people are looking for a epic sci-fi opera? I just don't understand.",1
11,"Finally saw Jupiter Ascending, and As usually, I wonder where the bad reviews come from. The movie is definitly not ""Good Will Hunting"" or ""Inception"", but it doesnt pretend to be either. In my opinion, it has some strong Luc Besson influences, and I would compare to ""The 5th element"". Its loud, its crazy, its fantasy, its wild. And it doesnt take itself too serious. After watching its grandeur with sets, spaceships and costumes, I knew I want the Wachowskis to do DUNE.",1
