,review,label
2,"This movie was indeed fun and actually satisfied the comic book nerd in me with its superhero bits. Although some of the CGI and the rapid pace of action scenes were a bit letting off towards the last act, the league stands out as a whole on whose shoulders the movie marches well forward. Every character shines and makes this movie worth investing your time at the cinemas whether regardless of being a comic book fan or mainstream. Ezra's Flash was a real charm and not to mention Superman's actual moment which was the biggest USP that satisfies hardcore fans like myself.",1
3,"I give Justice League a solid B as a grade. As a comic book reader, I enjoyed the movie and I was thoroughly entertained. The movie is epic, maintains its' serious tone, and still manages to make you laugh with humor without it becoming a parody. You can definitely see Joss Whedon's additions to the movie which lightens Snyder's more serious tone. I read some of the reviews from critics and I had to wonder if we even saw the same movie.",1
4,"""Justice League"" is a rather flawed movie. Its pacing often feels rushed (thanks to Warner Bros' insistence that the movie be under 2 hours), the CGI is painfully obvious (some of the post-production work on Clark's face is meme bait), and Steppenwolf isn't exactly a villain to write home about. That said, it's also got plenty of entertainment value. It's considerably lighter than Zack Snyder's other two DCEU films, the characters all have good chemistry with one another and are given their own moment to shine, and it's exciting in that ""superheroes coming together to save the world"" way, much like ""The Avengers"" was. If you've dreamed your whole life of seeing the Justice League come together on the big screen, you're unlikely to be disappointed, so long as you adjust your expectations.",1
6,"Movie was really fun! Plot is nothing to write home about, but the heroes make the movie. I feel liie many of the critic's reviews are overly harsh. I was pleasantly surprised.",1
7,"This was one of the most enjoyable movies I've seen in a very long time, and has to be my favorite super hero movie of the year. The atmosphere and cinematography were top notch. Reshoots and CGI could perhaps have been better in places, but in what movie in this decade isn't that the case? I also missed the Zimmer music in places it would have fit nicely, including the cornfield scene where one of the Man of Steel pieces was used. That's all that really bothered me, other than the film could have perhaps been longer. Batman was a pleasure to watch. Wonder Woman has several amazing moments. The Flash was funny and endearing. Aquaman managed to actually make me interested in his upcoming film, and that alone is a feat, as he was never a character that interested me. A certain someone was the 'S'tar of it all, as I believe was always intended, and more how people wished him. Steppenwolf served his purpose of being a menacing plot device to frame the formation of the League, also.Just seeing the League interact on screen, and mythical heroes duking it out in ways and on a scale you just don't see elsewhere, was a pleasure. I plan to see the movie several more times.",1
8,"The beginning of the movie is a bit bumpy but when the movie starts to pick up, it really does shine. The chemistry between the members of the Justice League and how they work together is amazing to see on the big screen. The cgi for Steppenwolf looks straight from a video game. If you thought Ares in Wonder Woman was bad, this is even worst but seeing them beat the **** out of him makes it up. This is a lot more lighter in tone compared to the other DC movies and its definitely in the right direction. There is some hints of studio meddling by making them cut it down to around 2 hours which ruins the pacing of the film. The scene stealers have to be Jason Mamoa as Aquaman and Ezra Miller as The Flash and someone else which I cannot say to avoid spoilers. There is a particular scene where The Flash and this person interacts that had the whole theater roaring in laughter like how the Hulk interacted with Loki in The Avengers. The score is a really big treat for this film. Danny Elfman incorporates themes of the past that we are familiar with into this score like the original Superman theme and of course Tim Burtons Batman theme. This is a really fun movie and I highly recommend people to give it a try even if they thought the last couple movies were lame because this movie is getting a bunch of bad rep due to the critics score. Do not let bias pre meditated opinions dictate your choice of seeing this film just because you love Marvel more than DC. You can like both and it is possible. Thor Ragnorak was a fun ride and I enjoyed it and Justice League is also a really fun ride also. PS: There is 2 stinger after credit scenes at the end.",1
9,"Justice League is a team movie, and the team in here works in a great way, every single one have his moments, the movie introduces the new characters quickly and well. This movie shows the hero in there more pure way, caring about the people and saving them. the action scenes, the league working together are just wonderful to watch. The story is simple, the villain is nothing new, although that i like it, it semmed like a semi-boss, felt threatening and you believed that he could destroy all members of the league, almost. The movie shows hope and optimism, a lot of jokes and light moments that worked well in the most. I really enjoyed watching this movie and when i get out of the movie theater i was just smilling around.",1
10,"Its incredible how they take this seriously but without being dark.The animated series in movie form, every character has its time to shine and doesnt feel repetitive.It proves that it doesnt have to be dumb or full of jokes to be good.",1
11,"A beautiful adventure with good performances, especially of Flash and superman, there is still much of Snyder dingy, and scenes run needlessly, but holds the hope of a better future for Dc.",1
12,"I seriously don't know what movie the critics saw, but it couldn't have been this one. The character interactions were great, and if you're a comic book fan, you'll like it. My only real grips were that the cgi was bad in some places, and that the movie could have been longer to help flesh out the story.",1
