,review,label
0,"After watching this film at the Chicago International Film Festival, my original plan was to wait until closer to the film's actual release date to give my thoughts on it. However, after sitting with it for two days, with the images and sounds still sweeping through my mind, I cannot help myself. I will be as vague as possible, because I do not want to ruin the experience of seeing it for the first time, but I have to talk about it.La La Land, as it has been advertised, pays homage to classic movie musicals. Not only does it visually allude to films such as Singin' in the Rain and The Band Wagon, but it also preserves the upbeat, wondrous tone of those classics. There is something wonderful about seeing this tone and style recreated for a modern film. Cynicism and pretentiousness are completely absent from this film, and nostalgia and joy take their place.But calling La La Land a terrific recreation of the classic movie musical is selling it short. Like director Damien Chazelle's previous work, La La Land has much more going on narratively than the movie may lead people to believe. On the surface, this is a love story about two artists trying to make their ways in Los Angeles. However, this framework is deceptively simple.La La Land forces us to think about the realities of personal relationships and artistic endeavors. It explores the excitement of our dreams, the hardships of pursuing these dreams, and forces the audience to question the importance of both. Fortunately, Chazelle never looks down on the audience with these ideas. They are not presented in a heavy handed manner, and he never forces you to think a certain way.On top of its thematic richness, La La Land has one of the best understandings of film as a storytelling medium that I have seen in recent years. On the surface, it is the most technically astounding. The cinematography is stunning, and the soundtrack is beautiful. Even better is that both the visuals and soundtrack are never used in a way that is shallow or uninteresting. La La Land has an understanding of how to tell a story visually. It understands the power of sequencing, the power images can have on the emotional impact of a story, and the way in which these images simultaneously indulge our fantasies and remind us of our humanity.In other words, for me, it embodies everything that I love about movies.There are instances that everyone can recall in a cinema where we have felt what I like to call ""movie magic."" These are evoked by the films that completely absorb us into its world, and movies that have a lasting, personal impact on us far beyond the theater. They are the films that we hold as the pinnacle of what makes watching movies so great.La La Land is one of those movies.During its 128 minute running time, the only time I wanted to look away from the screen was to turn to the people around me and check and see if they were experiencing the same kind of magic that I was. I can affirm that everyone I saw in my theater was.La La Land is a masterpiece. It is not only the best movie of 2016 so far, but also possibly one of the best of the decade. It's spectacular, stunning, moving, and absolutely magical.",1
1,"I do like musicals, but I didn't like this one.  It's been a long time since I walked out of a movie, but I really wanted to today.  I stayed to the bitter bitter end.  I've never cared for Ryan Gosling or John Legend, and I still have no use for either. The whole movie fell flat. The opening scene was not entertaining. Fred Astaire and Gene Kelly and Donald O'Conner must be rolling in their graves and rolling their eyes at this one. Best movie of the year? You cannot be serious!",0
2,"Since we're over 60, my husband and I have seen a few movies. This is 2nd one we have ever left and the only one where he has ever fallen asleep. We thought it was like a tired, old, truly corny Hallmark Hall of Fame set to music. I was a bit more patient and got all the way to the hunt for the Prius...really?  Gee, I think I know the ending. ; By the way, Hallmark has become a bit more edgey",0
3,my wife and i went to see this on my birthday. the best and most affecting emotional part of this movie was when it said THE END! i almost cried with overjoyeous relief of being rescued.,0
4,"I'm normally not a fan of musicals but I am a fan of this one. Gosling and Stone do a fantastic job and the journey their characters go through perfectly blends with the music. IMO, This should have won best picture over Moonlight.",1
5,"this movie was another version of the 500 days of summer movie and there were some better songs and better end ,but i prefer the 500 days of summer because of better story",1
6,"Me sorprendió para ser un musical, muy buenas actuaciones de los protagonistas. Sin embargo, una historia muy predecible, es la típica historia de amor con un final distinto.",1
7,Absolutely Loved ItLa La Land is by far one of the best movies of 2016 in so many ways.,1
8,"This movie is the perfect mix between an homage to classic musicals and a modern take on film.  The 4-season metaphor was remarkably meaningful looking back at the movie.  The idea that life happens in seasons is powerful, and that sometimes great things come to an end.  The cute couple doesn't always end up together.The music was the best I've ever heard. As I watched the opening scene play before me, I was inspired by their choreography and musical complexity.  I was instantly entranced in the mood of the movie.  La La Land takes a well-paced approach to the idea of Hollywood and shows the biting realism of life.Overall, the movie mixes musical and instrumental prowess with skilled performances from Emma Stone and Ryan Gosling to make a film that felt more real than any I've watched before.",1
9,"Fantastic dance scenes and I really enjoyed the song ""City of Stars"". Liked the ending choice. Everything else is boring and dull.",1
