,review,label
0,"Hugh Jackman's swan song as the Wolverine is an uncommonly atmospheric superhero film with nuanced performances by its two leads, gleefully gritty & well earned R-rated action and a story by director James Mangold that is moving and deeply personal.",1
1,"'Logan' is the perfect goodbye to these beloved characters. Is bold and unusual, gory and well directed. I would be very pleased if Hugh Jackman and Patrick Stewart would run for the Oscars next year.",1
2,"I loved this movie. I think that it is the perfect goodbye for Hugh Jackman as he probably did the best portrayal of wolverine he has ever done. Just for that alone, the movie felt great, yet the other actors did a fantastic job as well, even the little girl was a badass. The action was intense and very satisfying, the move for an R rating was the right one, as it gave the movie so much more weight and credibility, even if it was still a movie about mutants. It felt mature, it felt conclusive and sentimentally powerful. The reason I give it just an 8 is because it suffered some pacing issues in my opinion, specially when Logan meets the kids and keeps fading time and time again, and because I felt that adding another Logan pushed the movie into generic territory, it felt kind of out of place given all the seriousness and realism they tried to portrayed in the film, thought I gotta admit, Logan vs Logan was still badass. Go see it.",1
3,"Last year’s Deadpool movie proved there is a market for more adult orientated and violent comic book movies and Logan backs that up with a movie that ranks amongst the best Marvel Studios have created. Set in the near future, in which mutants are no longer born, Logan (aka Wolverine) is driving a limousine for a living whilst caring for an ailing Charles Xavier. When he is contacted by a woman caring for a young girl, that she claims is her daughter, Logan and Xavier are forced out of hiding to in order to help.Logan has is as much a western or a road as it is a superhero film and this really helps set it apart from what has started to become a slightly over-familiar structure for Marvel films. This approach also carries over into the action/fight scenes that, as well as being more bloody and brutal than you’ll see in other Marvel movies, rely less on CGI and are all the more effective for it. Hugh Jackman is as good as ever as Wolverine and the on screen chemistry between him, Xavier (Patrick Stewart) and Laura (the superb Dafne Keen) really helps give the movie a further edge by making it easy to actually care about what happens to these characters. If this is to be Jackman’s last appearance as Wolverine he’s certainly gone out on a high note.",1
4,"Good movie, but of course we know what happens next.The next wolverine is a women. As ridiculous as it sounds just think about it and think how entertainment venues such as movies have been influenced by one side.",1
5,"A wonderful addition to the X-Men franchise with great acting. Very much reminded me of X2, though with a lot better action. My one complaint would be that there some plot holes and the timeline doesn't quite match up with the X-Men films, but hey, it's worth the watch.",1
6,"""Logan"" was a good movie, which has respected the essence of the comic, but the story as such was flawed, but with such success, Hugh Jackman has closed his cycle with Wolverime with a golden snap, and X-23 opens the Doors to a new era in the universe of X-Men, the actress Dafne Keen, was the protagonist of the film and awaits a good future ahead.",1
7,"The R-rated Xmen movie 'Logan' is really badass, but the ending is sad because Logan died at the end of the movie. R-rated movie is better than Pg-13 movie. I like Deadpool better than Logan.",1
8,"Logan was a brutal,somber and entertaining film which was different from another other X-Men movie and followed in the steps of The Dark Knight pretty well.Lets talk about how the R-rating worked in this film,i would say for the character Wolverine it was awesome,the slashing(action),gore and language was better because of it but in the beginning it felt a bit forced as the first line of the movie is an ""F"" bomb,but after a few minutes everything felt natural.The plot is very simple and very small which was good as the movie dives into deep character emotions & developments as Wolverine is old and bitter and i found it interesting how he was reluctant throughout the film and was only helping the girl in this movie to like get rid of her,but he isn't all bad as Logan cares for professor X & the their relationship is different from other films and for this dark and gritty movie it was well needed.Although the tone of this movie was dark,gritty & somber there is some humor and fun to be had in this movie even if it's keep at a minimum,were humor was needed the movie did it nicely.The action was on point and i loved every bit of it,from chase scenes to the slashing the action was well done & glorious.Now the characters in this movie all had some purpose and meaning to their roles especially X-23(the little girl who is helped by Logan),she was awesome in her action sequences & her acting was good,Charles Xavier was also good in this movie as it shows him as an old,tired and beaten down Professor X who isn't as wise as he was and it was very interesting to see the growth or struggle of the character.Hugh Jackman was amazing as always as Logan and his character is pitiful,bitter and you almost wonder if he is still a hero as he refuses to help people and doesn't are about anyone expect Charles and doesn't almost care about X-23 and the film portrays & explains why he is like that and it is very satisfying.Another reason why this movie works and why it's so different in the superhero genre is that this film is sad and so emotional especially in the 1st and 3rd act of the movie,and since its a grounded movie the tone works nicely.What annoys me in this movie is the 2nd act whereby the film becomes a bit boring & since it was a more grounded movie it focus on some real world themes which sometimes worked and sometimes didn't & you start to notice that the movie is too long and some scenes that could have been cut out,but other than that the movie is fine.Logan was a fascinating movie full of great action,emotion and depth,this was the Wolverine movie that makes a fitting end to Hugh Jackman's 17 year run as Logan.",1
9,I have to be honest I don't know if there is a good way to describe the movie except saying fanominal and action packed but that being said I will say that I don't think that it is a good idea to take the family it's a good time don't get me wrong but it is very rated R it is full of swearing drinking a nude scene and constant violence but it is a good movie and the kid is just as wonderful as Logan is as a hero go see it,1
