,review,label
0,"This is so bad. Absolutely idiotic plot, stupid scenes, unfunny jokes, characters often just laugh just like that, actions of heroes are unmotivated, all subject turns or are read at the very beginning of the movie, or simply stupid and illogical.",0
1,"I love both Hemsworth and Thompson but this film is just *so* bland. It lazily slugs along from set piece to set piece, and then tries to present us with a twist that was obvious from the trailer. Waste of talent and your time, someone please use a neuralyzer on me...",0
2,"The story revolves around a week plot. Very predictive and old-age screenplay. Hemsworth has been involved only for Glamour and stardom, there was absolutely no strong character or pre-story behind Agent H. The story revolve around Tessa Thompson, Protagonist. All the supporting characters, Including Liam Neeson couldn't save the film. I clearly missed humor of previous MIB movies, Could hardly laugh despite hearing Kumail Nanjiani's voice. Overall, If they are planning to do it again, I will strongly recommend them device a strong plot.",0
3,"This movie is the definition of okay.And for a MIB movie where the universe is literally the limit in terms what you can do plot wise, is utterly unacceptable.It plods methodically from set piece to set piece, with no real purpose, and no real concern for justifying why the characters do and say anything. To then limply reach a thoroughly predictable and underwhelming conclusion that could have been written by a 7 year old.To find some positives, the visuals are perfectly acceptable (most of the time), the soundtrack is inoffensive, and the cast do what they can with the miserable screen play they were given.This project should have been canned, or at least shelved until they could get a competent writer on board to give them something worth making a film for. Instead of reinvigorating this franchise, I believe they have killed it. Which is a real shame.3/10, don’t waste time or money on this. Catch it on Netflix in 2 months time if you really want to.",0
5,"a perfect example of what happens to a movie if you don't follow the ""show, don't tell"" principle and combine it with a mary sue and a god complex. Men in Black was good because Will Smith had severe flaws was bade at certain things and it was funny because he had to learn a lot of things fast and on the fly. In this Movie the producers make the same boring old mistake.. the main protagonist is flawless from the get go. no character progression, no needs, just a ""want this"" and some over worldly mad skills derived out of (shown) nowhere and being at the right place at the right time because the flawlessness of the main protagonist was supposed to be there.. no struggle, no flight, no development no personal involvement.. It's like Hollywood forgot how to make good and interessting movies.. i hope this era of Highjacking films for clumsy remakes goes away very soon..",0
6,"A complete waste of time. I haven't been so bored watching a movie in awhile.The alien designs was unimaginative, the effects are terrible, the comedy falls flat, the characters suck, and Chris Hemsworth and Tessa Thompson lacked any chemistry this time around.There was nothing here that I liked.",0
7,"The reason the first two MIB movies worked out so well was you had one steel backbone character who knew the ropes (Tommy Lee Jones) and one smartass recruit (Will Smith). In this movie both Helmsworth and the girl were both wierdo goofs. Helmsworth was too busy flitting around with his pretty boy B.S. and the girl was just wierd. That means there was no strong character foil for both to play off each other. Next, the storyline was convoluted and difficult to follow. Because of the name 'international' in the title they now had to figure out how to get different countries in the film and because of that, the writers had a hard time. I give this one star and a half. The worst MIB movie to date.",0
8,"The main character perfectly encapsulates everything wrong with this movie. There is absolutely nothing entertaining about following an obnoxiously plucky, hyper-competent, characterless, unfunny protagonist in your sci-fi comedy film. This character isn't given any stakes or strong motivations. This character doesn't struggle at any point. This character doesn't learn anything throughout the story. She's boring to the point of infuriating. It certainly doesn't help that no one else in this movie is funny either. Bad comedies are probably the most unfortunate type of bad movie. Most bad movies have the potential of being funny by virtue of how bad they are. Bad comedies are already inherently unfunny. They're effectively worthless. That's what this movie is: worthless.",0
9,"Worst mib ive watched with some horrific acting. Really predictable and boring through the whole movie. Probably the worst acting performances from liam neeson, chris hemsworth and then that chick who plays the valkary in thor, she was horrible.",0
10,does anybody remember the story? because it's forgettable. worst of the franchises i wish it never had been made,0
11,"MIB International is just a painfully boring movie. It isn't funny, the action scenes seem very out of place and it absolutely fails to capture your interest. And let's be honest, Replacing the chemistry that Jones and Smith had is a tall order and try as they might, Hemsworth and Thompson don't even come close to matching that.",0
12,This is the perfect movie to show you how a screwup a sure thing. MiB would draw based on the name and this movie ruined even that. I would not watch this again if I was PAID to for anything less than $500. Even then I would wear headphones and take a nap during it.,0
13,"This is surely the worst Men in Black. Special effects worthy of first release in 1997. The Eiffel Tower is pitiful. The bad guys are very stylized, but too simple. All pushed by a minimalist scenario does not do anything good. Men In Black 3 that I did not appreciate so much; after reviewing it, it can be said that Will Smith does the job that Chris Hemsworth #Thor will not be able to do because he does not have the class. He remains in the role of Thor.Voici surement le pire Men in Black. Des effets spéciaux dignes du premier sorti en 1997. La tour Eiffel est pitoyable. Les méchants sont très stylisés, mais trop simples. Le tout poussé par un scénario minimaliste ne donne rien de bon. Men In Black 3 que je n'avais pas tant apprécié; après l'avoir revue ont peux dire que Will Smith fait le travail que Chris Hemsworth #Thor ne pourra pas faire, car il n'a pas la classe. Il reste dans le rôle de Thor.",0
14,"This movie was written by two people and it was still a predictable mess... I also wasn't a huge fan of how this was directed/edited/whatever, it felt a little choppy and like scenes got cut off too early sometimes. However, I loved Tessa Thompson, Chris Hemsworth, Rebecca Ferguson and Kumail Nanjiani.",0
15,Hombres de negro: internacional es pésima estos remake dejan en evidencia la poca creatividad de Hollywood,0
16,"What a terrible piece of crap. Men in Black was fun in the 90s and with its original cast. This is by far too little and too, too late.",0
