,review,label
0,"To sum this movie it up, it is a black comedy, a thriller, a horror and a social satire in 2 hours. Seems like a lot in 2 hours, but not only is the message of class division clear, Bong presents it in the most accessible and humorous way while being able to shock his viewer; and everything from the performance of the cast, to the script, to the cinematography and to the production is flawless and jaw dropping.Calling it a great movie is an understatement. Bong has created a masterpiece and what could possibly his best film so far. Go watch the movie as soon as possible. If you love cinema, this is one movie you have to watch. It will leave you speechless at the end.",1
1,"Absolutely magnificent movie from a great great filmmaker that always send the audience to a place that could just say: ""WoW, whatafuq...!""",1
2,"Parasite is a modern day masterpiece even though it’s not one of my favorite films nor is it my favorite film of the year. I have one tiny issue with the film but it is more of a nitpick. The film’s message is a little on the nose but I don’t have a huge issue with it but it is noticeable. Other than that, this film is perfect. There is not one bad performance in the movie. Cho Yeo-jeong, Park So-dam, and Kang-Ho Song are standouts from the film. All 3 of them have some of the best acting of the year. Their work with a fantastic script that is incredibly well written and clever makes their performance so much more enjoyable. Another aspect I loved was the cinematography. The film’s slow camera movements and slow tracking shots look absolutely beautiful which go along great with the fantastic production design. The film’s story and themes make this film incredible. The story of this poor family slowly infiltrating a rich family only to find out that their house is not what it seems. It’s so incredibly tense. You never know what is going to happen next and it’s always surprising to see what eventually happens. The film has themes of class divide and class warfare throughout which are very profound. The rich family says these lines about how great their life is while the opposite is happening to the poor family. Every time this occurs, you see how the poor family reacts and makes the scene and film itself dramatically more tense. Another thing I liked about the film was the score by Jung Jaeil. His score adds so much more to the tension. I know I’m using the word tension a lot but that’s what this film is. A constant build up of tension scene by scene until it all culminates in the finale. For me, each passing scene left me more and more on the edge of my seat. One final aspect I want to touch on is the humor. Most of the jokes are cleverly written and while some of the jokes may not be that funny, I do appreciate how they were cleverly inserted instead of incredibly forced. Except this film to be on a bunch of Top 10 lists at the end of the year. Overall, Parasite is a fantastic film with great acting, great cinematography, and a powerful story about class divide even if its message may be a little too on the nose.",1
3,"I wasn't sure what I would find with Parasite beyond the expectations I had for the excellent reviews it has received so far.But if I should emphasize something about it is its unpredictability in a story that thematically emanates an amazing dramatic darkness and at the same time manages to balance it with a touch of black comedy and certain elements of a mystery thriller.Parasite is a film completely controlled and designed to be unraveled delicately while you consume its social commentary and understand both sides of the social spectrums of both families and the ending leaves a bitter lesson and yet nothing lacking reality.You will talk about it quite a bit after finishing itParasite is the kind of cinema that is always welcome and always necessary.Disturbing, dramatic, funny and unpredictable: A triumph.",1
4,"In “Parasite,” Writer/Director Bong Joon Ho continues his critique of capitalist economies that, in his judgment, inevitably create economic divides resulting in class warfare.  In his earlier films “Okja” (2017) and “Snowpiercer” (2013), Bong used a platform of science fiction to soften the message.  With “Parasite,” he employs slapstick and dark humor to leaven a story that, in lesser hands, might have become painfully didactic.Setting his story in Seoul, Bong has the benefit of dealing with class warfare and economic inequality without the complication of race.  South Korea is one of the most ethnically homogeneous countries in the world – 96% of the population is Korean.Bong’s pacing of his story is impeccable.  In Act One, we are introduced to the Kim family, literally and figuratively living in the lower reaches of the city, the parents unemployed and struggling, the kids getting by on street smarts.  When workers come by spraying white clouds of pesticide in their rodent-infested section of the city, the father advises to leave the windows open:  “It’s free extermination.”  At the other end of the economic spectrum is the Park family, wealthy beyond reason and totally reliant on others to do anything requiring physical or mental heavy lifting.  Bong underlines his premise by conveying clearly that, while they have great wealth, the Parks are not endowed with a particularly high level of intelligence, common sense or self-awareness.When a wealthy friend of the Kim son creates an opportunity for him to tutor the Park daughter, the Kims use this entry point as leverage, creating jobs for every member of the family within the Park household.  So far, the story, is light, bright and slapstick, with only a small vein of dark humor.  This tone offers opportunities for non-threatening exposition.  Remarking on the Parks’ unlined faces, Mr. Kim intones: “Money is like an iron.  It smooths the creases out.”In Act Two, the story takes a darker turn, initially by exploring the consequences of the Kims’ actions on one of the displaced workers.  By the end of the film, class warfare has escalated from bland observations (Mr. Park observes that those who ride on the subway have a “special smell”) to full-on emotional and physical violence.  For me, Bong’s thoughtful, subtly-crafted story invoked a fair amount of thought and introspection.“Parasite” won the top prize at this year’s Cannes Film Festival and is South Korea’s entry for Best International Feature Film at the Oscars.  It’s one of the finest films of the year.",1
5,Such a good movie. Probably one of the best films ever created. Takes you on a roller coaster of emotions,1
6,"This is a Korean film that I can't quite categorize! I don't know whether to consider it a comedy, drama, thriller, dark comedy, etc., as it contains so many elements of all these genres. One thing I do know is certain though, this is such an interesting and unbelievable film in virtually every way possible! Winner of the Palme d'Or (the French equivalent of an Academy Award) earlier this year at the Cannes Film Festival, this film follows a poor Korean family that attempts to insert themselves into the lives of a rich, upper-class suburban family by getting themselves hired for various jobs for the family, such as a math tudor, chauffeur, cook, etc. They seem intent on even replacing the family and claiming the house for themselves if possible, until they stumble upon something shocking and unexpected within the house. And to say too much else beyond that would ruin the amazing experience of viewing this film for the first time! Really, all I can say is this: No other film this year had me laughing so much during one moment, and then completely on the edge of my seat during another, with certain scenes even leaving me absolutely breathless and speechless! The acting, writing, and dialogue were all so brilliant and razor-sharp as well! The film is layered with so many unexpected twists and turns! I never knew where this film was going or what it'd morph or evolve into next, as each scene and moment always felt so radically different and unpredictable than the last! On top of all that, the film undeniably provides a unique subtext on class, social status, the lengths some will go to for prosperity, and how people within certain classes are often perceived. Overall, I can't even begin to heap enough praise towards this masterpiece of a film! It had just about everything to offer, combined so many favorite elements and genres of mine, and left me flabbergasted by the end to the point where I sat through the entire credits and then some in order to properly process and sit with what I'd just watched! This is far and out one of the best films of the year, maybe even the decade!",1
7,It’s never less than interesting and watchable but in the end for me there are so many better Korean movies that it doesn’t live up to the hype of my expectations.,1
8,"Parasite is satirical, but it's not meant to make you laugh hysterically. It's more sophisticated than that. It takes some unexpected turns that kept it interesting throughout. There is a turning point in the film when everything clearly starts heading towards a chaotic finish, and it delivered well.",1
9,"I think my life is like that, it was a very deep and content film, thank you.",1
