,review,label
0,"I have an idea, let's make a movie, keep the plot the same as 4 out of 5 of the past previous movies, and gender swap the main characters. What could go wrong?! No spoilers here as we all know the plot (its in the trailers), robot comes from future to kill hero before they can save the world, send good guy back to stop the bad robot... THINK OF SOMETHING ORIGINAL FFS!!! T1 was the best because it was original, T2 was great because it flipped the script, T3, T5 and T6 are cash grabs that can't think of anything new! T4 tried to do something a little new but still relied too much on star power and not enough on good characters. Character development is what's wrong with Hollywood today, they don't know how to write good characters and fall into tired old tropes.",0
1,Loved Linda Hamilton loved Arnold even though his character was not presented in a decent way. I hated the killing off of John Connor that was an ultimate slap in the face to all Terminator fans of the franchise so that’s unforgivable also Grace was a mediocre character but Dany Ramos was the singular worst of the characters in the whole movie. Rev 9 was not a convincing scary Terminator although he has great action moments. Overall the movie grade fro this is a D-,0
2,"Basically throws the narrative of every other Terminator movie out of the window and replaces it by dull, forgettable characters and a future world we get two glimpes of and no-one cares about. By both my friend and I had literally forgotten the name of the protagonist, she's that boring and unworthy.Plot makes no sense and gets repetitive very fast. Basically the entire movie is one long chase that repeats itself. Terminator and protagonists get in a fight, a spectacular explosion knocks everyone out and allow the protagonists to get some distance, Terminator reforms, protagonists go from unconscious to fully operational in 5 seconds, Terminator starts chasing again.The new Terminator model has some new capability and can operate in two different modes, but it is not really shown what the difference/advantages of the two different modes are and the whole thing just seems completely invulnerable anyway. In the end, the way it is defeated makes the whole movie seem utterly pointless.",0
3,"Tragic.Completely disrespectful to everything the franchise was built upon. It's John Connor's story, instead he's used here as an insignificant add on to pass his story onto a new female version who was terribly cast. Similarly Arnold, he's only here to help sell tickets and the Terminator character is a mockery of the first two films.There is nothing original here or anything you have to see: it's a blend of the first movies remade, but much worse.",0
4,Another remake of T1/T2 that nobody wants or asked for. It lacks creativity and imagination. Its plot is dull and full of nonsense. This franchise should have ended with T2 followed perhaps by a kind of prequel/sequel leading to T1. But the worst thing in this is Cameron's hypocrisy. Do you remember him bragging around about how Fincher killed his beloved characters in Alien 3. Well be ready for the same in the Dark Fate and now it's done and approved by king of the world himself.,0
5,"Don't see this movie. This movie is insulting to fans of the first 2 Terminator movies from the first 5 minutes.This whole movie is just a feminist propaganda, replacing John Connor (THE KEY CHARACTER OF THE SAGA) with a Mexican girl.And also insults and makes the T-800 look like a jester, no longer intimidates and is now a joke in bad taste.",0
6,"Next soft reboot, the first part of the trilogy without logic and lots of plotholes (again), unrealistic action sequences, without Skynet (Genysis or Legion, same crap) and Connor existence is changed (again)... dialogs are really bad.If you don't want to think about plot, don't mind that the T800 is just a super man, not a terminator and you dont expecting chilling atmosphere, go and watch it.Same mistakes all over again like with Genysis. They should stop it and sell it to someone other than Paramount and Skydance. Never again.",0
7,"The first 20 seconds of this movie is a big slap to the face of all terminator fans. Know your target audience Tim Miller. Highly highly suggest if you’re a terminator fan to not watch this movie, ever.",0
8,"Awful... destroys the legacy of some of my favourite movies and replaces it was shallow copy of the story of T2 but with an androgynous protector, an implausible saviour of humanity and the worst, lamest, least threatening Terminator (with some trash effects) in any of the movies. RIP Skynet....",0
9,"Wow, what amazing garbage this movie is. James Cameron has lost my respect with this horrible re-make/ ripoff of T2 but done 1000000x worse.  don't watch this, EVER!! T1 and T2 are the only real Terminator movies that exist.  Glad this is failing in the Box Office.",0
10,"Terrible writing, ancient CGI... and we’re talking about a guy who spawned BLUR Studio in late 90s and their cinematics for game trailers knowadays looks better then Rev9. What’s in the box? Forced appearances of Arnie and Sarah (but she’s so underdeveloped as a character that it hurts), a finger to the fans of John Connor, dialogues hurting my ears... it’s bad writing. And the ending... gosh, It’s Genisys all over again. I must say this, since first scene on the beach I’ve felt disconnected, nothing made me interested In next act and these two points of this review are only for deaged sequence. Sorry, Terminator franchise is now dead. People change, that’s why Cameron can’t guarantee us a good movie anymore. He praised Genisys (which at this point I like more) before, he rightly bought the rights to this franchise after last one flopped and nothing has changed.",0
11,Disaster. Linda Hamilton is ELDERLY and overacts badly the whole tough guy role. Is she wearing a diaper?..The LGBT-1000 blonde girl is whiny and terrible ...cant act....plotholes EVERYWHERE...bad directing....P-U-N-T already.,0
12,"My goodness what a poor movie. Can't believe I spent money on this. Poor story, unbelievable acting, poor directing and things that happen in the movie that is simply unbelievable even within the context of the Terminator Universe. Avoid!",0
13,"It's an  ok action Movie, but an AWFUL Terminator.Plot holes and the many inconsistencys of the story got me out of the movie. Too many dumb things. If you have to watch it, be sure to put your brain in a bag before, if you want to enjoy it.If in the future i have to rewatch it, i'll put my second degree hat on, and watch it like i watched The Room.",0
14,truly awful. t1+t2+scc = all i need. to kill of john conner like that and ruin everything like this movie was just stupid.,0
15,It's no better and no worse Terminator Genisys. They destroyed the franchise. Please do not make any more films.,0
16,This movie it's a waste of potential. A waste of characters and it's sole reason to exist is to sell tickets whilst relying too heavily on nostalgia.,0
17,The storyline completely broken. Genesis is no longer the worst movie in the franchise.,0
18,"Really bad movie, unbelievable acting, bad casting, weak plot, obvious mistakes. Good effects though",0
19,the main characters all act very stupid and antagonistic. after 20 minutes i just wanted them to be killed by the terminator. they act like really bad people all the time,0
20,Uninteresting characters and terrible action. I pray to forget this movie. Would’ve gladly taken a sequel to Terminator Salvation over this mess,0
21,"I liked a the Terminator movies so far, of course T2 beeing my favourite. But this one ? Starts strong, but goes downhill in act 2 and 3 when it becomes  convoluted and more of the same. Arnolds character just doesnt work.",0
22,Do you want to know how to kill the franchise? Just go watch this movie.At least Sarah Connor stills being Sarah Connor.,0
23,"Happy to see Linda Hamilthon again, but i've really don't like the story.I don't understand how it can be in Terminator timeline.",0
24,"It was embarrassing to watch! Bad one-liners, bad actors, no story, couldnt care less if everyone died. T2 was a masterpiece and looked insanely good, cool and minimalistic while this looked something of a fan-made (no offence), no budget, edited to pieces with soap actors. Stay away!",0
25,"The world is gone. Skynet has won, developing an advanced random cliché generator with their machine learning algorithms, which served to create a script for a film with 3 stereotypical strong alpha female lead roles being chased by Mexican terminator, and now the only hope for humanity lies in another chosen one who will hopefully come back from the future to prevent me from being born, so I wouldn't have to live with memories of this equality preaching abomination pretty accurately called Dark Fate. Or I guess he could even kill me, cause I don't care at all at this point, to be honest.",0
26,"t800 is a joke, has a dog, a wife, a son and a stupid job (decorator), the red 9 is a Mexican man with innocent face.....the CGI is bad and cheap....this movie is a disaster...",0
27,"This movie lost my attention about halfway through (and even struggled to keep it that long). It lacked an interesting plot beyond the usuals (yes, this is, sadly,  where we've come to). They basically remade T2 but took away the emotion and physical palpability of the original masterpiece and substituted it with mundane bickering and surprisingly bad and overused CGI (not terrible, just a lot worse than I expected from a movie I would consider to be a high-profile flick). It suffers from the exact same thing as most modern action movies; the action is so intense and so choreographed, that it becomes silly. It lacks physical weight and feel.Dark Fate is a moped on a racing track.RIP Terminator franchise.",0
28,"I have liked all the Terminator movies, except Genesys, they took the sweet Emilia Clarke and turned her in to a neo feminist nagger, unforgivable.  So, this was $200m budget and directed by Time Miller who made Deadpool which i thought was corny but worth seeing.  first of all, the camera angles change either too fast or in the wrong orientation, because it feels like chop suey to watch.  The cgi is absolutely awful, an early shot has a sack lunch turn into a pistol.  Both terminators are generic, it starts looking like a Home Depot commercial.  The female Kyle Reese has potential but she is too rushed in behavior, Kyle was cool in that he was never in a hurry no matter how crazy the situation.  Linda Hamilton is always great but everything feels choreographed, like Sully when the plane landed perfectly after 17 attempts.  I don't know how Spanish people became the focus, an explanation would have been nice beforehand.  I think for Hollywood feminism is a gimmick, which is a bummer because there are a lot of brave women fighting for a place in the world.  Biggest plot hole: Linda asks who the girl is, she says nobody, ok why did Linda know where to look? This movie is an excellent opportunity to study script writing. Roger Corman said #1 rule is have a good script, I may not know what that is but this movie shows what is is not. Movies like this are a great lesson in how it could go wrong. The dialog is horrendous, characters denigrating each other is never a good sign.  I made it to 40 minutes in this movie, had to quit.  I very rarely don't watch the whole thing.",0
29,Nothing new.. same old same old great special effects but story line is hurting,0
30,"Exterminador do Futuro onde John Connor NÃO é o ""futuro da humanidade"" não é Exterminador.A tentativa de atrair o público feminista enchendo de protagonistas femininas ""fortes"" conseguiu entregar um resultado pior que os últimos dois filmes para exterminar de vez a franquia. Parabéns!",0
31,"Horrible movie, horrible and stupide Story, horrible action scenes, nothing good on this movie... NOTHING.",0
32,Worst Movie I have ever seen in the theatre. I regret every single penny i've spent on the ticket. Its just a shame what they have done to the Terminator Franchise.,0
33,I hate this movie so much replacing everything I love in Terminator 1-2 with a Woke Feminist Propaganda flick don't waste your time on this crap.,0
34,"Nonsensical & bad film without soul.Typical franchise now being milked for all its worth by Hollywood with bad sequels.- Nonsensical plot.- From beginning to end, a succession of cheap action sequences filled with CGI, worthy of the lowest IQ direct-to-dvd action films.Skip entirely. Even T3 and T4 are worth wasting 2 hours on, not this film which is the worst in the franchise. Shame on Hollywood for even making this garbage.",0
35,"This is the worst terminator of them all, major problems with this movie for any person especially those that have watched the original terminator, it dull and makes no sense, graphics were ok but the major problem with this movie is the story, it has already been told 4 times, The dialogue is pretty bad, Sarrah Connor thinking that putting your phone in a bag of potatoe chips will block out the tracking signal was pretty dumb and unrealistic, anyone knows a phone works inside a building and a small foil will not help block out the signal, she was also shown to be very smart in judgement day and she teach john connor to hack, Arnold helped the movie but not by much, only making it more enjoyable when he came for nostalgia reasons, but even he can't save this sinking ship. Story spoiler alert - they kill the main hero to be John Conner in the first few minutes and replace the hero to be with a girl name Dani which is ok if it had a reason she was going to be the main hero, but unfortunately this movie is Woke no matter how you look at it, the original John Conner was great with computers because his mum teaches him how to break and hack them, as seen when he got cash when he hacked the ATM, Dani though doesn't have any pre-requisites to replace John Connor or anyone, she cannot shoot a gun, she can't hack, all it show in the beginning is she is complaining that robots are taking people jobs at the factory she working at and she was going to complain to the manager, she doesn't have the character to become any leader, this isn't the movie that fans wanted, this is the same old story retold 5 times already but worst, fans want to know about the future war with skynet, how did humanity win against the computers, we couldn't out breed them as a human take at least 10 years to grow to be able to fight, did we disrupt the mining supplies, factories? This are questions the fans actually want answered, example: we keep getting alien retold and worst each time but we want aliens and to see how skynet works, there life, mining/manufacturing etc, the story does not move on, terminator franchise as funny as it seems it is stuck in it own time loop but degrading each time the story is told.",0
36,"Within just a few minutes, this movie destroyed what the rest spent decades building. This was simply a girl power Terminator movie. A complete and total waste of my money & my time.",0
37,"*Massive Spoilers*After basing the whole story on one person, now you're trying to kill him (John Connor, the hero) off and replacing him with a taco eating ****No thank you, that **** is not acceptable.And why would she (the taco eating **** bond with the psycho **** (the one from the future) within 24 hours enough to sleep on her lap?Insane is why! Stockholm syndrome!And why isn't the psycho **** (the one from the future) packing a Red Bull or two if it's well known that she runs out of juice every 5 minutes?And why would the taco eating **** and the psycho **** (the one from the future) save the Terminator (Carl, the original Terminator) when Sarah tried to shoot him? Even though the psycho **** (the one from the future) is supposed to kill all Terminators to save the taco eating ****.And why would she (the taco eating **** cry and tell her she saved her life when the psycho **** (the one from the future) dies? When clearly THE MAN (The original Terminator) saved her taco eating ass!And how come they (Sarah Connor and the taco eating **** were watching the explosion of the power cell that killed the new Terminator and Carl (The original Terminator) from about 20 meters distance? When previous explosions from power cells have taken out city blocks!??And why didn't you make the CGI better looking, more realistic? From the moment the Terminators walked up from the sea it did not look good (real).I am glad I didn't pay to see this movie.I have paid for the previous movies, several times. I went to the premiers on cinema and then got the DVD's, later the Bluray's, special editions and ****.But this **** just ain't worth it!You totally killed The Terminator now, this used to be kick-ass action!",0
38,Лучше я бы пробухал те деньги которые потратил на билет этого Дерминатора!,0
39,"I'm tired of seeing movies with old wrinkly people.  No-one needs to see ARRI ALEXA LF 4.5k melanoma spots...just shoot these on film. Action scenes are cut so fast and full of crap one-liners I thought I was watching A Good Day to Die Hard. CGI was annoying . Some shots of the evil terminator during the final fight looked creepy and really detailed and rendered well but the consistency of the CGI was like the Hobbit trilogy, some shots were amazing when some looked like Enthiran. Other than that writing, plot, fight choreography were useless.",0
40,"A HUGE slap in the face to Terminator and T2. T2 is my favorite movie of all time. Action, storytelling, characters, direction, pacing, special effects are all spot on. I watched T1 and T2 back to back to prepare for the so-called ""true sequel"" to T2. Here though, were treated to a continuation of T2 that makes absolutely no sense. It's like everything that happened in T2 never happened, or if it did it was just a waste. Killing John Connor in the first 5 minutes of the film... absolutely ridiculous. And the way the Terminator kills him is so casual too.The first 20 minutes or so is set in Mexico, so it being 2020 (or 2019 if you watched it in the theatre), it has to be politically correct or someone on Twitter will complain about it so we get everything subtitled for us dumb Americans instead of them just speaking English.There's so many other things I hate about this movie but I'll cover the worst of the worst: -Arnold is a learning machine yes, but they took it too far with him feeling ""bad"" about murdering John Connor so he helps a woman and her son and basically becomes his stepdad. -Its way too reliant on heavy CGI instead of a good story line. And much of the CGI looks kinda crappy especially for a movie with a $190 million budget. -Hispanic Terminator can run fast, jump high, dodge bullets, make multiple stabbing weapons, separate himself from his endoskeleton, infiltrate data lines and even create a gun out of nowhere. Sorry, but that's just WAY too much. Explosions, guns and fire don't kill him, but somehow the skinny enhanced human fem-dude obliterates him with her...power cell? And the human girl is the one that stabs him in the eye with it??? Cmon. -Arnold doesn't even show up until an hour is left of the movie. -Linda Hamilton has absolutely no chemistry with anyone in the film. From a character I rooted for in the first and second movies, here she's just a foul mouthed vulgar old b**** that I disliked most.I hate this movie. Since it bombed at the movies I was still hopeful it would be a decent Terminator film before watching it, but it's all just a huge waste of everyone's time. RIP Terminator.",0
41,Hamilton tries but her return was simply there to mask the fact that this movie is just another recycled plot utterly filled with action scenes that lose their lustre very early on. The cast is pretty bland and doesn't seem the least bit interested in what their characters are doing.Can we just kill the Terminator franchise already? Why must we keep rehashing garbage?,0
42,"Amazingly useless movie production – can't believe someone signed off this waste of resources which can be easily invested in far more creative products. Brilliant CGI, performances, photography – everything is there but a story.",0
43,John Connor dies in the first 5 minutes of the movie - Enough said. They Really should have stopped at T2. This movie officially killed the franchise.,0
44,Tan destruido la historia original y han puesto ahí a una colombiana que da continuidad a lo que queríamos ver. Definitivamente una decepción.,0
45,"OMG basically it gave up the idea to be a Terminator film in the first 2 min. Okey the Mexico set could work (becuase Connors were hiding here for a time) and there are some good action scenes thats worth 1 point but they ruined it because they went full PC/feminist,  never go full PC. Never liked causeless female rolechange. There are some cases where it works well Battlestar Galactica or Terminator:SCC for a closer example. The new terminator design recycled from Genisys. I could even live with the upgraded female protector idea. Even if she is a rip off Marcus Still the worst in the series. It wants to look like T1 and T2 but ends up a cheap copy of them.",0
