,review,label
0,"I don't understand why this movie gets bashed so much because it's ""overrated."" So what? Pretend as though you never heard anyone say how good this film is, then watch it, and then talk to me. And don't even get me started on people saying, ""People like it just because Heath Ledger died!"" Again, pretend as though he didn't die, watch his performance again, and then come talk to me. An outstanding performance by anyone who was ever involved in this film.",1
1,"This super hero movie is a rare film that drills deep inside the character and the script more than the action. It may be boring to a few people who despise waiting for 2 hrs; However I promise you, Heath Ledger will keep you amazed the whole time. Ultimately, Christopher Nolan's ""The Dark Knight"" is a masterpiece, a film that doesn't just show off the visuals and action, but understands what deep pains and afflictions a superhero suffers.",1
2,"""The Dark Knight"" is proof that Chris Nolan saved the Batman saga. this is literally the best Batman movie we ever had in years! from the mind-blowing action, to the incredible acting, fantastic characters, strong script, layers of character depth and development, epic music, awesome special effects... i can't see anything wrong with ""The Dark Knight"". cause everything's the work of art, of a person who knows how to do the Batman saga justice. it's like if Christopher Nolan was like ""Outta the way, **** It's my turn now"". and he saved Batman, he brought Batman back to life again, and i thank him so much for that. also, Heath Ledger as the Joker: a phenomenon! other actors can try, but nobody's ever gonna top Heath Ledger's Joker. and Christopher Nolan still stays as one of the best directors we've ever had. ""The Dark Knight"" is a phenomenon!",1
3,"THE BEST MOVIE EVER! I just have to say that this movies are awesome, and so is Christopher Nolan. He's never failed us and he has made five movies and I bet all of them are possible contenders for best movie ever. So anyways, I liked how Rachel just gives up on Bruce for Harvey Dent, whom everyone deems ""The Better Man"" or ""The White Knight"". I also loved how the Joker is just psycho and he doesn't care for anything except bombs, gasoline, and crime. I believe he is just out there to prove a point. That even Gotham's best can fall. He even nearly completed his plan by corrupting Harvey but Batman/Bruce took the blame. I love how, in the end, Harvey's gun is pointed at the men ""responsible"" for Rachel's death (Batman, Gordon, himself) and how his mind is just twisted into thinking that they were actually responsible. I think Heath Ledger gave an excellent performance, all out, although it hasn't  turned out for the best. I'm sure we'd all prefer that this was never made or was never as good for the sake of Heath Ledger but, you got to admit, this is just such a good movie.",1
4,One of my favorite movies as a huge batman fan I couldn't be happier. The joker was easily the best done joker ever. Can't give this movie enough praise and can't wait for the next.,1
5,"The Dark Knight dares to be more than it should be. It transcends the barriers of being labelled a ""Batman movie"" or ""superhero movie"" by excelling in all areas: character, plot, action, writing, acting, directing. The Dark Knight is not  for fans of Batman or fans of serious drama. It is a film for everyone and stands as one of the most important films of the decade.",1
6,"Continuing from where Batman Begins ended peerless director Christopher Nolan reunites with Christian Bale for the continuing story of The Dark Knight. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent Batman sets out to put a halt to the criminal activity that plagues Gotham City. Just as everything seems to be going their way the peace is shattered by a criminal mastermind known as The Joker. Batman may be on the DVD cover but this is really The Jokers movie. Following the death of Heath Ledger prior to the movies release there was huge hype regarding his performance and he certainly delivers. His portrayal is a far cry from the camp 1960s iteration and as creepy and disturbing as any villain in cinema history. Running at about two and a half hours in length The Dark Knight needed a worthwhile plot to go with the high quality action scenes and on this count the movie again doesn't fail featuring plenty of twists and surprises. The Dark Knight is without doubt the best super hero movie of all time.",1
7,"Regular readers of this blog know that I don't like super heroes, but Batman is the exception. As a kid he was the only one I thought was cool and the only one that i felt could be real. Apparently Christopher Nolan has the same idea. What I love about his take on Batman is that it's very realistic. Even the joker, as out there as he maybe, was a much more believable and realistic villain than the portrait by Jack Nicholson. As for the movie, it's an amazing story, with one of the best performances ever, by the late Heath Ledger who I really couldn't stand until this movie! As with all Nolan movies, it's a very visually appealing film, with a great story, and cast perfectly. I can honestly say that this is as good as it gets! There will never be a better Batman or super hero movie.",1
8,Batman's greatest foe yet is revealed in The Dark Knight. And he is amazing. The combination of Heath Ledger and Christian Bale is magnificent. This is truly the best superhero movie to date. Every little detail leads to something in the end. The special effects still remain some of the best and this movie was truly advanced for the year it was released.,1
9,"This Film is great,Christopher Nolan really knows who is Batman he made this movie one of the best films of all time.The Dark Knight has a good plot a great villain and a good musical score(Hans Zimmer).",1
10,One of only a handful of flawless films I have seen in my lifetime.    (To give this movie a 0 (Zero) is morally irresponsible.),1
11,"i have 5000 character limit for writing my opinion about this movie..is it enough?  Absoulately not... The best movie ever...awesome...fantastic...amazing... you can find lot of words like this... you feel every emotion in the movie.Every scene has another feeling.Love, action, humanity, movie gives every feelings to you. i advise all world people to watch this movie. Because you wil not see a film like this for 50 years",1
12,"Christopher Nolan is an absolute genius. Batman Begins was a great film, but this just about blows it out of the water. Nolan knows good acting, and some amazing actors are in this one. Bale, Freeman, Oldman, Caine, LEDGER, all greats. The action scenes are suspenseful and aplenty (with a batmobile scene standing out) . and the script is superb. Seriously, this movie is super quotable. Ledger was born to play the Joker, and everybody that says his acting is ""overrated"" will never be happy. Aaron Eckhart is also superb. The best superher movie ever.",1
13,I was so pumped for this movie to come out for years and then Heath Ledger's passing made it an even bigger event. I went to see it on opening day and I swear during a few of the joker scenes I got chills because it was so good. And any movie that can have that much of an effect on me deserves a 10/10.,1
14,"Absolutely stunning. This sequel is dark, sophisticated, and is better than its predecessor. It has emotion, powerful and superb acting, and impressive visuals. This film is, beyond any doubt, a must-see. Oh, and the Joker in the movie, is beyond fantastic.",1
15,"The script is well-written, the performances are splendid, and the action sequences give the constant thrills. From the colored pages of its comic books to the glorious big screen, The Dark Knight is the greatest adaptation ever made.",1
