,review,label
0,"This series is second only to Lord of the Rings in my favorites of all time.  I've read the books many times.  I've dreamed of this story being brought to the big screen for 20 years.  This movie is a **** alternate story set in the Dark Tower Universe. It has next to NOTHING to do with the books.  It's it's own story and it's a crappy one told on a budget with horrible casting, a mushy, utterly banal script and totally standard special effects.  It is literally the worst book adaption brought to film I've ever seen.  Stephen King and all involved... you have forgotten the faces of your fathers.  Shame on you.  Court would have beaten the living **** out of you had you handed him this pile of drek. Tragic.  Mark my words nothing more will be made based on these books.  You've ruined what could have been a 7 year saga bigger than Game of Thrones.  Unforgivable.",0
1,"This thing posing as the dark tower manages to turn one of the most epic, insane, heartbreaking, and fun series into boring, tired, drek. Do not see this movie if you read the books, especially if you really loved them.",0
2,"As a huge fan of the book series, this is a very disappointing movie.  Fans wanted the actual Dark Tower series.  Not some stunted alternate version that has nothing at all to do with the series.This has all the signs of the typical Hollywood book-to-movie adaptation disaster.  Take a series with a devoted fanbase.  Slap the name on a generic action movie.  Put in a few references to the books ""for the fans"" and call it good.No thanks.  The Lord of the Rings strayed slightly from the source material, but they did it *RIGHT*!  Nobody wanted a fake Dark Tower movie.  They wanted a series of movies that at least attempted to stay true to the books.There is one other thing I have to say to maker of this travesty.  It has been said before.You have forgotten the face of your father.",0
3,Honestly. We waited all this time and had to listen to all the stories about the movie being 'on...then off again.....' for the last 10 yrs and they came out with THIS piece of garbage?Save your money.,0
4,"Is this movie an entertaining 95 minutes?  Yes.Good casting choices? Yes, I loved the actors.Does the film have other good qualities...?Not many.  This was one of the worst film adaptations of a novel I've seen.  When you consider how long this adaptation has been a concept, how many attempts have been made, and the effort spent to achieve this in 2017?  I seriously just don't get it.  #CashGrab #AudiencesAreStupid  #JustGetItDone?All right, only 5000 characters I can post.  Let's get this over with:1) Tone & Mood.  Mostly wrong throughout the film.  The books are epic in scale, very dark and brooding.  Post-apocalyptic, lonely, desolate, etc.  While the film occasionally makes you feel that way, mostly it's ""Just Another Action Film"".  Many scenes feel forced.  Many scenes feel totally artificial.  Not sure what the director was looking for, but they failed.2) Story.  The film's title is misleading.  It should have been titled ""Jake's Adventure feat. Roland"".  This film was really all about Jake.  Everyone else is a guest star.3) Roland's motivation for pursuing the Man In Blank is *completely* different than the novels.  It's nonsense.4) Roland is supposedly *not* a Gunslinger anymore due to the above point.  I cannot even begin to describe how much this irks me.5) Roland embraces Jake as a friend too early/easily and divulges personal information.  I'll just blame the 95 minute length for this one.6) Walter cannot harm Roland *directly* with magic.  However, apparently he can harm Roland *indirectly* with magic, by throwing very sharp and fast objects at him.  So while Walter *could* have very easily dispatched the Gunslinger these past dozens of years, or when he killed his father, he didn't...because why not???6) Not sure why Jake needs an evil stepfather when his equally careless and inconsiderate father from the novels would have sufficed.  Unnecessary script change.7) Post-apocalypse villagers apparently still have working generators for inter-dimensional portal technology?  Wow.  Besides blatantly violating the novels, you'd think with such portals and technology at their disposal, they'd have better defenses.  Why not zip over to Earth and steal some firearms?8) No explanation of what Gunslingers actually are.  Audience is left wondering what's the point of them.9) Jake's ""shine"" powers are drastically over-mentioned, over-used, overblown compared to novels.  Besides cross-dimensional spying on people, he can maintain inter-dimensional portals?  Amazing.10) Apparently Jake killed the creepy house demon with his powers?!?  This was not at all obvious during the ""fight"" scene.  Good thing Walter mentioned it later, or I wouldn't have known.11) Roland briefly teaches Jake to use firearms.  Then immediately says Jake doesn't actually need them, because his powers are his mind.  What was the point?12) Random attacks of random things in forest, because we needed some action scenes.  Roland, gunslinger supremo, doesn't hear Jake leave camp and wake up immediately?13) Dark Tower will ultimately be *really* easy to find, since you can just follow the gigantic blue attack-beams made by the Breakers.  Of course, they'll likely use one of the many high-tech portals just lying around everywhere...14) Vampires hide from us the fact they are vampires?  Would have make henchmen scarier. I guess we'll be surprised later.15) Hospital treats Gunslinger for various unusual ailments.  Neither he nor Jake have forms of ID. No police called, no security guards at hospital.  Gunslinger and Jake just stroll out.16) Firearms shop person easily ambushed by man with firearms.17) Inter-dimensional portal in NY kitchen left standing open during latter half of movie?  No FBI/CIA/NSA called?  Chefs just continue cooking and ignoring gaping portal, until Jake and Roland return?  Maybe more of Jake's mysterious mind-portal-control nonsense.18) Jake is awarded title of gunslinger for staying strapped in chair, resisting mind control, and maybe keeping portal open?  Whatever.19) Does Roland reclaim title of gunslinger for himself?  Why?  His motivations were rescuing Jake, with a side-motivation of revenge on Walter?  Yes, rescuing Jake *happened* to have good results for the Tower.  But does Roland ever actually admit he cares about saving it and the universe?20) Roland's father stands in for Cuthbert and Alain?  Seems another unnecessary script change, but fine.
21) Besides the occasional comic relief, Roland seems pretty comfy in NY.  Why?  Totally different from novels when he sees it through Eddie.22) Walter is supposed to be unpredictable, kind of crazy, chatty, psycho, never-know-what-he'll-do.  In movie he's a pretty serious villain.Well, that's almost 5000 characters.  So...people of Earth?  Can we acquire some film rights and allow independent filmmakers to redo this someday and do it justice?",0
5,"What a waste of a big series of books. Once more a King filming properly goes off. The trailer shows only a lot of gunfights with very thin action and weak dialogues. Hence, the whole film has not become better. To the abovementioned problem still come many lengths on the negative list.",0
7,"To put it quite simply, this is not a dark tower movie. I have read every single book in the series and have been a fan for years. I was so, so disappointed by this movie, and how poorly it resembles the book series. The only way that I could think of to do the Dark Tower any justice via visual media would be to hand it over to HBO or Showtime to create an unrated series that takes several seasons (at least one per book if not more) to tell the story as it should be told, and even then I would expect them to ruin it as pretty much every HBO and Showtime series has a specific ""style"" with specific elements that they add that is not a part of any original work that they adapt. Anyways, tl;dr, if you are a fan of the books, just don't bother.",0
12,"I read the books and after watching the movie and considerable thought, I think this movie is piece of poop that should never have been made.  This should be a series on HBO, Netflix, or Amazon that is true to the source material(well, mostly true to the source material).",0
13,"Based on the bestselling book series by highly acclaimed author Stephen King, The last Gunslinger, Roland(Idris Elba), has been locked in an eternal battle with the Man in Black (Matthew McConaughey), determined to prevent him from toppling the Dark Tower, which hold the universe together. With the fate of the worlds at stake, good and evil will collide in the epic battle as only Roland can defend the Tower from the Man in Black.--I begun watching this with mixed expectation. Was a bit disappointed to see yet film based on 'kids'. That alone makes it hard to take the film seriously. It's a fact there is a limit to how well kids can act compared to full fletched young adult or adult actors/actresses.The ideas and concepts are good. Though not exactly original, with respect to demons eyeing to dominate human world. They still make a good general concept for a good story. However the idea that kids' minds (after being strapped to machines) can be used to destroy the tower, is a really silly concept. I generally like the film as I was watching it. The pacing is alright. Actions are well choreographed. The plots lack depth, and have the problem of being kinda predictable.Characters are all underdeveloped for the most part, except for Roland where the film shows some key aspects of his past. The villain (Man in Black) is pretty cool and ruthless, and have some nice abilities, most notably the ability to command any human to do what he commanded at will, with a simple spoken command. It would be nice if the film delve deeper into his background character and his past.If you like The Mortal Instruments (film), give this a watch.Plot: 3.5/5Characters: 3/5Action: 4/5Worth a watch in cinema: Yes, if you like action and okay with simple plots.",1
15,"A very enjoyable movie, all the hate seems a bit harsh. Never read the books though.",1
