,review,label
0,"As a fan of the series so far I went into this film with a little apprehension. It's usually the third film that they tend to screw things up but honestly, this exceeded my expectations in every way and was a delightful watch. The introduction to sci-fi elements felt quite natural and the exploration of eugenic-themed politics was done with shocking subtlety. Unlike the previous films, that felt like they their settings lacked explanation, Allegiant explains enough that you feel you understand where everything is and what's happening, without making it obvious whether certain conspiracies or opinions are correct. The overall message isn't clearly for or against genetic modification either, which means it doesn't feel like the film is pushing it's political ideals at you, nor is it's politics a clear allegory for something in modern politics; though it could be interpreted that way. This is good as it means you don't have to be of one political persuasion to enjoy it and it could so easily have gone that way. So far this franchise has been a happy surprise for me as following films like Hunger Games and Twilight, I had presumed that the ""young adult"" adaptations where all going to be cringe-worthy. This franchise however had been consistently good and I look forward to the next one.",1
3,Its more adolescent nonsense to exploit teenage girls that will go over anything that has young handsome guys and girls engage in some fantasy crap. End it already!,0
4,"Terribly cliche movie, TV commercial is the worst I've ever seen, trailer is pretty much the whole movie summed up, and a poor screenplay. This film deserves nothing more than a 1, if someone argues well enough. Sure, fans of the book might enjoy, but that's as far as it goes.",0
6,"I will admit I went into Allegiant with really low expectations.  I saw the first two and gave them low ratings as I thought they were dull and lacked the enthusiasm and excitement of the Hunger Game series.  The stories were hard to follow in Divergent and Insurgent and were uninspired.  This one felt different and the storyline and action finally came together for me.  If you have endured the first two and felt like me, go see the third installment as I was pleasantly surprised.  Actually looking forward to the second part now.  To be honest I went with the friend because he had a free ticket and I was going for the popcorn.  The movie actually being good and finally coming together was a bonus!!!",1
8,"Young girl, beautiful and intelligent, but different from the rest, soon learns that she is the sole hope for saving the entire world. Where have we heard that before? This is what this movie is, its just so painfully predictable, even the things the characters say. Youve got the cliche ""just two days from retirement"" chracter deaths, obviously evil but portrayed as good middle aged balding men, you've got imaginative CGI futuristic orange bubbles that cleanse the radioactive crap from the main protagonists bodies, You've even got a character that can tell if a puddle of water is radioactive, just by looking at it! Wtf? The acting is wooden, even from the extras. I actually found the execution at the beginning to be hilarious as the extras were so terrible, waving their hands around like slightly to moderately concerned individuals at bingo. At one point my brother said to me ""hey didnt we see this movie before"" and i was like ""nah that was the scorch trials"" and he was like ""nah the other one"" and I was like ""the hunger games"" and he was like ""nah man, the one where the girl saves the world from the bad guy"" and i was like ""oh yeah you mean the mortal instruments?"" and he was like ""nah man the other one"".",0
9,I'm not angry with Divergent anymore i'm just bored with it. I'd say that the plot causes the franchise to go off the rails but that implies it ever got on the rails in the first place. Allegiant has no choice but to rip off the Maze Runner after Insurgent pretty much ran whatever originality the series had with it's concept into the ground (which even then felt like it was ripping off the Hunger Games). the plot is so confusing and makes no sense and has to establish everything again which it does poorly and i also believe fans of the book will be aggravated by the changes from the source material especially splitting the final book into 2 films. the cast also show real visible disdain for material they've been given including newcomer Jeff Daniels who really looks like he doesn't want to be there and Miles Teller is still really annoying . it's a mess there's no other way of looking at it. i was never that big a fan The Hunger Games but this series as well as The 5th Wave makes me pine for it,0
10,"Congratulations to Jeff Daniels - having done Dumb and Dumber, you've now participated in Dumbest. Honestly the worst thing I've had to suffer through in a theater in recent memory. Having quite enjoyed the first movie, I approached this one with the wide-eyed innocence of the lamb being conveyor-belted to the saw blade. Imagine my surprise upon being assaulted by a nonsensical plot, awful 2D characters and even garbage special effects. Also, Ladies and Gentlemen - let's pause for a moment to take on a special feeling of disdain for the acting. In particular, Triss' delivery of ""maybe they're here to rescue us?"" which was delivered with all the emotion and poise of a preschooler reading aloud to class (apologies to all the preschoolers out there). It's sad that this festering turd of a movie will ride the popularity wave of the books and do quite well for itself. It is most certainly not deserved. Avoid at all costs.",0
11,"As with The Hunger Games, another series finale that is going to suffer from being dragged out into two parts. Allegiant is slow, dull, redundant and stale. The extended story line has destroyed the pace of the last two films and has opened up holes in the story line. When part 2 of part 3 comes out, hopefully it will find its legs again.",0
12,"Aren't we already tired of this continuing series that manages to exist for only money at the box office? That's what I thought. With Allegiant, things are starting to get old and the Divergent Series manages to overstay its welcome by wearing off its greatness from the first installment even though Divergent hardly had any greatness anyways.",0
13,"When I walked into The Divergent Series: Allegiant, I had very low expectations. But, the film turned out to be even worse. The acting is dull, the plotline is week, and the film itself is just boring.",0
14,"Allegiant is the best film in the franchise! Even though I read all the books I was still on edge through the entire movie. And to be honest, Shailene, Theo and Chloe never seem to disappoint.",1
15,"This movie is absolute **** The characters are bland and have no personality, the special effects are terrible, and it is trying too hard to be the hunger games. The dialogue and jokes seem like they were written by a five year old. The plot is incredibly formulated and quite frankly, stupid. The only reason you should watch this movie is if you want to get cancer.",0
