,review,label
0,"The fact that, as a species, we have created a movie dedicated solely to tiny pictures you can send to other people to express emotions is honestly confusing and horrifying at the same time. Why does this movie need to exist? The idea wasn't even well executed. It's chock full of cliches and moments that are hard to watch. If it weren't for the fake reviews by people who obviously hated/didn't watch this movie the score would most likely be below 1.",0
1,"What The Emoji Movie gives us is literally and actually predictable from the start. It lacks everything creative and everything that makes a movie successful. The Emoji Movie asks for your money so bad they had to literally do the impossible. New low for the year and possibly for the rest of this decade if there aren't as many cringeworthy movies in the near future. The crew behind this embarrassment that you call a movie will probably regret working on this a few years later when it comes to that time. If you give this movie your money, you should feel ashamed of yourself.",0
2,"I saw this movie in a free screening and I'm glad I did - I would never spend my money on a trash like this. I went in with barely any expectations. I thought the animation/voice acting might turn out descent. Guess what. It did not. Every single thing about this movie is horrible. It's just a poorly made, unfunny, ugly cash grab and on par with trash like Fifty Shades. I never thought an animated kids movie could be so bad - especially one with T. J. Miller - but it is.",0
3,"They cancelled The Popeye's movie for this disgusting crap. What were they thinking? Hide your kids from this terrible movie, and have them watch something else.",0
4,Everyday we stray further from God’s light. This film is nothing short of a waste of Earth's resources. All traces of the Emoji Movie should be collected onto a rocket and fired into space in the shortest path to the Sun.,0
5,"This movie is a total trash, seriously... What a waste of time for the producers to actually work on this bad movie. This is all of my review to be honest...",0
6,this blcokbuster is shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit,0
7,"The Emoji Movie is poop. Go watch Dunkirk, Atomic Blonde, Spider Man Homecoming, and War for the Planet of the Apes instead. Don't support this nasty garbage.",0
8,"The Emoji Movie is a shameful, artless vehicle for product placement and deserves all the 0/10s it can get. It's a grotesque mixture of four much better movies: Wreck-it-Ralph, The Lego Movie, The Angry Birds Movie, and Inside Out. Just add in a pinch of lowbrow Minions-style kiddie humour and you have a diabolical atrocity that is the worst animated film since Foodfight.",0
9,"The Emoji Movie is the best movie ever made. I cannot believe that one film could sum up all our lives, but it does. The film is terrible, bland, short, and boring, just like ourselves. Never would I have thought that a movie would make me reflect on my incredibly useless life, but The Emoji Movie did. The Emoji Movie shows us that we're all just trapped in our own world, we're useless, and we should only have one sole purpose. The film is too good for all our puny human brains to process, and it even made Kim Jong Un cry. If you don't like the film, it is because you don't understand the sheer beauty and perfection that the film delivers. Go clean up your dirty minds and keep watching it until you understand it. This film is an international treasure and should be shown to everyone.",1
