,review,label
0,"Like Babe Ruth is to baseball, like John Steinbeck is to writing, their is no doubt about it, The Godfather is the greatest film of all time. Never before have we seen performances so stellar, by Marlon Brando, Al Pacino, James Caan, Robert Duvall, and everyone else! The Godfather has little life lessons everywhere. Along with an engaging plot, that just completes the most critically acclaimed film of all time. The Godfather is Francis Ford Coppola's masterpiece.",1
1,"Absolutely,  positively the greatest movie ever made. Every frame is perfection from start to finish. It will never be bettered. There is nothing more to add.",1
2,"The Godfather trilogy (and I'm one of the few who rates III up there with I and II) finds a wonderful balance between a well-paced story and some terrific crisis moments for its characters. For those who may be concerned about whether or not they will enjoy it, I'd suggest watching The Godfather (Part I) while keeping in mind that this is a story about Michael wanting to go straight, to be good. To society and to his family.",1
3,"It's easy to see why this is the highest rated film. The acting is on another level, the directing is not only gripping and atmospheric but it doesn't cut from one thing to another. Everything that's important is shown, all the dialogue, all the detail. The story is obviously what makes this film so great. Although not an action movie, some of the scenes make the typical modern Hollywood blockbuster look laughable. The film is not only well-directed and clever, but also easy to follow. The story isn't over-complicated with a bundle of events which have no connection. The only reason I'm not giving it a 10 is because it's over 3 hours, and for a film that long you'd expect more to happen. The film can be cut down by about half an hour without losing any narrative or quality.",1
4,The best movie in Metacritic really is a great movie. Francis Ford Coppola made and aced a great film which is better than his sequels. Really well thought and made into a top hit Mafia-detective movie. One of Ford's best movies.,1
5,"I find some negative reviews to be pointless  either yammering on about how ""long"" the movie was, slow is another one (though many of these reviewers being kids and not quite used to the expository routines of late 60's drama) and committing the reviewers sin of comparing it to other hyper-spastic (almost cartoonish) crime dramas like Scarface and Pulp Fiction  though exceptional in their own right.  There is a quality of this film that tributes a long forgotten style of story telling within subtlety; the end result a beautifully woven opera of deceit, betrayal, loss and violence. It is and will always be a film that reaches the highest levels of fiction, wherein the film is preformed....and not spoon-fed to the audience. heaven forbid you'd have to do some actual thinking in order to complete a relatively easy 3 hours of story telling.",1
6,"Violent, well scripted and large, this classic American recounts a dark period in the history of america so perfect and convincing with perfect performances from all his cast this movie will likely be immortal.",1
7,"A masterpiece. How can the Earth continue without Coppola's The Godfather. One of the most iconic films ever talked about worldwide and acclaimed well by everybody, it's more fun to talk about it.",1
8,"This film is simply a classic, look at Brando, the only disappointment for me is that, this is the only film he features in!. It is the making of Al Pacino, he graces the screen, the Godfather perverts Pacino into the dark side, but the process proceeds to ebb away at him . Robert Duval sits in the back ground, but his loyalty to the family shines through, he doesn't win best supporting for this , but easily could have!. Quite frankly, watch this film, a few times, eventually all the detail soaks in. It really is one of the best of all time, once you've seen this, watch the other two, they all for me are classics, learn from them and enjoy!.",1
9,Unexpected death constantly interrupted by elegant music and scenes of rose garden. It is a little bit annoying how dumb women in this movie appear to be.,1
10,"The Godfather is the perfection of cinematography, with a unique and special gangster style, a respect for the unsurpassed work and a family, a family that revolutionized cinema.",1
