,review,label
0,"There are certain horror movies that are gross and that is their general appeal. Some horror movies attempt to be original and that is their general appeal. The Human Centipede's appeal? Well it attempts to try to mix these together, but the lack of substance already puts it below what you would normally expect. In addition though, the Human Centipede is a sick and disturbing movie that has no general appeal in its story, and absolutely no substance. The graphic content alone makes the movie nearly unwatchable, but the rest of the movie is just as painful. From laughable dialogue and situations, acting, and a bland mood that doesn't make the movie more exciting or scary. The Human Centipede: First Sequence is just a sick, horrendous movie that no one should watch. From a film and general perspective, this movie is abysmal.",0
1,"It's certainly not boring, and it was fun seeing exactly how the doctor would get the people into the configuration, but after that, it's pretty darned gross. When he urges the front guy to ""eat, eat"", so he can get the whole process going, I came about as close as I've ever come to dry heaving in a movie. So yeah, I'm glad I saw what all the fuss is about. But I can now see why Roger Ebert didn't want to give it a star rating.  It's really pointless to do so.  But I have seen worse!",0
2," My advice is: do not go and see this movie, it's not worth the 15 bucks. This is not a horror movie, it's just really sick.",0
3,"A creepy, disgusting concept that shouldn't have made it into production. The plot and acting are horrendous, and once you actually see what happens to the girls and the asian guy, there's no reason to keep watching.",0
4,"There are some things that should not be made into movies; splicing people ass-to-mouth is one such thing.  There is absolutely nothing interesting, thrilling, or remotely entertaining about this film.",0
5,"This movie is my **** nightmare! Do not watch this movie, spare yourselves from the mental scarring that this movie will inflict upon you. Ever since I have watched this movie I have not been able to get my full nights rest. The image of the human centipede was, and still is, stuck in my head. I seriously regret watching this movie. Please do yourselves a favour, and do not watch this movie. You will be thanking me for my advice for the rest of your lives. I wish I could invent a time machine to just erase the very thought of this movie from my head. I get the chills just thinking about the movie. Please, just don't watch this movie. I think I'm going to catch Hannah Montana from the Disney Channel. Have a nice day everyone.",0
6,"awfull disturbing horrible, the biggest crap i have ever seen in my whole life, the person that created this ""work of art"" must be sick, HAS to be sick...",0
7,"This film shouldn't be categorized as a horror, there's nothing scary about it at all. The film's plot is so full of holes, and that ""100% Medically Accurate"" tag is a joke. If you want to keep your sanity, skip this film.",0
9,"Ok, Legit WTF just happened. This movie consumed my soul and made me think deeper to the depths that humans will go to in order to get what they want. What they want I don't know. It appears to be torture porn because this movie was 2 hours of torture porn",1
10," Probably the best horror film of all time, in that you don't even need to see it to have nightmares. Just reading the plot description was enough to give me nightmares, and put me off food for several days.",0
11, Is this really what horror films have come to?,0
12,"Run for the hills. Not only does this film cross foreseen boundaries, it fails to do it with any form of success. It's vile, full of boring dialogue, and a movie that should be skipped by even those who can stomach its atrocious premise.",0
13,"I love sick films, but this movie was just retarded.  100 % medically accurate?  Really?  Tom Six is known for a horrible film about gay guys, and I think 300 people saw that.  So he decided to put his face on the map with this art-house crap, that isn't artistic, but it is crap.  Feces, though fun to say, does not make a movie.  It's not really graphic, it's not scary, it's not well-acted, and it really isn't that disturbing.  The idea of it is, but it's just another way to kill people.  In reality, parts b and c wouldn't last more than a day or two.  If that...  wow.  What a sh!t film.",0
15,"Could not bear to watch, scarred the surface of my brain. Gross and gruesome, not for the faint-hearted. Giving a 2 out of 10 for score is dedicated to Dieter Laser, playing the role of the sadistic character, Dr. Josef Heiter.",0
16,"Tell you what. If you don't like this then you don't 'get' the whole body-horror genre, and David Cronenberg may as well have made 'Boo!' films like Halloween. Watch the film, which is deliberately minimalist, and imagine yourself in the middle-girl's position. That's why the film works. This is a horror movie which reaches inside you and twists and tugs at your primal fears, not just the fears that occupy your conscious mind. This is true horror, which didn't even need gore to work. This film is more Clive Barker than Steven King, and I can give it no higher praise than that.",1
17,"This movie is definitely for the ""horror film junkie"" It's been along time since I've seen a movie that made me insist on others watching. You just have to have an appreciation for  B movie horror that will literally make you gag, but also has really funny moments. It ROCKS!",1
18," this is a gross movie that takes horror genre a step further into the sick section. no longer is pools of blood considered gross but now, human insanity has taken a unique twist. it is really awesome.",1
19,"This movie could have been a 10, but since the doctor gets off with a painless death I must say its the biggest pile of crap ever made. I hate Tom Six!!!!",0
