,review,label
0,"Yes, the movie has flaws. But who cares? ""The Matrix"" is a astonishing movie that is for-your-eyes only. The film has top notch (slo-mo was first introduced by this movie) CGI as well as a well rounded plot. It gives you more than you can ask for from a 1990's action film.",1
1,"An excellent movie with tons of special effects, fight scenes, etc., and the best thing is that they are all done perfectly. A really good film with an interesting story behind it. YOU'LL ENJOY IT.",1
2,"The best thing about the Matrix is the fact that it's such a brilliant, brilliant idea. The world you live in is virtual. In reality, you are an energy source in a jelly sac harvested by a race of machines... It makes me think of so many things... and I thought of whether I would take the blue pill or the red pill... you know, I'd probably take the blue pill.",1
3," What a concept! Although the movie is well executed, it is not exceptional. It makes for an entertaining ride.",1
4,"Groundbreaking synthesis of East meats West, in a brilliant sci-fi mind-scape....trippy, cool, and fun ride all around.Forget the sequels, they suck",1
5,"First off, I would give matrix a 9.5 out of 10. Visuals are great, and so are the action sequences. They're really epic, plus they're great to watch. Score is great. The story is also very good to. Acting is really good. Everyone does a great job throughout the movie. Overall, The Matrix is a great sic-fi action blockbuster that a great movie to watch. You really should watch this movie.",1
6,"After I have seen The Matrix, I instantly placed it at the #1 spot of the list of my favorite movies. Since then, 13 years has passed, I have seen over a hundred new movies. The Matrix still occupies that top spot. Inception was good, but no where near The Matrix good. If you haven't seen The Matrix series, I pity you, for you have missed the BEST movie ever made, go see it NOW!",1
7,"In my top ten movies of all time. What a shame the sequels sputtered out or this Trilogy could have been the most epic in the history of film making. Could have been our generation's STAR WARS. Woulda, Coulda, Shoulda.",1
8,The thought that went into this movies plot is astounding. I can understand how some could be confused and dislike it but ive found the more i watch this film the more i love it. Some minor flaws here and there but overall an amazing film.,1
9,"Amazing, definitely a timeless masterpiece. Some of the utmost original storylines of science-fiction genre, introducing a brilliant and new reality that will break with all the standards and blow away your mind. The perfect combination between action scenes that will keep you on the edge of your seat and reflective dialogues concerning the movie's very deep theme. Additionally, the technical production is astonishing with very good graphic special effects that form an unbelievably awesome visual appeal. Truly a must-watch production that will not leave you unchanged.",1
10,If You Ever had to choose one movie for your unborn child to see. It would definitely be the matrix. FREE YOUR MIND.   The perfect illustration of control and power and how it influences everything around you,1
11,"The Matrix was genius. Acting was great, the story: perfection, direction was perfect, and then the fights were absolutely badass, and anyone who's seen it would agree.",1
12,"Really recommend this movie (not the sequels however). Good plot and storyline, nice special effects (not too overdone) and if you can overlook the plot holes and suspend disbelief, your in for a great ride!",1
13," The greatest action movie of all time, my favorite movie, its so perceptive so mind boggling you will watch it more than once to then fall more in love with the matrix a world without borders or boundaries. I love this movie.",1
14,a fun sci fi action flick with fantasic action and effects . the story is pretty entertaining and keeps you interested . the film has a great plot twist that i dont think any one seeing this for the first time will ever see coming . the story feels fresh and original . the acting is abit dry but fits this film and especialy Reeves who i dont think you could get any dryer then his acting .,1
15,"Well, after all these years of gaming communities being inspired by it as well as parodies from other films. I finally watched it. The film is confusing in some ways but it really makes you think. The film is very entertaining and has very impressive CGI for 1999. It's definitely worth watching.",1
16,"THE MATRIX is the best action movie ever made in my list. When Matrix released on its time, thiz movie created many breakthrough on world cinema. Directed by Larry and Andy Wachowski, who is just recently popular in thiz movie. They just known previously as small budget film Director, BOUND (1996). Later, the movie has two more sequels MATRIX RELOADED and MATRIX REVOLUTION in 2003. You can almost classify the Stars of thiz movie as B-Class Casts, except Keanu Reeves, but still the outcome is beyond the expectations. Each of the characters like: Neo (Keanu Reeves), Morpheus (Laurence Fishburne), Trinity (Carrie-Anne Moss) , even the villain Agent Smith (Hugo Weaving) already become a legendary icon in the industries. One of the fervencies of thiz movie is on the action scene. The fight scene is something new and different, which follows later by other movies. Behind that extraordinary fight scene is well-known Martial Arts Choreographer, Yuen Woo Ping. Woo Ping is the man behind CROUCHING TIGER, HIDDEN DRAGON(2000), KILL BILL (2003),THE FORBIDDEN KINGDOM (2008), even Jackie Chan classic action SNAKE IN THE EAGLE SHADOW (1978). His experiences in a lot of Asian movies made him effective.  The movie definitely exceed beyond our imagination. In fact, many people did not understand entirely the story of THE MATRIX, there are still many blank spot to question about. The Content of the movie fills with great philosophies inside. It seemed to me Wachowski Brothers discovered successfully how to make a brilliant concept from some of religions. The essence is not that simple as appear to be, Actually we will always have something new, every time we watch it. Visit My Blog on JONNY'S MOVEE: http://jonnyfendi.blogspot.com",1
17,"This movie was a well done action movie. It has some problems with the story line, but the action scenes are undeniably astonishing. This movie introduced the Slow Motion concept to other movie makers, and it has been a hit ever since. I would definitely consider this movie to be a modern classic action film. The movie certainly goes above and beyond the standard 90's movie.",1
18,"This film is much more than most of people can understand.It just try to open our eyes, we are in the matrix and this world is not what we think it is, and this movie is made by this people for this people, just as James Cameron Avatar that shows to the world the true reality, from whence we came and where we can go.",1
19,"The MatrixAverage User Score: 8.710The Matrix ImageThe Matrix takes mystery school concepts and philosophies of Gnosticism, Eastern religions, Western Religions and even ideas from the Natural Law movement and blends them together to create a cryptic, symbolic action film. Everything in this movie has occult meaning, but it's up to us, the viewers to figure out what that meaning is. This movie is like a puzzle. But this is all done in a very cool, entertaining way with awesome special effects (cutting edge at the time it was released) and great memorable action scenes, some which have greatly influenced the special effects of Hollywood movies produced afterwards. My only complaint about this movie is the way the love of Neo by Trinity is revealed, I mean you have no idea and I remember in the theater myself and everyone around me groaning since the whole love story in action films thing has been done to death and this seemed so cliche. The love between Trinity and Neo is very important to the trinity in the long run but imo it could have been introduced in a much better manner, maybe some flirting scenes leading up to it because you just don't see it coming at all which makes it really unrealistic. But other than that a great, epic movie. The Matrix (and the entire Matrix Trilogy) is like an onion, it has many layers of meaning, and every-time I watch it I notice something new. Definitely a masterpiece with profound hidden meaning and my favourite movie off all time to this day. 10/10",1
20,"This is the best sci-fi movie ever made, together with Star Wars IV and V, of course. I can't tell you much about it. You REALLY need to watch it so you can make conclusions.",1
21,"I feel bad for those morons who think The Matrix sucks. this is a brilliant movie full of epic nonstop action. If you like movie with awsome acting,music, and badass slo-motion fight scenes, etc. then get this, if you aren't... well buy Legend of the Guardians.",1
22,"Despite TRON being my all time, video game related movies of all time, The Matrix is my all time bad ass, cool, computer/hacker movies.  I find it hard NOT to love.  It has action, martial arts so the 'easily entertained by action' viewers can have something, the 'computer goers' like myself have something to get into and when it's all thrown together it makes the perfect combination of action and story.",1
23,The best sci-fi movie of its time.Excellent original soundtrackI still keep the thinking as a reference for some of my work and my everyday life. Loved it.,1
24,"Saw this movie for the first time yesterday. Although a lot of it was cheesy and the costumes were ridiculous, it was very engrossing and I was never bored.",1
25,The beginning of the movie for me was very confusing but by the end all your questions will be answered. The slo-mo and CGI make the tricks a whole lot better.,1
26,"If I was dying and had to recommend to my child only 1 film to watch until they understand it fully, it would be the Matrix (trilogy). That's how good it is.",1
27,"My third favorite movie ever and one of the four films I consider to be perfect.  While Keanu Reeves delivers his usual grade of acting, he more than makes up for it as the badass hero.  The premise, while questionable from a logical standpoint, is haunting and deeply thought-provoking.  The effects still hold up today and give the action sequences a special charm.  Oh, and the ending is just one of the most satisfying ever. The Matrix is definitely a 10/10 in my book.",1
28,"I am just fascinated by the idea of the movie:""Human reproduction has stopped, humans are used as an infinite source of energy."" So basically they are grown as mere vegetables.Everyone agrees that the fight sequences are more than awesome. Special effects are spectacular considering the year the film was made.The first part of The Matrix is more than enough to satisfy your expectations from a sci-fi movie.",1
29,"The Matrix was (in 1999) a complete revolution in Hollywood film-making. Combining state of the art CGI effects, proper old-school Hong Kong style fight choreography, and an intelligent, well written story... It comes together and creates an instant classic. It's one of those 'where were you when you first saw it' movies, that resonate for years afterwards in your own mind. Asking questions about human existence, free will, fate, morality, duality of self... It's a philosophical debate hiding inside a kick-ass action movie. It's one of the most 'complete' films too, with an ending that makes sense and leaves the imagination to wonder what might actually happen. Two vastly inferior 'cash-grab' sequels followed, no doubt at the insistence of a studio desperate for more, and probably used as a gun to the head to the Wachowski Brothers. It's not a perfect movie, the whole 'Jesus' paradigm is a little forced, and the much lauded 'bullet time' special effect now looks very dated! But, forget the sequels, watch the original. If you've never seen it, I guarantee it won't disappoint.",1
30,"Not the best movie of all time, but I really appreciate ambitious movies that are full of interesting ideas. The matrix is certainly ambitious and has many new, interesting ideas. A lot of fun to watch.",1
31," The Matrix is without a doubt one of the best movies ever made. Period. I will explain though. Most people have an issue with the movie for one of two reasons: the special effects and the plot. First, I'm not a huge martial arts guy, so I'm definitely nowhere close to being an expert on this, but the action scenes were pretty awesome. The combination of slick and fast hand-to-hand with a load of guns thrown in...awesome. The music to the fights completed the experience. The second issue most people have with the Matrix is something I am quite familiar with: the plot. The plot of the Matrix is fantastic. That is because of two things: One, it is a fresh idea. The Matrix's plot is not a clone of anything. And two, the plot is incredibly deep, having multiple levels for every part in it. The agents, Neo being freed, the idea of the Matrix itself, all great. If you don't like sci-fi, then that's fine. You probably won't like this movie. You definitely won't like the sequels. But don't knock them for being ""stupid"" or ""moronic."" Because they simply aren't. And on a last note, the acting is exactly suited to this movie. The people in this movie act exactly how their characters should. Keanu Reeves was cast BECAUSE he acts the way he does on camera. It was perfect for the part. Hugo Weaving is SUPPOSED to be dry and humorless. Keep in mind the context of the characters when you judge acting. If you have any complaints, I'll be willing to defend the greatness of this movie. A 10 out of 10.",1
32,"Sure some things aren't perfect, and it can be kind of...meh, but it is still a fantastic movie. The whole concept is very interesting, making you think for a brief moment ""what if that's real?"" And on top of that, it is funny, dramatic, and has great action scenes. I think it's a great ride of 90's movies.",1
33,"Beautifully filmed and written. Best film of all time. The charcters are so real and engaging, the settings are perfect and I couldn't find a single fault if I tried.",1
34,Anyone who dislikes this film obviously doest understand what it is about and what point it is trying to get across. One of my favourite movies of all time.,1
35,"I strongly recommend this film; it's a golden experience that will change your life for the better. The effects still look great even fifteen years later. The story offers much food for thought. Morpheus, Neo, and Trinity transcend mere character into archetype. But who HASN'T felt as if this life is something less than it seems? This stands alongside 'Serenity' among science-fiction cinema's greatest champions of human liberation and truth. If you care about your mind, see this. You will not be disappointed.",1
36,"""You have to understand, most of these people are not ready to be unplugged. And many of them are so inured, so hopelessly dependent on the system, that they will fight to protect it. ""Morpheus",1
37,the only thing that even comes close to this is LOTR....but this is even more anti gov than anything i've ever heard of.....therefore this movie number 1 despite the sequels.....the fact that he gets covered in a mirror only makes metaphorical sense but like it a lot...the fact that the first cops are already dead is kinda lame....who cares....also who cares that morphius can only guide neo to evade the agents in the beginning.....that seriously might be all thats wrong with it .....whats wrong with me now is the question....- JRA,1
