,review,label
4,"Overall I thought The Mummy was an entertaining film. It seemed to have the right amount of action, jump scares, and humor. My 14 and 16-year-old kids liked it more than I did.",1
5,"The buried ancient egypt sets were very good and the mummy chick was aggressive and strong. You can imagine all Tom cruise movies are like, so you can expect this mummy movie to be like that. I still like the classic mummy 1 and 2 in the past. Maybe this one is the sequel of the mummy series?",1
6,"I am more surprised from the high scores some people rate this movie, than from the actualy movie. Horrible. So pathetic i don't want to comment. Don't waste your time and go watch the original from 1999.",0
7,Tom Cruise and Russell Crowe are two of my favourite actors and while this movie wasn’t Shakespeare I found it very good as entertainment just as much as any Marvel or DC production. The fantasy plot was good? It felt a  little Raiders of the Lost Arkie going on. Brillant stunts .Tom C does his own. Great CGI? Attractive actors. Some people just don’t like Tom Cruise and you can’t legislate for that. Good movie. Worth the ticket,1
9,"Unfocused, underdeveloped, and uninspired are the three U's that ruin Universal's fourth (Yes, I said FOURTH) attempt at building a shared universe for their library of monsters. I thought that this would be terrible from the trailers, but I had a soft spot of hope, simply so that Universal could take advantage of the Dark Universe's potential. I was dead wrong.The Mummy seems more interested at brushing away any sort of character or build-up for action and foreshadowing (of the DU, of course), than telling a good story. The first 20 minutes aren't great, but they do establish the plot, characters, and initial tone (a bit more serious than before, but not afraid of having fun). Then it all goes down as the film moves along. The tone becomes inconsistent, shifting from scary and serious to silly and comedic at inappropriate moments; the moments themselves are cheap, with jump-scare style horror, and lame slapstick. The pacing dashes by way too fast, not giving enough time for anything in the film to settle. The characters, particularly Tom Cruise's, have no arc or development, not even any chemistry between him and Annabelle Wallis to liven the film up. Ahmanet is just as dull as anyone else, having very little charm or depth for us to be frightened or to care of her. A good portion of the film is dedicated to Dr. Jekyll and his research facility, Prodigium, yet the film breezes through those (actually interesting) ideas so fast that here's little reason to have them in the film.The whole feature is a mess, deciding that being a  $125 million promotional piece for the Dark Universe was more important than being a good movie. What an absolute waste of potential.",0
10,"A boring, uninspired start to Universal's ""Dark Universe"" of monster films, The Mummy comes off as incredibly lazy, with its poorly edited action, lack of direction, and uneven performances - and even Tom Cruise's running can't save it from its inevitable downfall.",0
11,"The Mummy (2017) is by no means an excellent movie, and it's never intended to be so. It's a OK enough summer popcorn flick with plenty of explosions, actions, and Tom Cruise running. It might come as cheesy at some points, and the plot's somewhat messy, but this is what I was expecting, a dumb, fun, loud, cheesy movie. If you walk in to the cinema expecting more than that, you'll walk out being furious to the makers of this movie. Overall, I enjoyed this movie. On the other hand, the advertising clearly took a wrong direction by selling it as a franchise-starter. Studios need realize and wake up that you can't just make a movie to start a Marvel-ish dynasty. If they want to start a universe, just let it flow, don't rush it! DCEU fell to that pit with its earlier movies (Thanks to Wonder-Woman, people might actually start to get interested in that universe). Fantastic Beasts and Where to Find them also barely dodged the bullet (Thankfully, the fan base of the Wizarding World was big enough already). And we all know what happened to Sony's The Amazing Spider-Man franchise....",1
12,"Didn't get all the negative reviews from Critics. Surely it is not a perfect film, but not a bad film either.+ Loved the horror-action aspect of the movie+ Impressed with Sofia Boutella (although she doesn't had much screen time as Cruise though being the titular character)+ Found interest with the world of dark universe. Can't wait for the next project.+ Loved Russell Crowe as Jekyll & Hyde- Tom Cruise's performance was underwhelming- Sometimes they talked more than showing things (It can become boring sometimes)- Final battle was not overwhelming.They need to change the director in the sequel. Despite some flaws I think Dark Universe will be good. At least it didn't force some agenda (like Wonder Woman).",1
13,"This cynical and ill conceived attempt to start a Uni-""Monsterverse"" has one incredibly fatal flaw. When Marvel began their cinematic universe, all of the films were solid stand alone pictures true to the original material. This is a hopelessly convoluted mess that has nothing to do with the original screen legends.",0
14,"Burdened by relentless exposition, a terrible second act, an unfocused and convoluted screenplay, humour that never lands, and a tone that doesn't suit well with the campiness of the premise, Universal's reboot of 'The Mummy' celebrates the arrival of 'The Dark Universe' by burying it deep in the sand.",0
15,"Please don't be scared away by the low reviews! I went on opening night with my wife and 2 nephews and we had a blast with this movie! Is it a contender for best drama at this years academy awards? No. Is it a great summer popcorn movie with some great ideas and a few set ups towards future monster movies? absolutely! Give it a chance and have some fun, watch some special effects and jump in your seat a few times.",1
16,"Not sure why ""The Mummy"" is getting so much negative criticism.  Perhaps I don't understand the backstory that true movie buffs and geeks live by; however, I enjoyed the movie very much.  One prior reviewer said it was burdened with too much exposition but I feel just the opposite.  They explained enough to understand the storyline but the movie was full of action.  Also, I've always liked Tom Cruise and Russell Crowe performances and they didn't disappoint in this movie either.  I found the movie to be fast paced and exciting/suspenseful throughout the whole thing but not annoyingly so like the neverending action sequences in ""Man of Steel"" that felt like an hour of Superman and Zod smashing each other through buildings. (I agree with a prior reviewer that liked ""The Mummy"" better than any of the DC offerings so far.)  I liked the supporting cast in ""The Mummy"" and felt they all had good chemistry (did not feel the same about Henry Cavill and Amy Adams who seemed more like brother and sister).  I thought Universal set-up the Dark Universe adequately but again, I'm a nube to any backstory here.  I enjoyed it very much and would watch it again.  I can't say that for any of the DC movies, including ""Wonder Woman"" (although in fairness I was very tired when I watched it). And keep in mind, the movie is not ""Schindler's List"".  It's not meant to challenge or educate.  It's pure escapist entertainment.  So, if you want an action movie that resurrects the monster movies of old with a great cast, go see ""The Mummy"" regardless of what anyone else says.",1
17,"Kicking off the Dark Universe we have The Mummy, and what an awful way to start yet another franchise of seemingly never ending movies simply there to make as much money as possible. I had low expectations but it’s even worse than I imagined. Tom Cruise is in the desert and Tom Cruise is in a tomb and Tom Cruise is on a plane and Tom Cruise is so in your face all the time that I was actually rooting for the Mummy. Too bad the Mummy was as insignificant as the rest of the characters because this movie is all about, you guessed it. TOM CRUISE! On more than one occasion I had to resist the urge to fall asleep but oh don’t worry if you do decide to take a little nap because every single character will take a turn at explaining the plot to you. I could go on a rant about the lazy story, the miscasting and the cringy dialogue but who has the time. On a technical note a monster movie should never be released in 3D, aside from the increase in price 3D movies can lose up to 75% of light and 30% of colour so by all means make a colourful animation in 3D but not a dark and dreary monster movie set in London. And for what? A bird flying straight into your face and a mummified hand reaching out to you. Not worth it. Yet another failed monster movie to add to the ever growing pile of rubbish. Go see anything else instead or better yet watch the 1999 version because you better believe this version makes Brendan Fraser’s Mummy look like an absolute masterpiece. Not a chance am I recommending this.",0
18,"The Mummy is just all you could think it is. It tries so hard to become what it is today. Unfortunately for us, this is just a slap in our face excuse of a reboot of the Mummy franchise and can often be called a terrible start for the Dark Universe, a newly-made franchise that joins other monster movies released by Universal Studios. Spend your money elsewhere. This is not even worth a penny.",0
19,"The Mummy is an impressive action film which is well above average. If you're able to remove politics from the discussion then it is about on par with Wonder Woman in terms of overall quality. That is the problem, people cannot remove politics from their reviews and they don't want this film to compete at the box office with Wonder Woman because 'feminism.' That small minority of disingenuous reviewers are muddying the waters. I have personally watched both films at the cinema and they're both above average but neither is 'great', 'fantastic', or 'excellent' as some would describe them. The Mummy is worth a watch if you're a fan of a reliable Tom Cruise performance, or interesting fantasy elements, or satisfying action, or a predictable yet still interesting story.",1
20,Stop with remakes. The film is completely dispensable. Bad storyline. Weak performances.'The Mummy' has a few thrills but is dissatisfying and disappointing in every other sense.,0
21,"Absolutely horrid movie. First issue is Scientology's gift to movies, Tom Cruise. His ego mars any effort at entertainment. Secondly, a confused effort to tie the Mummy storyline to a continuous ""dark universe"" anthology. Waste of talent, badly written, and pales in graphics. And finally, the looming specter of Tom Cruise returning to any future DU movies is beyond frightening . . . total waste of time.",0
24,"If you want action, you are going to get your full summer quota.  You know the drill.  The story is completely implausible and the characters are practically super heroes.  Tom Cruise has an underwater sequence that had me gasping for air.  His sidekick Jake Johnson (I know him from ""Jurassic World"".  He is the geeky guy in the control room with all the toy dinosaurs lined up on his desk.  He is also a regular on ""New Girl"").  But, he is the funny one in the bunch.  And that is one thing I liked about the movie.  There are some good laughs.  Russell Crowe makes an appearance as a mad scientist, Dr. Henry Jekyll.  The ladies are interesting.  Annabelle Wallis plays Jenny, a young archaeologist looking for a dagger and stone that have magic powers.  And then there is the mummy!  Sofia Boutella plays Ahmenet, the crazy, bloodthirsty, power mad mummy returned to life.  I have never seen her before.  Although Boutella will be seen in ""Atomic Blonde"" when it comes out.  In general, thumbs were up.  It is fun and entertaining and should keep your interest.  We all thought it felt long, but in reality, it is less than two hours.  And, this is NOT a movie for young children!  This movie is scary!  There were lots of children in the audience and I am betting there were quite a few who nad nightmares about being chased by the undead.  But, if mummy movies are your thing, buy your popcorn and enjoy!",1
25,"Solid monster movie, althought he ending was quite a let down. No idea why people downvoted this movie into oblivion, but I heard the fact that ""Brendan Fraser wasn't in it"" played a big role here. After how terrible the third mummy movie was, it only makes sense to let someone else take the lead role... Preferably someone who still *has* a movie career.",1
26,"I don't know what people were expecting with a movie like The Mummy to be so disappointed with this one. It is a perfectly good movie for what it tries to be. The story is interesting the acting is good, the production values are high, the CGI is good, the sets are great, there is mystery, there is adventure, there is running, there is menace. I did not find myself checking the watch to see how much longer like I did in Wonder Woman. In short it is a good movie.",1
27,The movie is more like Mission Impossible than a mysterious movie as the previous The Mummy.It should be a standalone movie title instead of The Mummy.,0
28,I don't care what anyone says. I think The Mummy was an awesome movie.This movie is very fun to watch. Don't listen to the low rank critics. Its story and characters are very interesting.,1
29,I'm usually ultra forgiving of plot-holes but this movie has so many it's just sad. There is no way these film makers spent 2 seconds on countless issues with scenes that make no sense. The only other movie I really complained about so many laughable plot-holes was After Earth. This movie is *that bad.,0
31,"Some really poor dialogue for Cruise's character making him appear mentally challenged at times, a story that sets up for a ripoff of League of Extrodinary Gentlemen, and action that would liquify a normal human body (regardless of fitness level).  If this had more action it could have at least been as good as a Michael Bay flick, perhaps even scoring a five.  Worst line in the movie: ""If evil were a patheogen, he reasoned, then there must surely be a cure.""  If this logic is indicative of what the rest of the Dark Universe has to offer, we might as well kill the projector light on this series.",0
35,"""The Mummy"" was a somewhat strange film, because Tom Cruise did well his performance, Russell Crowe, and Sofia Bouttella also did well, but if the story, and the scenes did not seem well seen, were rather slow and little Disturbing, but the only thing I can save is the performance of Tom Cruise.",0
37,"Putting the Knights Templar assisting the evil character was tacky and an attack on Western Civilisation. It is quite frankly disgusting and I walked out of the film as a result. I used to enjoy some of the Mummy films in the past but attempting to position the Crusades as somehow negative, when the very purpose of the Crusades was about liberty and justice over savagery is beyond comprehension and disgusting. Completely ruined the film and I could not enjoy it. I am not sure if I could ever watch Russel Crowe or Tome Cruise again but on the positive side the mummy was very sexy and it is why rather than give a zero I am giving a one star.",0
38,An autobiographical deptiction of Tom Cruises rise to power in the ¢hur¢h of $¢ientology.Tom plays himself as a bumbling retard bent on doing anything and screwing over anyone for personal profit.,0
39,"As the beginning of a new film universe is okay, the movie is fun to watch and with good action scenes, the script I miss a bit more seriousness but in general is a good movie, I hope with each new movie from the Dark Universe Go up the quality standards / Como el inicio de un nuevo universo cinematografico esta bien, la pelicula es divertida de ver y con buenas escenas de accion, al guion le falto un poco mas de seriedad pero en general es una pelicula buena, espero que con cada nueva pelicula del Dark Universe vaya subiendo los estandares de calidad",1
