,review,label
0, This HAS to be my favorite movie of all time. i basicly listen to it every day. I wish i could sing like any of them. KEEP UP THE GOOD WORK!!!,1
1," I always thought that Gerard Butler was straight, but i don't anymore. this movie is so boring, that it would kill a hamster. (In lovely memory of my hamster) the hold story doesn't make any sense.",0
2, This is absolutely powering. something just comes over you watching this film. the actors bring such feeling to the roles. incredible film.,1
5,"It's certainly an improvement for Joel Schumacher since Batman and Robin, but I still did not enjoy this film.With the exception of Erik, all of these characters are completely bland. This is not the fault of Schumacher or any of the actors. None of these characters, especially Raoul and Christine, were very interesting to begin with. And even Erik in this film isn't that deep, especially when you see that his ""deformity"" is really just a big rash. It doesn't look that bad and it makes his song about his face seem, well, somewhat pretentious, which is a word that I feel sad using to describe one of my favorite literary anti-heroes.The acting isn't that great either. The only one who I thought did a decent job was Patrick Wilson as Raoul. Then there is poor Miranda Richardson doing an incredibly over the top French accent that was hard not to laugh at. This is sad because I genuinly love Miranda Richardson and think she is a fantastic actress, but her acting in this movie was terrible. I don't even understand why she has that accent since everyone else is phoning it in and just doing a British accent, with the exception of Carlotta (since she is Italian) and Raoul and Christine, who for some reason speak with American accents.The costumes and sets are creative and well made and some of the singing isn't bad, but it just wasn't a pleasant experience for me.",0
6,I loved this movie! I have watched the movie many more times than I can count. I love Emmy Rossum. She looks so beautiful throughout the whole movie. I also love Jennifer Ellison. She is so cute. Gerard Butler was a little pitchy at times but overall not bad at all. I really dislike Carlotta though. She makes me want to scream.,1
7,"Well acted, Beautiful Music and a great storyline keeps this movie going until the very end",1
9,"It's really a SPECTACULAR movie. The music and the effects are AMAZING. Gerard and Emmy did a really good job as Erik and Christine. Once I started watching I couldn't stop singing songs from it. The music is like drugs, once started you can't stop. The musical though is a little better than the movie.",1
11," This is one of the worst, if not the worst flm I have ever seen. I can only ascribe the myriad of 10 ratings that this film has recieved to the brain damage of teh respective reviewers, or perhaps they were so abused as children that thye no longer can tell good from bad. This movie is criminally bad, a constipated, bombastic, kitsch, heinous, trainwreck of a film that is an embarrassment to articulate human beings. I gave it a 1 because I can imagine less pleasant experiences such as having boiling acid injected directly into my eyes whilst. I don't think my ears will ever recover.",0
12, Wow!The Movie was great. I love the Phantom. I dont like Raoul.Christine & Phantom 4ever!,1
13, Why did they make this? I mean the fun of watching the first one is becuase it's in black and white and it's silent. I think thats the fun. But this is in color and in sound. Just like most of the other re-makes.,0
