,review,label
0,"I've always enjoyed the Twilight movies. Not because they're good, but because they're absolutely horrendous. The script is bad, the plot is bad, the acting is bad, the directing and editing is bad, and all the guys can't go five minutes without taking their shirts off. All that combines to make something that is absolutely hilarious to watch. My friend and I once talked about having a drinking game, where we would watch Twilight and take a drink whenever there was a facepalm moment on screen. We eventually decided against it because we would have gotten drunk within the first ten minutes. So I went into Breaking Dawn expecting more of the same, and I got it. Dialogue so incredibly bad and cheesy you could spread it on a biscuit and eat it. Acting so flat and wooden you could make an IKEA chair with it, or several. There were so many facepalm moments that I think my forehead was red when I walked out. Directing is slightly better this time though, that's some good at least. I did enjoy this movie, but please don't mistake it for me saying that this is a good movie, it's not. I enjoyed it because it's terrible. If you're a fan, go ahead and watch it (though you probably already have). If you're like me, think about watching it if you have the time (and money). If you're not a fan, this movie won't change your mind about the series. Avoid it.",0
1,I think this movie was way better than than the previous movies in the series. People need to give some credit where it is due and it is definitely due here!,1
2,This movie really is for the fans of the books. I hate the way others try to spoil it for them by constantly putting it down. If it is not your cup of tea...fine...but why all the hate? Get over it! I'm glad the fans love it so much as it is portrayed exactly as the books described. Well done to them for being true.,1
3,Enjoyed this movie a lot. It delivered on screen exactly how it is described in the books. You can not ask anymore of a director or actor so I say a job very well done.,1
4,Really enjoyed it! It was cheesy and melodramatic and humorous! Exactly what I was hoping for!! Loved every moment of it! Completely delivered the book.,1
5,Well I completely enjoyed this movie and at the end of the day that is what it is all about!! These movies make a lot of people very happy and that is always nice to see!,1
6,Absolutely loved it! This movie is all about sheer light hearted entertainment . Anybody who takes this seriously should really get their heads examined!! I'm talking about all those people who can not just go to the movies for a bit of fun!! Lighten up people! It is not supposed to be all serious. I like how this movie did not try to be anything other than what is is. Fun.,1
7,I can not fault this movie at all! It delivers what it says on the tin and I think you can not ask for more than that. Very well done  by the director and the cast.,1
8,The acting has vastly improved in this movie and it makes a massive difference. I really felt the emotions coming through with a mix of light moments and serious moments for the characters.,1
9,"I am a huge fan so of course I thoroughly enjoyed it. There is plenty of serious stuff happening in the Worls, it is nice to simply escape from time to time and that is what this is all about.",1
10,Absolutely LOVED it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I am very happy with the way everything was put together from the book and I am very much looking forward to part 2.,1
11,"Thank you so much Bill Condon, Robert Pattinson, Kristen Stewart, Taylor Lautner and all the cast and crew for finally giving the fans exactly want we want and not giving a damn about the haters of the series!",1
12,"Dear Stephanie Meyer, You Ripped off Buffy the vampire slayer and Southern Vampire Mysteries and have been far too successful with it. This films pacing is off, acting is wooden and there is no humour except for the terribly written dialogue and ugly unconvincing CGI. Bella is barely a character and more of cardboard cut out, who really isn't a very good example to young women. This girl is badly harmed after having sex with her husband, but its ok cause he didn't mean to do it. That's very reminiscent of what a lot of women in physically abusive relationships say. It may be fantasy, but teenagers and younger are heavily influenced by what they read and watch so I'm gonna ask Stephanie Meyer.... Can you either stop writing books OR have Buffy (you already stole the characters romance why not the whole character) and have an empowering woman that teens can look up to and not feel repressed by her male counter parts. ThanksJay Johnson",0
13,Very nicely done indeed!!!!!!!!Thinking back at some of the imagery in the scenes and the charming delivery of the unusual story line. I really liked it!,1
