,review,label
0,"What does it matter if a film stays close to the book if some people haven't even read the book. Anyone could make an exact rendering of the book, but it's the originality and creativity that is put into adaptations (though not this one) that make it exciting and worthwhile. This films was incredibly boring and almost corny at times. Lautner can't act to save his life sadly, and most of the time when he's trying to be dramatic, he is actually funny. What a poorly made film.",0
2,"I felt that by watching this movie I had opened the door of judgment on tween-girl fandom, and my exclusion hit as I felt the cold abyss stared back at me, daring me to defy it. Yes, I had entered the Twilight zone, and I had no place being there (nor would anyone with any critical sense)",0
3," This movie was awful. I went in to see it with my girlfriend as she's somehow interested in these fake vampire movies. This movie is nothing more than softcore porn for women. If you've seen this, you'll know what I mean by that. About the characters, the two main characters are just plain dumb, Bella's just a self-absorbed bitch who teases other guys, but in the end just mopes about the seemingly autistic ""vampire."" Since when could vampires be in sunlight? And when did they start to sparkle? Jesus, I think I'll need a bottle of whiskey to down this god-awful movie with. A fun after-movie fact was, that when I asked my GF about the movie's plot, she actually was like: ""What plot?"" Anyway, I've got a bottle of whiskey to drink. Cheers!",0
4,"While the first one gave us the ridiculous idea that vampires sparkle, this one implies that werewolves are really creatures that shapeshift whenever they want. Is Stephanie Meyer trying to ridicule the horror genre?",0
5,A seriously dumb movie.  Even the special effects are wimpy.  I had hoped to find some thrill in all the beefcake noted in the trailers.  But even that is wasted.,0
6, This movie rocks if you're a 14 year old girl who just had her first period. Seriously.,0
7, Garbage!,0
8," One of the worst movies I've seen on my life of my life with Gigli, Saw VI, one missed call and the first one too! pure vampire and werewolf incoherence!",0
9,"This has to be the worst sequel that I've ever seen. It's dull,I mean it is SO BORING! Very disappointment! You know why this film so bad? Because of those lovey dovey cast and some lovey dovey dopey story,nothing else. It's almost bas as the first one,just the same logic of the sequel. WHAT A RIP-OFF! No other Box-Office Hit couldn't be good like this. I guess that the Twilight franchise wasn't too memorable and not even too good for the series. It's just downhill from there. Even of course it's a viewers flop and of course there's nothing creativity about this movie,it's just the romantic movie with too many cliches and putting into a vampire of crap,that's all I have. But it's bad,it's really,really bad!",0
10," The movie sucked. I almost fell asleep in some parts because it's so boring. It's always cheap lines to make the audience laugh, and stupid 16 year old girls distracting in the row behind you. Worst film of all time.",0
12,"There's nothing good about this movie. And you're only gonna embarrass yourself by trying to explain why it's so good. Actually, I'm mistaken- That awkward elevator scene was hilarious! If you were going to watch this movie just for the laughs, don't even bother. Just youtube that elevator scene. It's amazing.",0
13,"Bad performances, and some terribly written dialogue, not to mention its long running time, which makes it unentertaining, this film does have some great romance and an impressive budget though, but it fails to impress. I give this film a 25% of a good movie.",0
14, I thought this movie was pure garbage. it was 2 hours of a confused.,0
16,"When you have a new True Blood airing every Sunday on HBO, this sexless, bloodless Twilight follow-up stings sour and is only worsened by some really terrible acting.",0
17," The film New Moon is a film that calls us, we can not release the film before the end. Is perfect.",1
18," I am 37 year male fan of Twilight Books. I have also been with my wife in Montepulciano, Italy when New Moon was filming. That, by the way, was really interesting experience. We visited Voltera, too. And compared it to filming location. We have seen New Moon 1st time yesterday and was bit confused - it seemed rushed and chunky - good but not satisfying. But after 2nd viewing today - I must say that rhythm is very good and anything clicked. So, if you are really interested in Saga - I strongly recommend to watch it at least two times. Enjoy",1
19," The film New Moon is a film that calls us, we can not release the film before the end.",1
20," The film remained true to the book, and it's the most important thing. Amazing soundtrack. Big plus to the director for pulling out some of those funny moments - it's refreshing and gives more space to breathe (sort of).",1
21,"This movie is a disgrace to Twilight fans. I was surprisingly impresssed with the first one, but I was extremely disappointed with this one.  I was not at all impressed with the over all feel of the movie. I blame that on the director switch.  I felt that in the first one all of the actors did an outstanding job of bringing their characters to life, but that dropped with NewMoon. If it wasn't for the fact that every girl/woman in the country can't keep their eyes off him, I'm pretty sure Lautner would be fired - his acting is almost amusing. Overall the whole movie is pretty cheesy, I felt like I was watching one of those online spoofs, rather than the real thing. Don't waste your time with this film.",1
22," This movie was fabulous. I went in with really high expectations, which usually lets me down... but not today. It was just as good as I thought it was going to be.",1
23," The film New Moon is a film that calls us, we can not release the film before the end of history than others, but especially, every action, every scene that is passing the film gets better, begins and ends perfect perfect.",1
24," The film New Moon is a film that calls us, we can not release the film before the end of history than others, but especially, every action, every scene that is passing the film gets better, begins and ends perfect perfect.",1
25," No words needed!! Loved it all the way, looking forward to Eclipse.",1
26," Love it...great movie, want to see it again.",1
27, New Moon is better than Twilight as it is more faithful to the book and also has used CGI and action scenes nicely.It captures the gist of the book very effectively and is entertaining with a slight touch of humor.It also interprets the characters in a more detailed way than Tilight did.,1
29," 100% perfection. True to book. Strong acting. Great CGI. Great Soundtrack and song placement. Amazing visually. Brought on the tears and giggles with effortless ease. Flowed well. Was everything I waited a year for hoping it would be. Thank you Mr. Weitz, you made my visions come true and bettered them with much style and grace. This is the real thing next to Twilight. Makes Twilight look like a joke. New Moon is first class directing, acting, and a movie lovers kinda movie. I say see it in the theaters people!",1
30, I loved this movie! my friend found most of it at www.watchfreelinks.com check it out!,1
31," new moon is too much,. the actors are beautiful,. I liked a lot, how is it that a movie that has the tickets out and about to have that note?! this can only be Marxist thing these men do not admit that the movie is good, because it is your nature to be so stubborn, stupid and unbearable. I do not emporte with these criticisms, because I know there are many people out there who also liked the film, and he thinks too much, ah who did not like FUCK.",1
32," Not as bad as they want you to believe. Sure, some cheesy dialogue and over acting, but overall, a really good movie. Don't listen to the whiners, see it for yourself.",1
33," this movie was GREAT.. Chris really does know how to coordinate everything... the wolfs were just amaaaazing, and the score, by Alexandre Desplat, is so emotional and touching... a brilliant movie, 1000000 times better that TWI-shit.",1
34," I fell in love with this movie from the moment it began to the end; of course no movie is as good as the books. But there was action, fantasy, drama, and adventure!! If you haven",1
