,review,label
0,"Titanic is the movie which really made me respect James Cameron as a film maker. He had made excellent movies before such as Terminator 1 and 2, True Lies, and Aliens, but Titanic is really different. Here he offers excellent and believable characters, stunning visuals and a compelling story. This movie is truly a 10!",1
1,"James Cameron's 1997 movie epic garnered instant acclaim upon release, grossed over 1 billion dollars at the box office (Avatar would beat this record over a decade later) and was given the dubious honor of being the most expensive production of all time. The plot tells of a poor steerage passenger named Jack Dawson who forms a romantic relationship with first class passenger Rose DeWitt Bukater onboard the ""unsinkable"" RMS Titanic. The film focuses mainly on the relationship between the duo up until the point the great ship strikes an iceberg and sinks rapidly, transforming it into a typical big budget summer blockbuster that tries to be more than just popcorn entertainment. The acting is decent, with Leonardo DiCaprio and Kate Winslet giving dramatic performances that are fueled by the romance between the two. Billy Zane is also good as Cal Hockley, a wealthy tycoon who plans to marry Rose. Overall, the film is good but one major complaint must be addressed. I think that the film uses one of the greatest tragedies in history to its advantage just a bit too much. Of course, Cameron had been on dives to the real wreck of the actual ship himself during filming and was very much moved by it, but his feelings and emotions towards the events are not portrayed very well on film. As is typical with many Hollywood epics, a small proportion of the what happens during the sinking is historically inaccurate but apart from that it leaves an overwhelming sense of grief upon you. Actually, that grief may be the reason why the film has received so much backlash in recent years, because the first time you see it, men and women will get teary-eyed in the end, but after a number of times it just isn't the same and you wish you were seeing it for the first time instead. All in all, a masterpiece as a standalone disaster film but a tad disappointing as a historically accurate Titanic film. If you wish to see a factual version, the 1958 film A Night to Remember may be more your cup of tea.",1
2,Unbelievable movie. I think everybody should go back to when he first watched this movie and no judge after watching it several times . Great love story that cannot be repeated in any other movie!,1
3," I can't believe some people don't like this film. It is timeless, I have seen it at least 15 times and would gladly watch it another 30 (I probably will). One of the rare movies that can make me cry every time. However, it is not the ""I'll never let go"" part that sets me off...it's the old people cuddling in bed and the mother reading one last story to her children..because you know then that they have lost all hope. Truly beautiful.",1
4," to all you people who claim its bad, only because you dont like romance or that it wasn't actiony enough for you: dont comment on how good a movie it is if you cant stand apart from personal opinion. its a damn good movie and even if you don't like romance or epic 11 TIME OSCAR WINNERS -may i point out-you have to admit its amazing. i love it and will always love it.",1
5," This is by far the best movie ever made! he acting is amazing and the effects are perfect and the score is lifealtering. you will cry your heart out! the movie will change your life. after seeing it, i was numb and cried every time someone even mentioned titanic....... and i am a 14 year old boy! best movie ever!",1
6," This is the best movie ever. Those who say that it's horrible, are just people without feelings. If you are sentimental, you love love stories, you will definetily will love this movie. Kate ands Leonardo are just great. The whole movie is great. The best of all times.",1
7,"A friend asked me, Will the movie look exactly the same as 1997s version? . I spontaneously told him, Well, the ship will still be sinking. Ha ha",1
8,The 3D doesn't matter. I mean it's the best that your going to get from post conversion but it's nothing special. What's special is this masterpiece back on the big screen where it belongs. If I had the money to blow I could watch this 3 hour picture perfect film over and over again. The sound and the big screen are enough. If you haven't seen it in theaters watch it before it's gone!,1
9,I remember watching this movie on VHS when it first came out and my sisters and I watched it twice in the first day we owned. A must see romance movie and suprisingly rather good.,1
10,"Titanic: an epic masterpiece of cinema to say the least. Not to mention THE MOVIE people love to hate, because for whatever reason pretentious people can't stand the idea that the greatest film can also be the most popular. Titanic is my favorite movie of all time, and in my modest opinion the best movie ever made. The acting regardless of what people say is brilliant. Leo and Kate have excellent chemistry and were both perfect choices for their roles. Billy Zane plays a perfect high class villain. And, who could forget the tender and touching performance of the late Gloria Stuart. The movie is historically accurate to the last detail (up to that point) and if you disagree, you don't know the titanic yourself. James Cameron had the top titanic historians on set at all times, as well as early 20th century etiquette experts training 150 permanent extras on behavior and mannerisms. Not to mention the brilliant set pieces and cinematography! The full sized set of the ship was the icing, and not a dollar of his record breaking budget was misspent. From the eerie opening dive scene, to the sunny days at sea meeting the characters, to the captivating and dramatic sinking scene, and of course the famous ending kiss atop the grand staircase, titanic is an experience. An experience of love, greed, class separation, dreams, loss, and closure: things that the audience can still relate to 100 years after the origina of the film. You aren't human if you didn't shed a tear at this film, because like it or not it's hear wrenching. All in all, this film is beautiful. Despite what you may think, it won 11 Oscars for a reason, and is a must see for film for people of all ages (after all, it's been my favorite film since I was 3).",1
11,"Titanic is an epic movie!!! It's the best film ever made and Leo Dicaprio is always perfect. James Cameron is the best film director ever!!After 16 years, Titanic is still a masterpiece and an unforgettable film. I am sure that in the future, people will still admire Titanic. A HUGE well done to the cast and the crew!!!",1
12,"Titanic is easily James Cameron's best movie, and it earns this with flying colors. The movie is beautifully shot, frame-by-frame, paying careful attention to detail; Leo and Kate's performances are some of cinema's most memorable; and the musical score is mesmerizing. With some of the most memorable lines in cinematic history and true beauty, Titanic deserves its Best Picture Oscar entirely.",1
13,"Titanic is one of those movies that touches you, it is a great romance movie that possibly everyone had a love at first sight, it's has great scenes of action and some 18+ scenes as well. Overall a great movie that is also the 2nd best selling movie and with a witness telling her story",1
15,"Overall just amazing even today. Really isn't that many movies that captured me like this one. The older you get, the more I feel you enjoy it. Soundtrack, Characters, Story, etc. Worth it. Starts out a little slow but picks up later.",1
16,"Beautiful movie.... This movie is the greatest in Romantic genre. Perfect movie by James Cameroon. Perfect acting by  Leonardo DiCaprio, Kate Winslet",1
17,"This movie is simply beautiful. It was well written and had great actors in it and most of all it captures the audience watching it. It is long, however it's definitely worth every minute of it. I'm likely a little biased since my birthday is April 14, the same day that it crashed, but trying to be as little biased as possible I would have to recommend this movie to anybody looking for a good movie to watch. It's definitely a classic and will go down in history as a great movie.",1
