,review,label
1,"Transformers 3, action action ACTION, forget about the plot, Transformers 3 is the best action movie! Tons of special effects and sci-fi action that you feel guilty if you blink your eyes once!3D will be your main choice seriously, though I still think it's a bit expensive, Transformers 3 really show what 3D effects are capable of!I found some parts are not that logic, otherwise Transformers would have win OSCAR!",1
2,"You better start looking for the red carpet leading to the Oscars because Transformers is sure going to be at it's TECHNICAL end.  Michael Bay, with all his grace, delivers one of his finest peaces of contemporary cinema up to date. You wouldn't believe it without seeing it. Close to the end of the film, my friend sitting next to me turned at me and whispered: ""This is beyond Blockbuster madness"". And it made sens. What Bay and his team have achieved is beyond conventional summer movie making. The crafting here is so perfect and detailed  that it pushes and redefines the boundaries of film making. From the chilling sound design, to the godlike visual effects, and perfect attention to detail from Bay's part when choosing his shots.It's an honest work that re establishes what fun is all about when the lights dim down and the screen springs to life.Just... Have fun and don't pay attention to all those lifeless critics who's conceptual fun is merely based on egocentric shallow intellectual show off and pragmatic dismissing of Bay's work. Criticising his editing and shot compositions which are, to a large extent, unique, but welcome.",1
3,"This film frustrates the heck out of me. I had high expectations, I wanted to like it so much. But I cannot because there is too much of the film that is just BAD! Essentially everything that held the second film back holds this film back as well. Horrendous dialogue, useless characters, annoying characters, preposterous plot, lame attempts of humor...it was just not very entertaining. The action in this film is pretty AMAZING! I was so entertained by the second part. The effects, sounds, explosions, music was all perfect. Michael Bay is definitely a master of awesome action. But in-your-face nonstop action is not enough for a good film.",0
4,"It's loud, long, meaningless, pointless, it's lost in it's own story line. Transformers 3 feels thrown all over the place, and I was wondering throughout the whole movie: 'What is going on?'. I don't care about the effects, which are breathtaking (especially in 3D), cause it hadn't brought me any satisfaction. Where is the plot, people? Cause that's all that I care about. The script was terrible, made for kids. When the movie was over I've felt tired and mad at myself cause I was dragged into this mess. I have to admit that  It's a little better than the last one, but that doesn't mean it's good. It's dreadful. It's cheesy. Next time, (if there's going to be a next time) just give more money to the writers to develop a better script. This one falls flat.",0
5,Here is a summary of the entire movie: MICHAEL BAY! awwww yeeeeeah explosions! hot girls! robots transforming with annoying sound effects! MICHAEL BAY! explosions! blah blah dark of the moon! pillars! explosions! shia labeouf screaming! shia labeouf shedding a single tear! explosions! pointless dialogue that leads up to an explosion! cool cars! a freeway chase scene with EXPLOSIONS!  a super hot British girl! more cool cars! the most embarrassingly unfunny  dialogue i have ever heard! MICHAEL BAY! collapsing building! plot holes galore! robots! more unfunny dialogue! epic music! MICHAEL BAY'S SIGNATURE 360 DEGREE EPIC PANNING WIDE ANGLE CAMERA VIEW! explosions! shia labeouf! tyrese gibson saying something dumb! other people that dont matter at all! people jumping out of planes in slow motion! explosions! MICHAEL BAY! epic music! explosions! THE END!,0
6,"Truly strong as a movie. This movie stands high with its epic sets and most epic music. But would be better to bring some of the best autobots such as prowl and also ressurect jazz. And also, MORE ACTION! 9.6/10",1
7,"The Worst Film of 2011, just behind of ""Abduction"" and ""The Human Centipide II (Full Sequence)"", is visually ugly, and worst and worst and worst! I wait that Transformers IV never exist.",0
8,"Worst film I've ever seen.  The first movie I can recall that I haven't been able to finish.  It truly is that bad, no characterization, plot, emotion.  Truly a mess.",0
10,"It may be better than Transformers 2, but Dark of the Moon is still a sloppy loud train wreck.  You would think replacing Megan Fox would help improve the acting, but it may have gotten worse.",0
11,"A lot of people say that ""Dark of the Moon"" is better than ""Revenge of the Fallen"", which isn't saying much, but I think it's actually worse than the previous film. The film is long, bloated, obnoxious, annoying and damn right bland. Shia LaBeouf returns as the main ""hero"" Sam Witwicky, and this time he has a new girlfriend, Carly, who is played by British model, Rosie Hungington Whitley...that's right, Model, not actress. This just goes to show that director Michael Bay only cares for young, attractive women who have to look good instead of act good. The problem is that these two actors have no chemistry whatsoever. A girl who seems unrealistically calm like Carly, what is she doing sticking around with someone who is loud and not-so-courageous like Sam? I'll tell you why...because the screenplay says so. There are some really tasteless and unfunny moments that involve Ken Jeong, such as the scene where he takes Shia LaBeouf's character to a workplace bathroom and constantly says ""Deep Wang"" numerous times. Does Michael Bay honestly think this is funny? This is supposed to be an action film not a comedy film, then again, if it was a comedy film, it isn't very funny. Humor in action films are supposed to be subtle and occur when the film gets a little too serious, but I honestly cannot remember a single actor taking any of these events seriously. 'Transformers: Dark of the Moon' is worse than ""Revenge of the Fallen"", after watching the film for about an hour and a half, I was already done, but clearly Michael Bay hadn't finished yet and he had to rinse the film for another hour too long.",0
