,review,label
0," Just read the comments of those who gave it a 10. ""The girls were hot."" ""Robots blew stuff up."" ""There were lots of awesome swear words."" ""The mom ate pot brownies."" ""The chihuahua was humping a bigger dog (twice)."" If those things sound like something you would be interested in, keep in mind, those were the HIGH points of the movien, then by all means, go for it. I actually liked the first one and the action was actually quite good, but 0 to counteract all those artifical 10s.",0
1, Somehow much worse then the first one. Somehow.,0
2,"Why is it that all these 2 1/2 hour long Michael Bay films feel like they're 4 or 5 hours long? It never ends with the and badly edited action scenes full of clunky-CGI , and the terrible humor, the incomprehensible plot, and the shallow characters both human and robot that I could never care much about. It goes on and on and on, and was overstaying it's welcome for me at about the hour mark. There are few amusing moments, some sparks of a decent special effects scene, but for the most part it's just a bunch mindless dribble that serves no purpose I can think of, not even on the basic level of entertainment for anyone above the age of 14 or so.",0
3,"Frankly, how bad could it be? Critics rip it to shreds, calling dumb, loud, and stupid, but it's a movie about giant robots smashing each other, so what did you expect? I expect Michael Bay to acknowledge that humans traditionally have brains. That's the problem with Transformers 2. You can complain all you want about the racist robots, the lame dialogue, the annoying human characters, and overstuffed action sequences, but it all comes down to one central problem. Yes, we all expected Transformers 2 to be loud, dumb, and stupid. The problem is that it is simply TOO loud, dumb, and stupid. It is loud, dumb, and stupid to the degree that it actually feels insulting as you watch it. The anger that possessed me during Transformers 2 was almost too much to bear. The idea that Michael Bay actually thinks we as a human race will tolerate something this stupid.",0
4,"This is an embarrassing script for all Transformer fans.  The film looks good with its big budget, but by the end of this film you just don't care about anything.",0
5,"If you can easily check your brain at the door (after counting out the price of the ticket, of course) then Transformers: Revenge Of The Fallen is for you.Loads of special effects, some juvenile ""humor"" and not much else will undoubtedly entertain, unless you tend to want more than a series of explosions with no reason behind them.",0
6," Awful. There is simply nothing to redeem this film. Where do I begin to describe how thoroughly unpleasant an experience it was to watch this movie! From the very beginning one of the biggest problems is Bays inability to keep the camera static for even a second. The worst example of this is in a scene early on in the movie in which Sam and Mikaela are stood talking to each other in a romantic embrace, this had potential to be a romantic and engaging moment in an otherwise emotionally barren film, however Bay has the camera doing 360 degree whirls all over the place, completely ruining the moment. This is also true for the fights between the robots, when metal meets metal it",0
7, This movie was so bad that it made me enjoy the first one. I thought the first one was a bad movie. But now I can aprreciate the original for this turd of a movie.,0
8," Final Review of Transformers. Overlong, under-plotted, no character development, and the fight scenes were shot badly. Predictable, not even a little bit fun. Only humor was racial stereotyped robots. That got old fast. And more plot holes than i could count. HUGE DISAPPOINTMENT. I loved the first one but this was one movie I considered walking out of.",0
9," Typical Michael Bay tripe. Went because my son wanted to see it on IMAX. Sorry I spent any money on it. No thought required, just excessive overly crafted CGI battle after battle. Loud, obnoxious, pointless. The acting was extremely poor, the story almost impossible to ascertain, the jokes were very tasteless and near racially offensive. As someone who grew up with Transformers during my youth, all I can say is Bay's interpretation of the franchise is a complete travesty. Is this the future of ""blockbusters""? Films where you pay $10 to shut off your brain at the door and go ""oo, pretty lights"" for two and a half hours? If so, count me out.",0
10, We paid for a movie but,0
11," I love robots blowing each other up. And Meagan Fox is a huge plus, but this movie is terrible. It really could not have been any worse. The beginning for slightly interesting, then the whole thing after about 45 minutes goes down hill. The last hour is mind numbingly boring.",0
12," Worst movie of the summer. If you are expecting 150 minutes of special effects with no story or characters then you will not be disappointed. Not suitable for young kids as there is animal copulation, foul language and offensive racial stereotypes. For shame Mr Speilberg, you have lost the plot big time.",0
13," There are some movies that get better after you watch it a 2nd time. Maybe you missed a crucial bit of info or didn't understand some scenes. Transformers 2 is not one of those movies. Because I have a child who missed our first sitting, I've been forced back in to see it again, and frankly, I feel like I've been robbed twice!!!",0
14," All these 9-10 score reviews are probably the same 2 fanboy-losers in their moms basement (hey man! let's go online and keep posting how awesome this movie is!). Just go up the page a bit and look at the reviews. Read any review not written by a 17-year old boy whose testicles just dropped last week, and it is negative because this movie is just terrible. Just awful. If you like this movie, do the world a favor and hide somewhere please. And never speak.",0
15," Quite possibly the worst movie I've seen in years. Racism and ingnorance about drugs aside, the cinematography and writing were terrible. And I actually enjoyed the first one.",0
16, If there was a -10 rating I would give that to this movie. Fiasco of the century.,0
17," Hey film studios lets take a ridiculously crappy actor... Say Shia LaBeuyfe That played in the worst channel that was ever on television... Say Disney. With the most ridiculous roles.... Say He plays a retard in a Disney channel movie and a poor comedy show as well... Wait its coming to me. And put him in everyone's action nostalgia movie. In which he just waters down all the good qualities that this movie can have... Say Transformers. Also, lets make the movie without an interesting/engaging story, so that his role is, in fact, meaningless. Sounds like it will be a hit.",0
18," When my NINE year old nephew looked up at me and said ""This movie is very baaaaad. When will it end?"" You know this is a horrible movie.",0
19,"This movie sucks optimus prime's balls, and the storyline is crap. Who would in their right mind watch a long ass movie that only thing that made this movie alot of money is Megan Fox and great graphics.",0
20,"Revenge of the Fallen is beyond stupid with some of the dumbest characters ever put on screen. Acting was pitiful. Story complete garbage, if there was even one, coupled with racism everywhere in the film. Nothing could be worst for Michael bay who has just added another terrible movie to his resume.",0
21,"Another witless attempt at moviemaking from the always terrible Michael Bay. The first Transformers wasn't even that bad, at least not until the end, but this plotless recreation is a complete disaster. It could be the worst movie of the past twenty years.",0
22, This movie is as dumb as paint.,0
23," This movie looks good, but that's the only achievement it gets. Everything else about it plainly sucks and it is hard to recommend this movie to anyone, even elder kids.",0
24," The first was OK, the second put me to sleep. (literally, my lady friend said I was snoring :P )",0
25," Plenty of action for a summer movie, the two hour plus movie promises to fill your time with plenty of random explosions and mindless acting. My biggest problem with the movie is the overplayed humping jokes, references to the male genitiles, and language. I would not take a kid under 13 to this movie however plenty of parents brought their 5 and 6 year olds. It disturbing to hear a 4 year old kid laugh at robots calling each other and humans b**ch, using the word p*ssy, and s*it. If you don't care about what morales you kids learn from movies then this is for you. I'm sad because I don't remember the first one being so bad.",0
26," Over two hours of non-stop mayhem, but in a bad way. Michael Bay clearly does not care one bit about story, character or good humour. His only concern is for shiny metal and skin, big bangs and SFX budgets through the roof. The man is a menace to modern cinema. Probably the most mind numbingly dumb film I have seen since Batman & Robin.",0
27," Too long and boring. Megan Fox is nice to look at, but that was about it. Trust the reviews and don't waste your money.",0
28,"It's a bad movie. A huge Dissapoint film. First of all the VFX dazzles your mind and gives you headaches and migraines! If James Cameron and Uwe Boll made a stink pile it would be still better. No point, no story and no meaning! Tis film is one of the VFX crap Hollywood produces and Micheal Bay, oh my goodness! This great director is going for some s*** in movie history! I am fed up of stupid sequels! Give us new stuff man! It stands no choice against the batted good film Transformers and its worse than Dark of the Moon,",0
33,"This is, without exaggeration, the absolute worst movie I have seen in the last ten years. Not only because it's a million kinds of awful, but because of what it represents. Transformers: Revenge of the Fallen symbolizes not just everything condescending, cynical, and soulless in Hollywood, it stands as a testament to sub-crustal standards and the triumph of a strong marketing campaign over effort, talent and vision. Batman and Robin has been dethroned.",0
