,review,label
0,"Transformers: The Last Knight is 2X MESSIER than Age of Extinction. Every time when Michael Bay directs a Transformers movie, he always add explosions and useless potty humor to make his movie entertaining for his sake. Jesus Christ.. where do I have to start this? Okay, first of all, the visuals and use of CGI were outstanding but at the same time, everything in this movie is ridiculous. Everything from lousy directing, choppy editing, rushed pacing, annoying characters, and the screenplay of this garbage film is cheesier than a Nickelodeon TV movie. Second, HE ADDS WAY MORE EXPLOSIONS!!!! Michael Bay always have a strange fetish using explosions everytime he adds them in every movie he makes. In almost every scene he makes that involve explosions, it does not do anything to make his movies better. Matter of fact, he's making it worser than previous Transformers movies. Lastly, WHY DID HE MAKE THIS MOVIE??!! Bay's motivations is aiming for money and that's pretty much it! The only positive that I can give to Bay is his departure from directing future Transformers movies and that's it. Hey Bay, I can assure you that you will sweep the RAZZIE awards in no time because this movie is a waste of time!",0
1,"It is a superhero movie and if you expect a very different exciting story then you are expecting wrong. All superhero movies have the same basic concept, but the characterization of the concept of transformers and such marvelous acting, direction, action and cinematic visually appealing excellence is something i can enjoy any day. It is one of the most appealing movies and there being so many negative reviews about this movie is unimaginable. I don't know whats wrong with the critics and movie goers. Its only that i guess their expectations from a movie are wrong and hence they are disappointed",1
2,"At least the action, CGI, the Steve Jablosnky's Score are pretty good, but the rest are... forgettable, the plot is confusing, the comedy is akward, but the good thing is that Michael Bay is Not going to direct the next movie. At least is not the worst Transformers movie.. cof cof.. Revenge of the Fallen.",1
3,"""Transformers: The Last Knight"" is a truly wonderful experience with visual effects and a storyline like no other, the bad-ass series continues to reign with Michael Bay's wonderful direction. This is clearly the best Transformers film ever.",1
4,"It's just too messy to enjoy. There's no cohesive story, and the scenes just crash into each other without rhythm or flow. The best way to describe the experience is like watching TV commercials for 2.5 hours.",0
5,"Transformers: The Last Knight is hilarious. Not because it's funny, but because it's ridiculous to the point of eliciting laughter. I was honestly shocked at just how stupid this film managed to be sometimes. After Age of Extinction, I thought there was no way these movies could possibly get worse. Unfortunately, I was wrong.The same basic plot we've seen four times before makes a return, but this time, by hugely convoluted means, the film forgoes all logic and upends the franchise's continuity, clearly for the sole purpose of setting up future spinoffs. Sadly, the action isn't even good enough to make up for any of that.This movie was also shot with like seven different cameras, so the aspect ratio is always shifting. It's incredibly annoying. All of the charm this concept once had is gone, and the only hope of getting any of it back is to completely reboot the series, or to prevent Michael Bay from having any creative input moving forward.",0
6,"A visually stunning, turd of a film.  I enjoyed the first 30 minutes of this film minus some dialogue, then came the rest.  This is a giant mess like the last three, there is so much going on that your head will spin and you just care about anything or anyone.  The dialogue is some of the worst in any Transformers movie with good old Bay throwing in useless scene after useless scene.  Mark Wahlberg is fine, Laura Haddock was an upgrade, Isabela Moner was okay but pointless, Josh Duhamel and John Turturro were there because they were in some of the other one but overall wasted, and Anthony Hopkins was out of his mind.  Overall Bay does it again, a beautiful looking movie with no substance and awful dialogue.  D-",0
7,"While I can say that the Last Knight is a better film than Age of Extinction, with slightly improved CGI and a shorter run time, this film is still a heaping pile of garbage (to put it kindly). The film's writing, story, characters (robot and especially human), and final act/battle are absolutely awful. Even worse, scenes and characters seem ripped out from other films (a chase sequence seems ripped straight from F&F, the little squeaks character is a complete BB-8 type, etc). The action sequences that are there though are so boring and wane in comparison to some of the other films. I pray that viewers don't see this film and give paramount incentive to make more of these embarrassments to blockbuster films and film in general.",0
8,"I went in with low expectations based on the previous films but my childhood love of the cartoon made me want to like it.  The CG was great, they finally slowed down the fight scenes and added more vehicles besides sports cars.  I don't know who the target audience was. The swearing and violence was not for little kids but the humor and dialogue seemed like it was written by a 10 year old.  It had a lot of great (voice) actors saying really bad lines. Hearing Jim Carter (Mr Carson) quoting Ludacris was a disgrace.",0
9,"All the eye candy and fluff in the world couldn't make this film any better. I'm sorry, but I truly tried to keep an open mind. Sadly, I could hardly keep an open eye from boredom. An incoherent plot, pre-school dialogue, irrational characterizations; need I say more. Horrible!",0
10,"This movie is actually worse than I originally anticipated and I wasn't expecting much. The editing is all over the place, the acting is average at best, the comedy is botched and very unfunny, even cringe worthy at times, the action scenes aren't even that well made and the movie had a lot of plot holes. At least the special effects were really good. If you're into CGI action movies that don't make sense with lots of unnecessary slow motion scenes and ineffective drama , this movie is for you. If not, you're better off watching something else.",0
11,"F@CK THIS FILM!! F@CK MICHAEL BAY!!! IT'S FILM IS NOT BAD! HIS F#CKING HORIBLE!!! THIS FILM DESTROY MY 4 DOLLARS!!! 4 F@CKING DOLLARS!! F@CK YOU, MICHAEL BAY!!!",0
12,"Much more entertaining than I initially thought it would be. Yes, it's still a Michael Bay movie. Expect explosions, nonsensical storytelling, and takes on the Autobots and Decepticons that are so bland the characters almost completely indistinguishable from one another provided their names aren't Bumblebee and Optimus Prime. However a much needed change in tone from the last movie and the infamous director not taking things seriously in any way make for a more enjoyable movie than one might expect. Just don't come for the plot or anything other than the action and some cheap laughs.There's a surprisingly large cast of familiar faces involved in this ridiculous new take on Transformers lore. Among them is Anthony Hopkins for some reason. Michael Bay clearly enjoyed having the respect actor around to use, and Hopkins himself seemed to be having a blast despite that starring in a movie like this is him just slumming it at this point in his career. While he still ain't no Labeouf, Mark Wahlberg's character is so much more likable this time around. Something that's due to the plot not giving him any extra baggage hanging around in the form of his character's obnoxious daughter and her useless, statutory rapist boyfriend (no, it's cool. There's this one law...). They, along with the material, aren't here to choke out the actor's natural charm. The material is so much lighter than that of the previous film ""Age of Extinction."" Bay goes for a lot of different kinds of gags and ends up filling the movie with almost wall-to-wall humor. A move that is much appreciated. The plot itself is crazy. It regularly jumps back and forth from different locations and even time periods in an effort to come off as complex. Instead it just feels convoluted. It's easy to lose track of certain characters as they get left behind for large parts of the film only to pop up later. I actually forgot about Cade Yeagers new human cohorts there for a while. Naturally, this isn't the kind of movie you watch for good writing. Michael Bay is known for making movies for teenage boys. Here he really embraces that.The Last Knight is much lighter and surprisingly more diverse than the other Transformers films. You even get some pretty cool action scenes that aren't just explosion fests that rely more on the physicality of the actors. Of course there's also some gorgeous sci-fi scenery. Those underwater scenes are astounding. Ultimately, this is still pretty brainless entertainment. As far as the writing goes, it's the most incoherent Transformers yet. However, by embracing the absurdity and silliness, and just going for jokes and spectacle, Bay crafted what might just be the best Transformers movie yet. For whatever that is worth to you.",1
13,"i loved it, the best one, great story and action set pieces, definitely the best one, i cant describe how amazing this film is, if you have seen the prevoius ones you will have no problem on getting this one, its just amazing, just see it in imax 3D",1
14,"Simply the worst movie I've ever seen. Michael Bay manages somehow NOT to make the giant transforming robots the center of the movie! What the hell, nothing is really the center of this movie. NOT EVEN OPTIMUS PRIME. Instead, an ensemble of ridiculous and mono-dimensional human characters are confusingly shown during the story. One of the main characters is a 14-years girl awkwardly portrayed as some kind of sexy, post apocalyptic fighter (wtf is wrong with you man?!). Incoherent, frenetic and chaotic storyline that tries to blend together the following themes: giant alien transforming robot, King Arthur and the knights of the round table, dragons, demons, Merlin, a robot god/sorceress, comedy moments, a planet eating other planets, USA marine forces, secret English society....and Anthony Hopkins.Please, Michael Bay, please stop raping my childhood...I'll give you my lunch money...",0
15,"Well, i loved it, i'm not watching for meaningful experience, but for cool robots kicking and punching other cool robots, its not a intellectual movie by any means and it will never be, but it is one of my favorite franchises EVER",1
16,"This was a GOOD movie! I really liked the start, the story, Anthony Hopkins, and the new characters introduced who brought some spice and laughs.What I didn't really like was the ending, how they mixed everything up becoming a thunderstorm hard to watch and understand, but I don't agree with A LOT of the critics who rate it so poorly.While it's not a 10, I would put this in the worth watching category for this year, definitely doesn't deserve the bad ratings. Anthony Hopkins doesn't deserve being rated so poorly..",1
17,Deutsche Review - Kritik Der folgende Test ist in 5 Kategorien zusammengefasst. Diese 5 Kartegorien ergeben die Gesamtpunktzahl von 0 - 100 Punkten. Um einen passenden Userscore zu geben wird auf oder abgerundet. Bei 84 Punkten ergibt das einen User Score von 8. Bei 86 einen von Userscore von 9. Falls eine 85 kommt entscheide ich ob ich es eher positiv oder negativ nehme. Regeln verstanden? Dann sind hier meine Punkte. Mein persönlicher Score = 72/100 Mein User Score = 7/10,1
18,Transformers: The Last Knight is just another pain-to-the-eyes excuse of marketing our beloved Transformers at least near two hours of Michael Bay trying so hard to entertain us all without using already-clichéd ideas from the simpleton past.,0
19,"Horrivel, como de costume, péssimo roteiro, péssima direção e olhe que nem assisti mas ja to deixando aqui o veredito porque ja sei que vou odiar esse lixo tóxico que se tornou desde o terceiro filme",0
20,"I just watched this movie last night and I cannot, for life of me, remember what exactly was going on or what the main story is. Too many side characters with too many subplots. And the jokes coming out of these children are as terrible as their acting skills.",0
21,"An absolute incoherent, dismal lazy mess with atrocious directing, a bumbling script, uninspired acting, poorly shot, not even blocked or thought out action scenes, insulting dialogue...a typical Micheal Bay movie. Terrible. Just out right bad. You will leave the theater with less braincells than when you came in with, and 2+ hours of your life you will never, ever get back. At best, this movie is total schlock.",0
22,"I didn't think it was possible for Bay to make a Transformers movie worse than the second one. This is a huge, sloppy pile of metallic fecal matter. If this is the kind of brainless movie Americans want to see, it's no wonder they voted Trump into office. In fact, this film does a good job of summing up Trump's America.",0
23,"EDIT(after seeing people writing about this): I will never understand the sentiment of not needing good characters or a good plot. Without those how am I supposed to feel anything about whats happening in a movie? Even basic archetypes can work if well executed(like ID4 and star wars). A good, compeling plot and a good character you can care about are not necessarily oscar worthy masterpieces as long as passion and love for the project is involved. These can tie a movie together. Bay does not seem to care about these at all. Just make the next one and be done with it. Just throw in racist and sexist jokes, some pretentious attempt at diversity(im neither SJW or a feminist), and american army and thats it. All done by the numbers. The movies are not even about transformers! The girl you see in the trailer rivals the boy on the phantom menace. Its there by chance and does nothing. The movie is full of unfunny, juvenile jokes, like that one friend you have that just keeps making fun about anything and saying unfunny jokes. TF5 is just a compilation of CGI demo reels, shameless product placement, and america military pornography. And people keep paying for it!",0
24,"Wow.... I've watched every single Transformers movie and this is by far the WORST one in the series. I brought my friends to watch it and one of them fell asleep for half the movie while the other ones are just so bored of it.Nothing makes sense for these movies and this is going to a real insane lvl and it really defies logic. It's so hard to even find something good to say about this movie; even when the action scenes seem really cool and in a big scale, I didn't feel the immersion for it like in other movies...The decepticons get nerfed so hard in this movie especially Megatron and the main villian Quintessa doesn't even pose a threat; she led to her to own demise by even holding cybertron at that very spot!The main highlight for this movie was ofc the fight between bumblebee and Optimus; I think that was the only part I was engaged and thought it was alrightIn the end Transformers the Last Knight is horrible... Like really really bad. 1/10 is for the effort they put in but in reality this is really a 0I can't even call this a movie.... Someone pls save the Transformers Franchise xDAnd DO NOT CONTINUE where that post credit scene left off; I rather a see a entire new reboot to the franchise and giving the movie to good hands instead of Michael Bay",0
25,"If I had to describe the movie in one word it will be ""cliche"". The whole plot is a cliche. The movie was so long and boring, I could've spent those 3 hours much better than this.",0
