,review,label
1,"One of the dullest movies I've ever seen in my life. If only I could take those 122 minutes back. Here are reasons why this movie sucked. 1. First off, the characters are lifeless. 2. The characters sound like they are reading off paper3. Practically remain blank faced throughout most of the movie4. No chemistry between the two main characters5. Is everybody wearing makeup?If you are a Twilight fan, then I feel sorry for you. Please get some help.",0
2,"One of the more foolish movies I've ever seen. It has a poor plot, poor music, poor screenplay and the worst, it ruined the vampire's stories. This movie is really awful. Enjoyable just for teenagers in love. In a way is stupid.",0
3,"Twilight is an extremely pathetic movie. A movie so riped of phoniest it is almost laughable. Not only is it dull, pretentious and boring, it has some very wooden acting and poor dialogue.",0
4," I'm not kidding, its like the worstest movie of the year by far. It is so pale, dull and boring. Nothing exciting ever happens. It is emotionless, and you just can't wait for it to end. And the visual effects, they were awful! But most of all, why would you make a movie adapted from the lamest hit chick flick novel out there. And the story: Booooo.",0
5,"Nothing more than a confused womans wet dream, with legions of idiotic, pubescant 16 year old fan girls streaming in her wake. The poor story is further degraded by immensely wooden acting and dull script writing. A real fangs-bared yawn accompanied by repulsion at the overall story.",0
6,This whole movie is a a 14 year old girls wet dream with terrible acting! I really don't now what else to say other than this movie destroyed Vampires for me as now if I hear the word Vampire I will think of this terrible piece of crap.,0
7," I am a big fan of the book (and hot vampires) but OMG this movie was awful!! The negative reviews I read beforehand weren't nearly harsh enought to prepare me! The opening scene of one of the Vamps hunting a deer showed promise, but the first 20 minutes of ""dialogue"" (was there actually a script or were they just winging it?) forced me out of the theater somewhere around the ""I'll have a garden burger"" moment. I'm not sure if it was really the acting (hello B-list) or the director trying to jam in insignificant book details rather than taking time to build suspence and character depth. Edward's tempted and tortured moment in biology class just looked like a five-year-old that had to pee?! I had to re-watch Harry Potter to remind myself that he really is a decent actor. I vote 2 - in the event that it got better sometime after I gave up.",0
8,"The acting is terrible, the movie's stupid and for me the movie is just targeted for tweens. I'm also tired of this vampire sh**. Kristin Stewart barely has any emotions and she was way better in Adventureland. Every vampire aren't really vampire's! What I mean is that the vampires aren't sucking any blood, they sparkle in the sun and I'm glad there's a movie parodying this crap.",0
9,"Should be called ""The Stalker's Guide to Getting Chicks."" I only gave it a 1 and not a 0 because i laughed during a couple of scenes.  The characters were really stupid and I couldn't believe anything that the actors said. My friends and I watched, wondering what all the popularity  was about. All 9 of us are still wondering.",0
10,Worst dramatic/romantic movie I ever seen in my life. Kristen Stewart can't act for **** and everyone who tries to act is stupid and the concept of vampires being in daylight is dumb. Vampires are supposed to kill people not fall in love with them.,0
11,"This is a very horrendous move. A pretty predicatble plot, and bad acting and a stupid story (do we need more vampire romances in the world?) I just want to punch the direct in the face.",0
12,"The fact that this film was even thought of by Paramount is a mystery to me. The film for me is so offtrack and boring that I can't understand why they accepted another 3 movies. A film about vampires will never be successful, but when they throw romance along side this rubbish and a hint of comedy, it's just a disaster and a waste of money. I feel sorry for the actors whose careers have been ruined by this utter drivel. Dreadful 0/10",0
13,"My wife has made me sit through all of these films. I feel cheated that i will never get those hours of my life back. Don't worry though, I made her sit through the alien films followed by Die Hard 1&2&3&4. that'll teach her!!!",0
14,"This film doesn't even deserve a 1. If you want to see a vampire film, look out for Underworld or Bram Stokers Dracula. Not these teen romances which have stolen everything from every other vampire film or book and made it 'teen friendly' by removing blood. Hello, that's why teens live!",0
15,"It had a few decent moments in it, but overall this movie just bored the hell out of me. The romance wasn't moving at all, that best fight scene mtv awarded battle with edward and that one wolf was 2 minutes of basically epic shoving. why the hell do so many people like this movie? Its like over 2 hours long and it just drags on.......blah blah oh hes a vampire.....blah blah blah of i'm suddenly magically in love with you edward..... i gave it an honest chance, and it made a chuckle here and there, thought it was kinda creative at times but overall im just watching this like, wait a minute? why the **** is this vampire glowing in the sun? Plus Bella should've been hotter. seriously they get a mega pretty boy i guess for the vampire because girls wont shut up about him, but for bella we got an actress whose a 8 of 10 at best. lol.",0
17,"This movie was a total borefest. I had no preconceptions about it since back then I not only hadn't read the books, but hadn't even heard about Twilight. All I knew was that it was ""a movie about vampires"". I watched it with my brother and we both agreed that it sucked. Uninspired acting, terrible dialogues, boring story. It failed to evoke any emotions from me.",0
18,"I gave this movie a chance. I really did. But it just takes my intelligence, crushes it and stuff a cartload of dung into my brain. It felt like a mixture of cinematic rape, utter boredom and cringeworthy acting/sequences that make this the worst movie I've seen in a very long time. Twilight feels like a B-grade, made for TV movie, only that they managed to get a decent camera for the job. About the only half-decent component is the cinematography. Its definitely well shot. As for the main juice of the movie...you'd be wondering why on earth anyone would make this movie apart from milking the cash out of Tweens and their poor boyfriends. Apart from some supporting characters who have passable acting, the main characters lack the skill and aptitude to produce even an a line of dialogue that wont leave you cringing or in some cases, wishing you were dead so the torture would end. Tweens would defend this pile of excrement to their deaths and I say, feel free. The world can judge. And thankfully, most people who have a conscience would stray clear of this horror. Yes, tweens, there are a lot of females out there who hate/aren't give a fck about Twilight than there are those who would. Get that fact right. I am not even going do a review for the other sequels as I WRITE THIS AS A WARNING TO ALL: This is almost as bad as Batman & Robin and is universally claimed by critics who were not bribed by the producers as the worst movie franchise of the 21st century, if not in all of movie history. I literally felt my IQ drop by spades during the movie. Please, save yourself and avoid this. I saw this out of pure curiosity. Dont even try to do what I did. Its not worth it.",0
20," This movie was almost painful to watch. I passion, what passion, and the characters were DULL DULL DULL. There was no chemistry only angst or depression. The only thing decent was the soundtrack that is why I gave it at 1 at least. So disappointing.",0
21, This movie was so boring. I hated it and the acting and the directing was lame. Bella asked the same damn question every three seconds. How did you save me? I will give this film a negative review.,0
22," the movie quite frankly sucked! i wa expecting more... i mean the books r fantastic and then this movie flopped. But some how it is still making millions (which i do not understand) Too many scenes were changed and added. it went to slow and all they did was stare at each other.. no flirting or ""i love you"" moments like in the books. It sucked.",0
