,review,label
0,Remember The 5th Of NovemberThis Film Pretty Much Is A Masterpiece From Beginning To End.,1
1,"V for Vendetta I would describe as 'The best F*** the government' film. It was not another fantasy-super hero movie with super predictable storyline - saving everybody, while a great love flares and of course - happy ending. Decent movie.",1
2," One of the best films ive seen in a ong time, the Guy Fawkes mask surprisingly never gets old throughout the movie, V's character is original even though he echoes many characters throughout history, very fun to imagine and not hard to believe, gets a 10 without a doubt.",1
3, Awesome!!!,1
4, this is a great movie to see.,1
5, This is by far the most down to the point movie I have watched.,1
6, This was a readlly good movie! i recommend it to everyone!,1
7," Acting, plot, and story are excellent. Ending tops it off perfectly. Couldn't have asked for more...",1
8," You people are crazy. Whether some people believe it or not, movies affect and move people. When I get done watching what I believe to be a great movie, I get a great feeling after watching it. And that's what I felt after this one. One of the best stories I've seen out of Hollywood so far. LOVE IT!",1
9, The language that V employs in the movie alone makes it worth the watch. It is definently one of the best movies I have seen made in a long while.,1
10," I love it. I love all of you. I wonder what is it people go for in movies anymore. We complain about acting, about facts, about realism. Then we complain this or that is not true, or this and that is ripped off that guy's book. HEY. Let me remind you something real quick, boys. A movie isn't reality. V for Vendetta is an attempt at reproducing a book's story into visual interest. Had they actually made the entire book into a movie, you'd not have two hours on your hands, but perhaps SIX full hours. [***SPOILERS***] Many of the events were crossed out to squeeze the movie into something as short as possible, while remaining entertaining. What REALLY MATTERED about this movie's success, was that it STAYED loyal to its origins. Not that it entered the norms of literacy and whatever other crap some of you may complain about. In terms of cinematography, this movie blends in together theatrical pleasure and drama perfectly well. You might as well feel that most scenes are shot much like a Shakespearian play. (I'm gonna get flamed for this one in the future) You may be called simplistic by some pseudo-intellectual people for liking this movie. But what counts is not the quantity of references you may attach to it. It's the quality of them. The movie stayed true to the book in many facts, aside that it replaced the past of the book with today. Instead of the Cold War ending with general nuclear warfare, it was America's war on Iraq which spread out too much for its own good. It's not very likely to happen, but the movie reflects ""what ifs"". Other people may even complain about not understanding a thing that is said. Those people just are looking for a typical action movie, where nearly no acting is given and more gunning and killing occurs. V justified every fighting sequence, and made them count into the storyline. Now, remember dear children of cinematography: You're not looking for pure masterpieces when watching a movie. You're looking for entertainment and something of VISUAL and AUDITIVE quality. You may discuss politics when watching the news, otherwise you are just messing with the useless.",1
11,"V for Vendetta feels like a personal vendetta against today's government but one can not help admire its deeply thought characters, great visuals and intriguing storyline & premise.",1
12," Excellent Movie, Best message and a peak of what may be a visible future for America. Watch it twice.",1
13,"Now, ""V for Vendetta"" here is a great example of how graphic novel-based books should be when made into a movie. The story is deeply involved into the movie as well as the characters and their significance. Natalie Portman especially does a exceptional, outstanding performance as V's girlfriend (?). Must watch!!!",1
14,"This blast of subversive pop cinema is a thrill ride from beginning to end, and probably stands as the best film adaptation of all Alan Moore's work. However, the production is both propelled and impaired by the Wachowski Brothers' influence - the stylized violence is bound to be campy in a few years' time and the dramatic storyline is carried too much by actors with the same serious deadpan British accent (hearing just audio, I doubt I'd be able to differentiate the voices.) Still, in the end, the movie gives us exactly what we want - controversy, an awesome antihero, and a huge, giant explosion.",1
15,"Superb acting, really awesome lines, great action, and an effective political message. what more can you ask for?? This was really well done and there were scenes when i was like ""yes!""",1
16,"I thought this film was fantastic.I think that the way Hugo Weaving portrayed V without ever showing his face was a great testament to his ability as actor and Natalie Portman was great as well.The tone and setting is great as well and as a fan of dystopian film and literature, this film hooked me straight away.",1
17,"An all-around dreadful film. Terrible dialogue, subpar acting, wrapped in a story filled with absurd, juvenile politics with obvious and obligatory nods to the present-day ""War on Terror"" for easily amused critics to fawn over. Provoked no emotional or visceral reaction from me, other than laughter at its banality, and when it ended, astonishment at how such garbage could be so widely praised. If you're out of high school, and like good films, pass on this.",0
18," A waste of time. Tries too many directions at once: arthouse, action entertainment, and moral message. Without any clear direction it failed to make sense or even entertain. I can give up the money for a rental, but I felt robbed of my time.",0
19," V for Very Very Bad Film - As a fan of the comic, my opinion might be considered biased, but the FIVE people I took with me to the cinema had never heard of Alan Moore or V for Vendetta and we all roundly thought that this film was utterly rubbish. Don't be fooled by the trailer, there isn't enough action to provide half-decent entertainment. Instead the Wachowski Boys are trying their damnedest to be intelligent and they just make everybody sound stupid. There is a fine line between poking fun at the British and being completely patronizing. Maybe that can explain the good reviews of this film over on that side of the Atlantic, but I can't explain the good reviews of it that we've had over here. There is nothing to recommend this film apart from a mildly amusing Benny Hill type sketch in the middle. Utterly cringeworthy. I was embarrassed that I had recommended going to see it.",0
20," This has to be one of the best movies I""ve seen this year [so far]. It's great when an action movie, well, doesn't use action to move the story. Hugo Weaving once again amazes me at his ability to act any part, and he made V a very likeable character. Natalie Portman was pretty good, I guess. But as I mentioned earlier about an action movie that doesn't use action to move the plot, V for Vendetta ending action was executed perfectly. It also showed that V isn't perfect. I always love when a movie gives me the shivers. And that makes a great movie.",1
21," Very dissapointed, most of the Anti-Bush down with America crowd will resonate with it and give it high marks, I personally thought it was rubbish, I was nodding off. One or two CGI scenes that were done well, the rest was just pretty poor. Too bad, I was hoping it would be much better.",0
22," I thought the movie was a little bland. It had an interesting story and some cool ideas, but I thought the execution was off. Still worth seeing though.",1
23,"Blimey, there's some scathing comments there. I really enjoyed this film, maybe more so because I treated it as a work of fiction and didn't draw comparisons between it and the real world. A good storyline, decent enough acting, some fine visuals and some good plot twists made good viewing.",1
25," Decent movie, but it's slow pace will mean many might not like it!",1
26, The best film since Forty Year Old Virgin.,1
29, I totally enjoyed this movie. Also frightened me as it should frighten everyone. I see evidence every day of our society moving closer and closer to this very situation. Too real. I think this movie accomplished what it set out to do.,1
31, The film won,0
33," Just got back from V for Vendetta. Bad bad acting (Portman's pretentious accent sucked) or the boring buildup; the really dull action scenes or the one sided cliched dialogue. And it ran for like three hours. Not to mention HUGE plot holes. At the end of it all I was completely disoriented. What's with the Tchaikovsky music, or the TV infatuation? Or the overuse of 'bollocks' ? If there was *any* pseudo philosophical symbolism hidden in the movie someplace, they did not make an effort to get the message out.",0
34, The worst thing about this film is that it makes the ideals of Anarchism and the Libertarian-Left sound completely stupid.,0
35, Argh! Forget the politics! This simply isn't a very good film!,0
36," I feel this movie skimmed the surface of several American political issues without explanation or justification of any of them. I perceived blame being assigned to the US for terrorism and tyranny. Had this movie's political agenda been properly billed I would have never given my money for such psycho babble politics. One of the ""good guys"" had a nazi flag with the Koran in his secret room. This movie was pure garbage!",0
