,review,label
0,This movie is no worse than Thor Ragnarok. The only thing - Venom needed filmed for R rating and not PG-13.,1
2,"In fact, the film is not as bad as many critics say.Yes, in some places the plot of the film sags, some scenes were cut, etc.I still want to draw attention to the advantages:1. Tom Hardy's acting. Tom is a great actor, playing excellent in this film.2. The interaction and relationship between the protagonist and his symbiote. Yes, they are not fully disclosed (for example, why did the symbiote so quickly become attached to Eddie?), But still it is pleasant to watch them. If there is a second part of the film, I hope that this relationship will be revealed to a greater degree.3. Despite this age rating, the film is cruel in some places, but mostly it is an action with elements of comedy. The jokes were basically where they should be. Anyway, for Tom's charisma, I’m ready to forgive the film for some moments.4. Venom is an interesting character, which perhaps was not enough for us. Not a superhero, but something more.",1
3,"For whatever reason is causing this to become the biggest Marvel letdown since 2015's Fantastic Four, Sony fails to utilize Venom's problems that could have easily been fixed if they had to take a minute to backtrack problems that could cause the hype train to die off easily. There's just so many missed opportunities that could have made Venom more than what it actually is, but of course we know that Sony doesn't care about that. They just care about your money and nothing else. Sony should just give up the film rights to Spider-Man back to Marvel Studios at this point. It seems that they don't know how to make good movies anymore without influencing their money onto it.",0
4,"Don't listen to the ""critics"" if you want to call them that. The movie was great and entertaining. Very good movie!",1
5,"This movie is bad! It’s not well-written, it’s not technically well-made, and it is stupid! However, I actually enjoyed it a little. Most of this movie I found to be slow and kinda dull. It takes a while to get going, but when it does, I started having fun. This movie is at its best when it is being crazy and over-the-top! However, there isn’t a lot of that in the movie. That only really happens in the middle of the movie. It takes a long time to get going, it goes for a little bit, and then it just kinda ends abruptly before it even really begins. It’s very poorly paced, probably because of the re-edits. I thought there must’ve been more to this movie, I was only 90 minutes into what’s supposed to be a 110-minute movie, but nope! That was it! There are, no joke, 20 minutes of credits! That’s including two post-credits scenes, but you can just turn the movie off after the first one. The second is just a clip from Into the Spider-verse, nothing special. I heard there were about 40 minutes of footage cut from the final film, and yeah. It shows. Overall, this movie is a hot mess. If you’re in the mood for garbage, give it a watch. It’s like one of those less-than-wonderful 70s and 80s B horror movies. If you like that sort of thing, you’ll like this. If you want an actually good movie with a similar premise, however, watch Upgrade instead.",0
8,"Venom isn't a bad film by any means. If anything its refreshing that its actually a comic book film that doesn't have the same generic cookie cutter formula that Marvel has really started to tire out....Its far from a perfect film, but atleast someone is trying something different and there is enough here that can be improved on in a sequel...Hopefully in 2019 when Sony's deal with Marvel ends they take back the character and insert him into a Venom sequel...Its sad that a bunch of whiney little Marvel fanboys want to pretend that this film is terrible without ever having seen it hoping to push Sony into somehow selling the rights for Spider-man back to Disney....",1
10,"This is not bad like critics say it is but definitely needed to be R rated to achieve its better self. In my opinion, a better cinematographic adaptation of Venom than Sam Raimi Spiderman 3, really good acting of Tom Hardy quite good visual effects comedy used smartly not forced or excessive like Thor Ragnarok for example, done to take advantage of the popularity of the character but in a decent way, a good comic book/superhero movie but maybe not a good movie per se.",1
11,This was definitely better than I expected.  It all falls apart with a horrible CGI climax but the build up was thoroughly enjoyable. I felt the level of violence was just right - people who want a hard R rated Venom movie must not be familiar with the comic iteration. This felt faithful to how I remember him from 90s comics.,1
12,"So, Just seen this movie and I must say I was impressed. Had very little hopes going into it but left happy. If you are expecting a masterpiece this isn't for you. If you are a person that likes to complain about everything, this isn't for you. Eddie Brock and Venom's Chemistry is what makes this movie enjoyable.Venom is portrayed very well for the anti-hero/villain he is. Some comedy thrown in as well. Great Ending and End Credit scene YES! Everything else is just kind of irrelevant. Don't listen to the critics or even us. If you want to kick back and enjoy a flick then right here is the way to go.",1
14,"Tom Hardy is great as Venom, the movie is good right up until the third act at which point any notion of pacing get thrown out the window and they seem to rush through the last 20-30 minutes of the film. I get they cut chunks out of the film to keep it PG but the whole things becomes quite unbalanced, it really feels like sabotage and I hope there is a directors cut or extended version of the film.Again Hardy is good as Venom so I have hope the sequels will flesh things out a bit and they take some lessons away from this.",1
15,"Excellent movie. As a 30yr long fan of the character, I can honestly say this is a fantastic portrayal of the character. The humor, violence, and horror of the character, a staple of Venom since 1988, is all on display and excellently performed by Tom Hardy!Only complaint is the villain is a little boring.... not a problem with Riz, just the character is nothing more than Evil Doc That Thinks he’s God. Tad cliched.CGI is excellent, movie is great for 13 and up, but there are several S bombs and one F bomb. If you or your kids like the recent X-men movies, they’ll LOVE Venom.",1
16,Good enough. Worth the money. Glad to see Tom Hardy without a mask(I was worrying how it will be). But he did it very well. It was interesting. It was funny ).,1
17,"Very enjoyable. Not a horror film, but more like an action comedy. Definitely not 3/10 like the critics are rating it.",1
18,"I really don't understand why there are so many negative around this film. I found it very funny and cool, plus Tom Hardy so awesome actor. The film is not a masterpiece, but definitely recommend for viewing.",1
19,"Most definetely a enjoyable movie. I have some knowledge of Venom in the comics to know that is not as a faithful adaptation as Deadpool may be, and also know that the movie may have been a tad more enjoyable if it was rated R, but I had fun. Hardcore Venom fans may be dissapointed on the lack of blood, and that every scene does not have someone being decapitaded. General audience, action, or comic movie fans will have a fun time. It was a fun movie. Its not a master piece, but it waswell worth the price of admission.",1
20,Ok i don't know why its getting so many bad reviews the movie was very good for what they were trying to achieve.Good pacing funny when needs to be and serious at the same time. I'm interested on where they plan on taking it from here after seeing the post credits scene,1
22,"I just came back from watching venom and its really good, the movie is different from the original story but keeps the same idea of the original story, the movie has a lot of good jokes, and thankfully venom is not shown for just 5 minutes.Btw I watched in real 3dAfter credits carnage if u kno what I mean ;)",1
23,"Not sure what’s up with the critics. Was it the best comicbook movie there is no, but it was still decent. How I would improve it for the sequel should there be one, would be to go the Deadpool and Logan route.",1
24,"Tom Hardy saved this film for me because it was basically the same old Marvel comics movie – monsters, fights, spectacle. Hardy made his character more human than usual in a Marvel film, and his delivery was much funnier and slier. Riz Ahmed was a plus also. But I suspect the audience was a bit bored (I wasn't) and they talked (some walked around) and several checked their phones, which was annoying. I may go again because of Hardy and the rest of the cast, and to see if I can get a better (and smaller) audience. Sometimes a bad audience can really wreck a film. The “transformation” was also fun and interesting.",1
25,"to be honest i don't understand the pro critcs , 3,5 lol luckily i don't trust professional critics that much , i trust more on users and good reviews all of u did , i had a good time watching the movie , not even a singles moment feeling bored",1
26,"I had a quick look at the reviews before deciding to see this movie and am glad I checked the viewer score, this movie was thoroughly enjoyable, I have no idea on earth how people came up with a 35 score, did someone not pay them enough to do a review, the movie was not what I expected as someone who has read a few venom comics however it was overall a very enjoyable movie. 8/10 Would Recommend.",1
27,"Rad as hell, and a ton of fun. Tom Hardy delivers excellent dual performances and Venom looks phenomenal. It's a full origin story (which the film uses the Life Foundation to tell without Spider-Man, doing a pretty solid job of it) so it may start a little slow for some. As a long time fan of Venom, I had a great time and I'm very excited for more.",1
28,"I’m not a Spider-Man fan, so I don’t really care about it being “canon” and I don’t know much about Venom’s backstory either. As a film on it’s own, I actually enjoyed it. Tom Hardy’s dark humour fit perfectly. The symbiots are cool, very sci-fi. Reminded me of Aliens. No where near the best of Marvel’s own films but it’s definateky entertaining. Awesome post credit cameo too...",1
29,"Critics were unfair with this movie. If you are in doubt about going or not going to see ""Venom"", please just go, I guanrantee that you will not regret it. The movie may not be amazing or fantastic, but it certainly is fun, and it has its strong points, like Eddie Brock and Venom`s relationship. It had some great action scenes with a good CGI. It is also very funny, im pretty sure that everyone that saw the movie, even if they disliked it, laughed atleast some 3 or 4 times. The villain was not well explored, same as the relationship between Eddie and his girlfriend. Still, a solid 7.5, definitely a good movie that will entertain you and even make you laugh.",1
