,review,label
0,"A tense and emotional film with fantastic performances from Teller and Simmons; they are one of music's best chemistry in movie history. The script keeps pace with endless and exhilarating tension. Damien Chazelle instantly has my respect, being this his only second work. It is well driven behind pitch-point direction.",1
1,Simmons and Teller are incredible. Barely 15 minutes into the movie I was hating Simmons character. He was a real SOB to the extreme.Why any student would put up with such an abusive teacher is why many an athlete put up with a tyrannical coach. It's a way to make it into the big leagues or so they are led to believe. This was the most intense movie I've seen in a long time. I was drained when I left the theatre.,1
2,"This film was phenomenal! If J.K. simmons does not win a best support actors oscar for his role in this film it will be an outrage! Acting is perfect! The story is compelling all the way through and the brilliant direction along with the clever dialogue and occasionally humorous moments the film stayed fresh all the way through. The scenes get intense in this film as you watch a young man struggling to become the best jazz drummer in the world. It's an ambition that we can all relate to: to strive to be best at something. This is what makes this story so encapsulating, you want him to become the best! Loved the film in everyway! A must watch! Emotional, frantic, and memorable!",1
3,i don't know much about Damien Chazelle maybe because he don't have a lot of movies actually before i watch this i movie i was thinking that it will be simple and boring movie . I saw the crew i saw the director and told to my self that's not going to be a good movie but i wasn't right the movie turn up side down my opinion it was interesting and fascinating  movie . In some moments of the movie I've want to get out go to the nearest shop and by drumms and start playing.It's was so fascinating that i could'nt take my eyes off the screen .And the actors i was thinking  Miles Teller is young actor he will fail in role like this but i was wrong he just blow my mind he made stunning role J.K. Simmons was stunning too a teacher who push to the highest limits his students no matter what .That was just an Epic production one of the best for the year for me i have to say im really impressed,1
4,"Damien Chazelle's ""Whiplash"" is a harrowing film that explores the complicated relationship between Andrew, a young jazz drummer who aspires to become the best, and Fletcher, a famed conductor who relentlessly pushes his students to their limits in search for his ideal musician. Actors Teller and Simmons, who played the roles of Andrew and Fletcher respectively, have shown quality performances as their strong jazz chemistry really left an impression; Simmons's oscar-winning performance as Fletcher is straight out deserved, as he performs his role with utter power and absolute dominance. The plot is packed with tension and drama as the pace consistently gains momentum until it all explodes with a refreshing bang at the movie's satisfying grand final act. With excellent visuals, superb directing, an engaging story supplied by masterful actors, ""Whiplash"" definitely has its place in my top 5 movies of 2014.",1
5,"The tension has been kept for more than 100 minutes, the cast was exceptional (especially the two main characters) and the story and scenes are so fantastically connected that you are left wanting for much more in the end. Few ever films can have that schizophrenic development without being called exaggerated. In other words, Whiplash is superb.",1
6,"Great film, guy with the saggy face plays a great crazy music teacher and the battle between teacher and pupil is truly engaging. Well worth a watch!!",1
7,"Very well shot, edited, acted and designed; with a fresh take on old ideas. The movie may have a very specific focus and be nothing earth-shattering on the intellectual side, but it's worth several Oscar nominations. The music is fantastic. See it on the big screen. As for the controversy around the abusive teacher, I would say that it's not necessary to feel that the teacher is justified or unjustified, good or evil, effective or hindering, in order to enjoy the movie and find interesting food for thought in it. If a semi-vicious teacher who, in the real world, would overstep the bounds of ethics and even effective technique, is a flaw in the movie, then it's not a damning one.",1
8,"While it is a masterpiece of a film and definitely my pick for the best film of 2014. It really comes down to the power house performance of J.K. Simmons. He owned the role with a passion and it showed through out. He's the reason it was such a pleasure to watch. And props to Miles Teller too, He did a fine job opposite of Simmons.",1
9,"'Whiplash' is the first movie I've seen that has made me seriously think about reconsidering Spike Jonze's 'Her' as the movie I believe to be closest to cinematic perfection. Brutal, uncompromising, exhausting, intense and utterly incredible, 'Whiplash' grabs you by the throat and plunges you face first into the class of Terence Fletcher, an extreme jazz conductor. As much as I want to gush about every aspect of this film, the best way to watch it is to just know that it's good. Oh, and also that Miles Teller is in it, and he's actually not terrible, so go him for once.",1
10,"Absolutely breathtaking. There was something about this film that really resonated with me even as the end credits rolled. Hard-hitting and intense, Miles Teller and JK Simmons give some of their best performances in their respective roles and even as I write, I can't find anything wrong with this movie. I always say a good movie makes you feel something with or without having taught you something. This film accomplished both.",1
11,"I can't explain how good I find this movie. Incredible story, incredible music, incredible everything. I was captivated with this movie in a way I can't even explain with words. Outstanding. I give a 10/10 a movie that deserves a lot more.",1
12,"Absolutely terrific film. One of 2014 best if not the best. Flaw free. Intense, raw, realistic, empowering, perfectly paced and with two of the best performances of the year. Miles Teller is a total revelation to me in this and shows how such a young actor can be an outstanding one already. Amazing performance. A crime that he has not been nominated for best actor at the Oscars. Co-lead actor J. K. Simmons is equally great and will win his Oscar for supporting role no doubt. And the film does this with just two main characters, music and a great screenplay. No more is needed when we are talking about real art. It will be impossible because of politics, but if this film gets the Oscar for best picture it will be the biggest deserved surprise in Oscar history. A must see!",1
13,"Whiplash is definitely on my short list for best movies of 2014. A good story, excellent casting, and fine direction are the reasons why.  Better known for his TV roles, J.K. Simmons makes the most of his opportunity. Andrew (Miles Teller) is a freshman jazz drummer at a top music school.  Terence Fletcher (JK Simmions) teaches the school’s best students, mostly upper classmen, but he is also the teacher everyone fears.  Fletcher’s motto is that good musicians don’t become great musicians unless they are pushed hard to do so, but the techniques used by Fletcher to motivate his students fall somewhere between extreme and brutal. Andrew comes from a nice middle class family in the burbs.  Family dinner conversations have a competitive air in which the small college athletic successes of his siblings dominate.   Andrew is driven to succeed as a jazz drummer, but he is also young and impressionable.  He notices that in addition to being a tough teacher, Fletcher appears to also have a caring and a compassionate side to him.  Andrew buys into Fletcher’s belief system and commits to doing whatever it takes to be the best, including making a decision to terminate a budding relationship with his new girlfriend. The question of whether Fletcher is a good guy or a bad guy will have you on the edge of your seat until the movie’s dramatic conclusion.  You don’t need to like jazz music to like this film.  The terrific music is just a bonus.  Director Damien Chazelle’s pacing is right on target and a couple of minor plot faults near the end of the movie aren’t enough throw this fine film off tempo.",1
15,Whiplash is very enjoyable with a very interesting story. while the characters are not incredibly likeable they don't have to be and that's where the enjoyment comes from. at times it feels like an 80's sports movie like karate kid or rocky only centring around music instead and trying to tell a more real world story. my only complaint is that i felt i would have enjoyed it more if I didn't know it was up for best picture as i felt like i was unable to just sit back and take it in and it felt like i needed to overanalyse it and probably missed some of the best parts of the film but i would still really recommend it,1
16,Whiplash is one of the most stressful and uncomfortable movies of all time. Many times I cringed out of anticipation of what will happen. J.K. Simmons gives a commanding performance as well as Miles Teller. Whiplash is an entertaining and fantastic film that defines the music genre. 10/10 (Masterpiece),1
17,A clinical rebooting outlook over the bestial and swallower ambiance at an highly prestigious music school class under compulsion of J. K. Simmons character far away from being a ''bed of roses'' as we may think at first analysis. Beautifully shot from singular angles the action drives us tense and has us wondering circumspect holding us on our seat and leaves a trail of underlying critics.,1
18,"There is amazing energy and tension in this production. JK Simmons and Miles Teller are bother flawless in their portrayals, though - for me - the score outshines everything in this film. It's up there with Theory of Everything as my movie of the year. From scene one to the last scene, you will not blink...",1
19,"Wow just wow .That's how I left the theatre . Overwhelmed by the amazing performances from JK Simmons and Milles Teller.I was sucked into the story right from the beginning . The story is fantastic .The editing of this movie is just superb . It's easily the best movie of the last decenium.The story is simple but is worked out perfectly . Each detail is right. Sound is in one word just amazing...If you are still reading this review stop right now and go watch it right now you will be overwhelmed at the end of this amazing movie.",1
20,"Terence Fletcher: ""There are no two words in the English language more harmful than good job"". Whiplash follows are main character Andrew Neyman who is a young jazz drummer, single-minded in his pursuit to rise to the top of his elite east coast music conservatory. Plagued by the failed writing career of his father, Andrew hungers day and night to become one of the greats. Terence Fletcher, an instructor equally known for his teaching talents as for his terrifying methods, leads the top jazz ensemble in the school. Fletcher discovers Andrew and transfers the aspiring drummer into his band, forever changing the young man's life. Okay let me just start off with this. You had no idea how much I was really looking forward to Whiplash. This was on my movies to check out list, because I heard nothing but positive things from this movie and I heard a lot of people described this film has the Full Metal Jacket but with no war or guns, but with music and well... drums. I think Whiplash and Birdman was the two movies I wanted to see before making my best movies of the year list, because who knows they might make the list. I haven't seen Birdman yet but will do soon, but I finally had the chance to see Whiplash and my god this movie was just so spectacularly flawless in many ways. Whiplash is the best move of 2014. J.K. Simmons in this movie probably pulls of the best performance in he's career. Every word that came out of his mouth didn't feel like he was reading from the script then act it out, no, I felt every angry punch of words that came out of him, because it was real and not fake. I didn't see J.K. Simmons just playing a movie character in this movie, no he was the freaking Fletcher. Now let's talk about Terence Fletcher: The best way to describe Fletcher to those who haven't seen the film yet, well his like Gny. Sgt. Hartman from Full Metal Jacket. He has the best lines, when his on screen your locked on and his also like the kind of person that would be somebody's worse nightmare to have for a boss. This guy doesn't just like music, he breaths music and he wants his band to do perfect. His opinion and his look on music is another thing why I didn't flat out just hated him, I actually understood him. He made a very good point about how people will comment on you act and say ""You did a good job"", and yes I did use the words ""you did a great job"", n my past reviews but now I'm never going to use it ever again after this movie. Miles Teller was another stand out performances in this movie, and just like Foxcatacher where Channing Tatum was so over looked by his performance, Miles Teller has proved himself to be more then a teen in a movie that will be forgotten and so would he, but no Miles Teller played this character so brilliantly he could become the next big thing. Now his character in this movie has the love of the true art of music and you can see that he will wants to tell people his love for music, but when the harsh life of reality comes crashing into him it's truly heartbreaking to see his struggle and effort just not being good enough, and Teller played this character so realistic and so brilliantly flawless. The directing and the writing in this was just....perfect. Damien Chazelle directed this movie and written it and man did he do it with style and passion to tell a story about two strong music buffs battling out and he freaking nailed it. This movie also had probably the best finale that I've seen in years. My nails were digging into the seat. I didn't dare to look away not for one moment, not for one second. I was simply locked on and when it was over... I'm kidding you I actually clapped towards the end of this movie. Now the biggest cliche that I always hear from critics when their talk about a different movies and their use words like ""You will clap at the end"", but you don't, or ""You will feel inspired after the film"", and I you don't. But Whiplash actually did make me feel inspirited towards the end and made me clap. It's message of not giving up and the dream that you been chancing for isn't just going to come to you. Movies like Pride, freedom Writers and all that such never ever give me that inspiring feeling inside of me, until I watched this movie. For problems: The movie had it slow parts and that's it really. Whiplash is a movie that everybody should see. This isn't just a popcorn movie where you come and put you legs up and laugh a couple of times, no this movie reaches out to people out there that have the same problems that these character's have, with their passion of what their what to do in life get's over shadowed by something you don't want to do and this movie get's it right. So go and see if you have the chance.",1
21,"Like movies? Watch Whiplash. Like the drums?Watch Whiplash. Like Jazz music? Watch Whiplash. This film is great. J.K Simmons and Miles Teller are both fantastic. The film is directed so well by Damien Chazelle. I don't want to speak too soon, but he might be the next Spielberg. Then again, that has been said before (M. Night Shyamalan).",1
