,review,label
0,"If I had to describe 'Man of Steel' and 'Batman v Superman' with one word only, it would be ""divisive."" SUICIDE SQUAD falls into the same category. Even though I liked both MoS and BvS, one could say that those 2 films tried too hard to please critics. The admirable thing about SUICIDE SQUAD is that it disregards the critics altogether, and makes it an entirely fan experience, for better or worse depending on who you ask. The audience I saw it with was electrifying; it's, without a doubt, the most fun I've had all year since 'Deadpool' back in February. In my humble opinion, SUICIDE SQUAD is exactly what this lackluster summer movie season needed to spice things up. Director David Ayer has his mark all over this; it's unlike any superhero movie I've ever seen. Sure, you have some of your typical superhero tropes, mostly in the 3rd act. But then you have the antithesis of what the genre entails, breaking just about every single rule and convention. This ain't good versus bad; this, my friends, is bad versus evil. This movie is the living personification of its own characters: absolute, bat **** insanity! It's uneven, character motivations get a little wonky, and the story is a hot, sexy, mess. Word of advice? Double down on the comicbookiness of it all; it gets pretty weird. But within all the madness, I couldn't help myself guys... I kind of loved this movie. It's by no means perfect, but I also feel like critics are over exaggerating the film's faults. I was never bored, not once. The film moves at a killer pace. There's quite a bit of exposition near the beginning, but after that the film kicks into high gear. Steven Prince's score, which was reminiscent of 'Pacific Rim' and the first 'Iron Man,' infused such infectious energy into the movie. The use of hit song after hit song got a bit overwhelming however, making the movie feel more like a music video at times. Filmed mostly in my home of Toronto, this was quite the surreal experience; I have walked through those streets before, and I have stood in those subway stations before. I was even an extra in the film. Did I make the cut? Well, that's a whole other story... but I ain't mad. I was genuinely shocked by how incredible Will Smith was in the role of Deadshot. Going in, I thought he'd be adequate but not too memorable. I was wrong; he is the best thing this movie has going for it. Scratch that. He comes real close to taking that title, but it's Margot Robbie as Harley Quinn that this movie will be long remembered for. She nails it. Absolutely nails it. Robbie is to Harley Quinn what RDJ is to Tony Stark: perfection. Joel Kinnaman was another standout for me. While the writing for his character felt the most forced out of everyone, his actual performance sells it well and makes me feel for a character I could, otherwise, care less for. The film is juggling a lot of characters, and that's never an easy task. Characters such as Killer Croc, Katana, and Captain Boomerang (Jai Courtney was great?!) aren't given much backstory at all, but they were all given at least one great character moment: just one scene to make you fall in love with them. But if there's one obscure character that'll emerge as a fan favorite, it's definitely El Diablo. He's given an impactful backstory, an emotional character arc, and some kickass action sequences. In fact, most of the action in the film was executed  well. But there wasn't that one moment, like the 'warehouse scene' we got in BvS, that made me go ""holy ****"". if you ask me, Jared Leto had the toughest job of them all; he had to follow Heath Ledger's timeless performance as The Joker, which is an impossible feat. So, the best thing Leto could've done is something completely different; he should make it his own. Which is exactly what he did. Whenever he's on screen you can't help but be captivated by him. He's not in the movie all that much, but just enough to wet our appetites for this whole new incarnation of 'The Clown Prince of Crime,' while still honoring the name of the film. This is a Suicide Squad movie after all, not a Joker movie. It's ironic that in a movie about bad guys the worst part turned out to be the villain itself. The 'evil' in bad versus evil, if you will. I would've preferred a different antagonist altogether as the one we got here was pretty forgettable. Without giving any spoilers, the whole 'brother' angle was by far the worst thing in this movie. That's all I will say. People comparing this movie to last year's catastrophe 'Fantastic Four' need to drop whatever it is they're smoking. SUICIDE SQUAD has something that film didn't: personality. It has soul. There's a great deal of heart. The characters are dynamic. The team chemistry between all the actors was fantastic; even if you don't like the movie they're in, you'll still end up liking the Suicide Squad themselves.",1
1,"I feel like people are rating this highly just to try to get revenge on reviewers. Unfortunately for them, the reviewers are right. This is a very poor film. Thin, predictable plot, uninteresting villain, equally uninteresting characters the majority of whom barely get any kind of backstory beyond a few lines, implausible plot even for comic book movie standards. I don't care about the money I lost but I'd love to have the time I spent watching this garbage back.",0
2,"To get right to it, Suicide Squad is a blast! I had an incredibly fun time watching this film. That's not to say it was perfect. Far from it. There were moments that made me cringe. But the sheer entertainment that this film delivers is well worth seeing. Suicide Squad is not a complicated film. The story is very straight forward - it's not going to shock or surprise you at all. And the villain's portrayal and motivations are the weakest part of the film, unfortunately. However, as with most comic book movies, the focus is really on the ""heroes"". And the Squad delivers! Watching them interact was a delight. All of them have their moments to shine, though Deadshot and Harley grab the most screen time. And their performances were excellent. The Joker was a great addition to the film. I thought Jared Leto and David Ayer did an amazing job coming up with a fresh way to bring this character to the screen. My only real complaint with him is that he didn't have a big enough presence to really shine. If he ever gets the chance to take center stage and play the main villain in a DC movie, I think he would be perfectly horrifying. The film can be a bit skittish in places. It moves quickly through some sequences, and feels a little unfocused, but I believe this is intentional. I think the film is supposed to capture the unbalanced quality of its characters. Overall, I can't recommend this film highly enough. It was so funny, and such a thrill to watch. But go expecting some things to be a little too ridiculous.",1
3,"I'm not long ago went to the film ""Suicide Squad"". This film is really fun and interesting plot. I would gladly went at it again. In my opinion this film is for people not even be familiar with a lot of Marvel and DC universe. Company DC to try very hard on this film. Margot Robbie, Jared Leto, Will Smith and all the other actors are fully accustomed to the role of his character. All the characters are very emotional. Also very cool movie soundtrack.",1
4,"This movie has a great idea and a decent plot that goes with it. As a normal comic book fan i've always perceived villains to be not so bad and liked to root for them from time to time, this movie takes that idea and goes all in, I didn't like the fact that as the movie goes on they just become plain heroes and not villains they actually are. Now for the actual movie it's enjoyable, there's not much to say, I don't care about the tiny details that they've might've got wrong because I simply didn't notice them, I enjoyed this movie as I thought I would, I don't know is it because I came in there with high expectations but I got what I wanted from this movie. Margot Robbie was fantastic as I expected, Will Smith was hilarious and kept the movie funny, The Joker was obviously **** I mean he just doesn't look like the Joker or act like the Joker we know, but he wasn't as bad, simply because it's another take on the Joker. Cara Delevingne should've definitely been a more valuable character looking at that she's one of my favorite actresses and she's hot as **** In fact most of the other villains were pretty much here and there for the entirety of the movie, but it's really nothing less then I expected.",1
6,Story plot is full of holes and some part of the movie felt too long. Good enjoyable movie overall. Margot Robbie and Will Smith make this movie really worth watching.,1
7,"Another lesson for Warner Bros. When you hire some of the best talents in the business, stick to their instincts and don't second guess them.  What you have here is something that could have been one of the better superhero flick in recent memory, but bludgeoned to death by WB's intervention.  The soundtrack? One of the best. The performances? Exemplary. Kudos to Robbie, Leto and Smith for giving their best A game.  However, the higher ups got a bit jittery: it's too dark...it's not like the Marvel Cinematic Universe.  They  a second cut without the director's intervention, and both parties compromise.  The end result...starts of great, then jumped all over the place, with weird pacing and tonal inconsistencies.  Nevertheless, you can see that the creative team gave it their best...and despite all the rubble, Suicide Squad squeaks through...",1
9,"Wow, that was bad. I mean I didn't expect something extraordinary but at least on par with stupid, but charismatic and fun Guardian of the Galaxy. Yet they somehow wasted all potential and create some mess.1. Characters supposed to be bad, ugly and interesting. But ones that actually somehow interesting are Deadshot, Harley and El Diablo. Others just kinda there, doing stuff. Japanese girl, Slipknot (haha, at least he had a story-wise purpose), marines, Croc, Boomerang (wtf? boomerang? seriously?) and even Joker could be easily removed from the movie.2. Bad guys are just... there. As you could imagine they bad, they ugly (and a bit sexy), they try to destroy world (for some reason) and produce zombie-like minions. Yep, that again. They even didn't forgot to add giant portal in the sky.3. Plot is clunky inconsistent and plain stupid. Most interesting part is actually introduction of the characters in first part of the movie, down from there it's just mess. I tried to enjoy this movie, I really did. But it's just not good, it's not fun, it's not smart, not ironic - it's average at best.",0
10,"Day 1 and the DC fans are out in full force creating multiple accounts to spam 10s for a movie they probably haven't seen. Click on 95% of a '10' score and notice how the account only has ONE movie reviewed. You think they would at least remember their log ins to they can reuse them for BvS, Wonder Woman and all the future DC movies but I guess when your creating temp accounts all day that's too much work. Not even a week in and this movie has twice as many positive reviews than a movie like Furious 7, that was received well A YEAR AGO.  Keep struggling to get those user scores up, boys.Aside from the poor pacing, bad editing, so-so acting and spotty story telling, let me give you some reasons why this movie has glaring issues that fans don't want to admit to.This movie is a perfect example of writing the story to fit the scenes that are needed, besides writing the scenes that are needed for the story.  Here's just a couple examples?We need to have Batman in this movie and show that Deadshot is a family man:  Batman attacks Deadshot and his daughter in an ally and then says he doesn't want to ""do this"" in front of his daughter.  Deadshot pulls a gun and aims it AT HIS DAUGHTER and Batman stands there with a little girl between him and a bullet.  A failure on all levels.We need to show the pyro gang-banger is a changed man:  Have him stand in the middle of a fight and do nothing to show he's a pacifist.  Luckily no creatures attack him so he doesn't have to fight back.  Then the very next fight have some one provoke him into fighting.  Mission accomplished.. I guess.We need to remind everyone that Katana is a good guy:  So she talks to her sword so Rick Flag can explain that the dead soul of her husband is in that sword.  Great.We need to show The Joker is ruthless and unstable.  How about a club seen with Common not really hitting on Harley, but the Joker goes berzerk in an entire scene that makes no sense what-so-ever.  And why are the Joker and his thugs all gang-bangers?We need to show that Amanda Waller is a back stabber and can't be trusted:  How about we have her kill her entire team of technicians for absolutely no reason. ""They didn't have the clearance for this""  For what? Their jobs?  Huh?My favorite:  We need to have a end credit scene with Batman leading into Justice League:  Have Bruce Wayne approach the coldest most ruthless woman in the world and ask for a list of meta humans.  She figures out he's Batman, of course.  Smooth move ""Greatest Detective.""  Why didn't he just steal the information and remain anonymous?  Better yet, didn't he get this information already from Wonder Woman in BvS?Many character got 2 introductions and a special flashback just to bring on the 'feels"" but it all felt jarring and took us out of the action.  I didn't know a movie could have ADD.Due to all the exposition and origin stories needed the movie felt crowded and rushed.  That's the downside of rushing into the team up movies in a shared universe with all new characters.  They had 7+ characters to explain. Did they all need origins? Too bad there weren't previous movies to do that ahead of time. They tried something different than Marvel's slow and steady method and it's starting to show cracks in the DCEU foundation.And the biggest one: Why is a Suicide Squad even needed.  This is a world were we see the Flash and Batman exist IN THE SAME MOVIE! The world is being destroyed and these heroes do nothing about it?  And why would a handful of untrustworthy thugs with knives, boomerangs, bats and claws be better than some highly trained and well-armed soldiers?  They even had some soldiers in the Squad to keep them in check so why bother bringing the bad guys?  Because that story need to happen.Why was the Squad being formed in the first place?  What was the mission?  By the time they are being selected, Enchantress goes rogue and they are used to stop her.  So why were they formed in the first place?  To fight a possible ""bad"" superman-like meta human?  What are a bunch of non-meta humans with guns, boomerangs and bats going to do against a real meta human?  The only Squaddies worth their weight were Deadshot and Diablo.  Why don't you ask any of the good guys in that list you gave Bruce Wayne, Amanda Waller?  Because this story needed to happen.Now let's talk about the worst Joker we've ever seen on screen.  This is a buff Joker with tats all over, ""Damaged"" written across his forehead and a metal grill in his mouth!  Really!?!  The Joker can't even speak or laugh menacingly due to all the metal in his mouth. DC fans are content with this?  It's like they have been starving so long for a DC cinematic universe they will devour anything that's put in front of them.  The opening weekend will be record breaking... the movies will break even... and WB will learn nothing from their mistakes.",0
11,"Over-hyped, Hollywood needs to stop being so lazy in badly ripping off bad comics. It probably doesn't matter how badly this movie does in the box office, they'll all make money in the end and just produce some more terrible comic books.",0
